id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3935612018910255","3935612018910255","1402400261","","1453806486","66","12","8","【现代缓存(Cache)设计】《Design of a Modern Cache - High Scalability》by Benjamin Manes http://t.cn/RbmL7F2","【现代缓存(Cache)设计】《Design of a Modern Cache - High Scalability》by Benjamin Manes http://t.cn/RbmL7F2","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05gw1f0d3un63agj20hj0abaap.jpg",""
"3935612538802573","3935612538802573","1657308823","3935612018910255","1453806612","0","0","0","转发微博","转发微博","1256890261","3178","16","43","3191","222","iZac江湖客","iZac江湖客","Oathkeeper","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/1657308823/180/5641025298/1","","",""
"3935613038319909","3935613038319909","1916415644","3935612018910255","1453806731","0","0","0","转发微博","转发微博","1294540536","120","11","141","1730","482","佩托斯","佩托斯","不忘初心，方得始终。","m","61","1","","","-1","陕西 西安","http://tp1.sinaimg.cn/1916415644/180/5748679863/1","1","",""
"3935613289913039","3935613289913039","5364786900","3935612018910255","1453806790","0","0","0","转发微博","转发微博","1415618617","3","0","2","3521","71","LightmanLiu","LightmanLiu","","m","21","2","","","-1","辽宁 大连","http://tp1.sinaimg.cn/5364786900/180/0/1","1","",""
"3935613449164422","3935613449164422","2287952254","3935612018910255","1453806828","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3935614975811741","3935614975811741","1642628345","3935612018910255","1453807193","5","0","0","转发微博","转发微博","1253519893","1822","219","41","8917","412","__那谁__","__那谁__","不忘初心，方得始终。","m","44","1","","","-1","广东 广州","http://tp2.sinaimg.cn/1642628345/180/40054698366/1","","",""
"3935615340755895","3935615340755895","2262061943","3935612018910255","1453807279","0","0","0","转发微博","转发微博","1311310044","60","6","0","6718","187","anch3or","anch3or","若批评不自由，则赞美无意义。","m","37","1","","","-1","山东 济南","http://tp4.sinaimg.cn/2262061943/180/5704671911/1","1","",""
"3935615903054957","3935615903054957","2304284334","3935612018910255","1453807414","14","1","0","@我的印象笔记","@我的印象笔记","1313131085","10043","699","1291","26738","1211","明风","明风","前阿里巴巴 淘宝 明风","m","33","1","","","-1","浙江 杭州","http://tp3.sinaimg.cn/2304284334/180/5608114249/1","","",""
"3935616079333647","3935616079333647","2339911003","3935612018910255","1453807456","0","0","0","转发微博","转发微博","1314975625","35","4","9","1099","208","黯眉","黯眉","","m","400","2","","","-1","海外 英国","http://tp4.sinaimg.cn/2339911003/180/5729417223/1","1","",""
"3935616574209848","3935616574209848","1669581660","3935615903054957","1453807574","0","0","0","","//@明风:@我的印象笔记","1304307835","264","147","103","2029","847","药老-旦","药老-旦","程序员的自我修养.","m","51","1","","","-1","四川 成都","http://tp1.sinaimg.cn/1669581660/180/5600696332/1","1","",""
"3935616641265881","3935616641265881","2134013782","3935614975811741","1453807589","0","0","0","","//@__那谁__: 转发微博","1324864163","771","55","4","3078","243","淘宝卫霍","淘宝卫霍","淘宝高级开发工程师，专注于广告技术、高性能服务器、NoSQL、消息队列、IM、MySQL、分布式。","m","11","8","1","淘宝网 广告引擎高级开发工程师 施昌权","0","北京 海淀区","http://tp3.sinaimg.cn/2134013782/180/5621225673/1","1","",""
"3935618901911652","3935618901911652","1060604637","3935612018910255","1453808129","0","0","0","@我的印象笔记","@我的印象笔记","1255409941","629","220","70","3050","512","张弛有道敏而好学","张弛有道敏而好学","夫英雄者,胸怀大志腹有良谋,有包藏宇宙之机,吞吐天地之志者也","m","31","4","","","220","上海 徐汇区","http://tp2.sinaimg.cn/1060604637/180/40036120208/1","1","",""
"3935620181104083","3935620181104083","1060604637","3935612018910255","1453808434","0","0","0","@我的印象笔记","@我的印象笔记","1255409941","629","220","70","3050","512","张弛有道敏而好学","张弛有道敏而好学","夫英雄者,胸怀大志腹有良谋,有包藏宇宙之机,吞吐天地之志者也","m","31","4","","","220","上海 徐汇区","http://tp2.sinaimg.cn/1060604637/180/40036120208/1","1","",""
"3935621271410824","3935621271410824","1835549387","3935615903054957","1453808694","0","0","0","","//@明风:@我的印象笔记","1287655675","481","301","1199","9278","1730","宋超_美餐呢","宋超_美餐呢","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1835549387/180/5664629399/1","1","",""
"3935621749444573","3935621749444573","1795000297","3935615903054957","1453808808","0","0","0","","//@明风: @我的印象笔记","1281836882","24","3","2","3008","198","通风大圣猕五哥","通风大圣猕五哥","","m","11","14","","","-1","北京 昌平区","http://tp2.sinaimg.cn/1795000297/180/0/1","1","",""
"3935622240537303","3935622240537303","1643222734","3935614975811741","1453808925","1","0","0","","//@__那谁__:转发微博","1251632104","355","146","9","1886","405","fleuria","fleuria","喵","m","11","5","","","-1","北京 朝阳区","http://tp3.sinaimg.cn/1643222734/180/5620640221/1","","",""
"3935623662036237","3935623662036237","1729175402","3935612018910255","1453809264","0","0","0","转发微博","转发微博","1271083634","285","138","20","2263","288","影风LEY","影风LEY","尘世间的迷途小书童","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/1729175402/180/5725174268/1","1","",""
"3935624962261022","3935624962261022","1733014351","3935612018910255","1453809574","0","0","0","@我的印象笔记","@我的印象笔记","1271849359","61","11","41","611","1002","算符","算符","纯理科男~~","m","42","1","","","-1","湖北 武汉","http://tp4.sinaimg.cn/1733014351/180/5675159755/1","1","",""
"3935626908633032","3935626908633032","2105746985","3935612018910255","1453810038","0","0","0","@保存到为知笔记","@保存到为知笔记","1303718046","60","12","33","106","127","旭旭ge","旭旭ge","上善若水","m","31","4","","","-1","上海 徐汇区","http://tp2.sinaimg.cn/2105746985/180/5737903061/1","1","",""
"3935629622538084","3935629622538084","1640327360","3935615903054957","1453810685","0","0","0","","//@明风: @我的印象笔记","1251448506","289","77","36","6157","775","shaofeng09999","shaofeng09999","","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/1640327360/180/5732686623/1","1","",""
"3935631589813164","3935631589813164","1646706835","3935612018910255","1453811154","1","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3935635356168600","3935635356168600","5174611556","3935612018910255","1453812052","0","0","0","转发微博","转发微博","1402327185","63","36","0","290","91","cyx他是个强迫症患者","cyx他是个强迫症患者","寻寻觅觅","m","44","1","","","-1","广东 广州","http://tp1.sinaimg.cn/5174611556/180/5732707920/1","1","",""
"3935635398149815","3935635398149815","2133676575","3935612018910255","1453812061","0","0","0","转发微博","转发微博","1305306559","85","8","7","1957","133","神剑傲州_月生","神剑傲州_月生","北京握奇数据系统有限公司副研究员","m","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/2133676575/180/5600328158/1","1","",""
"3935636811163018","3935636811163018","1915719620","3935612018910255","1453812399","0","0","0","Mark","Mark","1294411760","27","2","0","43","27","秋月望实","秋月望实","","m","42","1","","","-1","湖北 武汉","http://tp1.sinaimg.cn/1915719620/180/5713622635/1","1","",""
"3935638900240424","3935638900240424","1880290257","3935612018910255","1453812896","0","0","0","转发微博","转发微博","1291282044","781","272","15","2874","741","谢东升Forest","谢东升Forest","热衷移动互联网&amp;amp;电子商务","m","31","15","","","220","上海 浦东新区","http://tp2.sinaimg.cn/1880290257/180/5613616724/1","1","",""
"3935640552787538","3935640552787538","2626176925","3935612018910255","1453813291","0","0","0","@我的印象笔记","@我的印象笔记","1329873806","17","0","3","547","22","卡特曼V2","卡特曼V2","懒，懒是程序员的美德。","m","32","6","","","-1","江苏 南通","http://tp2.sinaimg.cn/2626176925/180/5741314205/1","1","",""
"3935641483990383","3935641483990383","2292162724","3935615903054957","1453813512","0","0","0","","//@明风:@我的印象笔记","1376650516","3","1","5","794","147","Zhibin_Huang","Zhibin_Huang","","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/2292162724/180/0/1","1","",""
"3935650992155758","3935650992155758","3019200604","3935612018910255","1453815780","0","0","0","转发微博","转发微博","1355302810","46","0","0","522","126","no220284","no220284","","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/3019200604/180/5687272759/1","1","",""
"3935651051116060","3935651051116060","2765244861","3935615903054957","1453815794","5","1","0","周六看","周六看 //@明风:@我的印象笔记","1347505231","1282","86","3","3063","95","睡眼惺忪的小叶先森","睡眼惺忪的小叶先森","福建人。历史学家。","m","11","5","","","-1","北京 朝阳区","http://tp2.sinaimg.cn/2765244861/180/5746535053/1","1","",""
"3935652980650483","3935652980650483","2055375055","3935651051116060","1453816253","0","0","0","","//@睡眼惺忪的小叶先森:周六看 //@明风:@我的印象笔记","1355366018","26","7","63","844","130","芊蕤","芊蕤","","m","61","1","","","-1","陕西 西安","http://tp4.sinaimg.cn/2055375055/180/0/1","1","",""
"3935653597769913","3935653597769913","2662783201","3935612018910255","1453816401","0","0","0","转发微博","转发微博","1331718320","87","38","2","181","126","溯流光sil","溯流光sil","最美的地方总是对岸，此心安处是吾乡","f","32","1","","","-1","江苏 南京","http://tp2.sinaimg.cn/2662783201/180/22837930242/0","1","",""
"3935654990214175","3935654990214175","1657192035","3935651051116060","1453816733","0","0","0","","//@睡眼惺忪的小叶先森:周六看 //@明风:@我的印象笔记","1256836089","124","57","296","1365","361","快哉平生","快哉平生","仰天大笑出门去，我辈岂是蓬蒿人","m","12","4","","","-1","天津 南开区","http://tp4.sinaimg.cn/1657192035/180/5638531600/1","1","",""
"3935655035700763","3935655035700763","1712830915","3935612018910255","1453816743","1","0","0","转发微博","转发微博","1268802829","36","17","4","299","177","_高登","_高登","Sense and Sensibility","m","61","1","","","-1","陕西 西安","http://tp4.sinaimg.cn/1712830915/180/5740461386/1","1","",""
"3935655358538845","3935655358538845","1908599781","3935612018910255","1453816821","0","0","0","转发微博","转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3935658211493759","3935658211493759","1751401422","3935612018910255","1453817501","2","1","0","明早看[嘻嘻]","明早看[嘻嘻]","1275795082","1384","142","865","2827","450","祝威廉二世","祝威廉二世","大数据架构/机器学习/搜索引擎","m","11","5","","","220","北京 朝阳区","http://tp3.sinaimg.cn/1751401422/180/5746670227/1","1","",""
"3935660186022302","3935660186022302","1851777033","3935658211493759","1453817972","0","0","0","","//@祝威廉二世:明早看[嘻嘻]","1289204977","203","47","67","2680","296","arnkore","arnkore","get hands dirty","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1851777033/180/5742905099/1","1","",""
"3935662027747834","3935662027747834","2067764247","3935612018910255","1453818411","0","0","0","[兔子]","[兔子]","1301910262","504","189","60","2696","729","compulsive","compulsive","baishen.me","m","11","8","","","220","北京 海淀区","http://tp4.sinaimg.cn/2067764247/180/5696388346/1","1","",""
"3935665273884977","3935665273884977","1647900193","3935651051116060","1453819185","0","0","0","","//@睡眼惺忪的小叶先森: 周六看 //@明风:@我的印象笔记","1305025562","145","71","7","168","316","李超勇微博","李超勇微博","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1647900193/180/5731687808/1","1","",""
"3935666058256538","3935666058256538","1765695287","3935612018910255","1453819371","0","0","0","转发微博","转发微博","1293545501","204","56","374","1034","641","IM_麻雀","IM_麻雀","做自己，爱家人,爱开源","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1765695287/180/22844371146/1","1","",""
"3935669266824970","3935669266824970","1654464704","3935651051116060","1453820136","0","0","0","","//@睡眼惺忪的小叶先森:周六看 //@明风:@我的印象笔记","1296902928","97","20","2","2994","187","msnqqer","msnqqer","模式识别和机器学习爱好者，希望能够做点自己喜欢的事情","m","44","19","","","-1","广东 东莞","http://tp1.sinaimg.cn/1654464704/180/0/1","1","",""
"3935670940246268","3935670940246268","1645815691","3935612018910255","1453820536","0","0","0","转发微博","转发微博","1293873131","367","29","576","20147","1400","亭林漠漠","亭林漠漠","思路比苦干重要，方向比努力重要！","f","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1645815691/180/40054149700/0","1","",""
"3935675860593130","3935675860593130","1737757442","3935612018910255","1453821708","0","0","0","转发微博","转发微博","1273390778","168","82","1081","2225","290","时代之福","时代之福","追寻伟大的梦想，你不会遇到竞争！","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/1737757442/180/22865550214/1","1","",""
"3935676347611206","3935676347611206","1633433615","3935612018910255","1453821825","0","0","0","转发微博","转发微博","1262609548","138","51","245","674","317","kmalloc","kmalloc","parsley, sage, rosemary, and thyme","m","44","1","","","-1","广东 广州","http://tp4.sinaimg.cn/1633433615/180/5697775432/1","1","",""
"3935678225842550","3935678225842550","2468272677","3935615903054957","1453822272","0","0","0","","//@明风:@我的印象笔记","1376657063","9","0","6","422","215","我是沈金强","我是沈金强","博观而约取，厚积而薄发。","m","41","1","","","-1","河南 郑州","http://tp2.sinaimg.cn/2468272677/180/5723469007/1","1","",""
"3935678553021660","3935678553021660","1562291757","3935612018910255","1453822351","0","0","0","转发微博","转发微博","1287843036","221","81","654","1757","429","zaifan2010","zaifan2010","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1562291757/180/0/1","1","",""
"3935687449475148","3935687449475148","2417258823","3935612018910255","1453824472","0","0","0","转发微博","转发微博","1318921327","33","12","6","398","191","桃李不言TL","桃李不言TL","俗人一个","m","11","1","","","-1","北京 东城区","http://tp4.sinaimg.cn/2417258823/180/5613889015/1","1","",""
"3935689961952804","3935689961952804","1712745640","3935631589813164","1453825071","0","0","0","@我的印象笔记 @有道云笔记收藏","@我的印象笔记 @有道云笔记收藏 //@hbyido:转发微博","1268793719","1192","289","10022","10827","1084","进击的奉山","进击的奉山","Learn from open source","m","33","1","","","220","浙江 杭州","http://tp1.sinaimg.cn/1712745640/180/5712912223/1","","",""
