id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936883882764262","3936883882764262","1402400261","","1454109724","34","17","9","【课程资料:(马里兰大学)机器学习】《CMSC 726: Machine Learning》by Héctor Corrada Bravo http://t.cn/RbBUzPF Class Overview & Syllabus:http://t.cn/RbBUzPs","【课程资料:(马里兰大学)机器学习】《CMSC 726: Machine Learning》by Héctor Corrada Bravo http://t.cn/RbBUzPF Class Overview & Syllabus:http://t.cn/RbBUzPs","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww3.sinaimg.cn/large/5396ee05gw1f0h5z4876cj20hg0dedhl.jpg",""
"3936884277212479","3936884277212479","1886101812","3936883882764262","1454109817","0","0","0","转发微博","转发微博","1309645057","88","49","376","1560","274","天雷滚滚aa","天雷滚滚aa","","m","46","1","","","-1","海南 海口","http://tp1.sinaimg.cn/1886101812/180/0/1","1","",""
"3936886127175401","3936886127175401","1835753761","3936883882764262","1454110259","0","0","0","转发微博","转发微博","1301192894","39","1","13","2753","93","huangchao的地盘","huangchao的地盘","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1835753761/180/0/1","1","",""
"3936888832767833","3936888832767833","3209669611","3936883882764262","1454110904","3","1","0","转发微博","转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3936896402736913","3936896402736913","3902260642","3936883882764262","1454112709","0","0","0","！","！","1384320580","28","4","1712","860","245","stone-mad","stone-mad","","m","43","3","","","-1","湖南 湘潭","http://tp3.sinaimg.cn/3902260642/180/5742215116/1","1","",""
"3936897904311113","3936897904311113","1829478501","3936883882764262","1454113067","0","0","0","转发微博","转发微博","1286964595","4","4","2","1981","509","鍚村皹","鍚村皹","不须放屁！试看天地翻覆。","m","51","7","","","-1","四川 绵阳","http://tp2.sinaimg.cn/1829478501/180/5672209215/1","1","",""
"3936916849839368","3936916849839368","2362412930","3936883882764262","1454117584","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3936926186355596","3936926186355596","2030945353","3936883882764262","1454119810","0","0","0","转发微博","转发微博","1372930287","27","1","4","89","18","NKU428","NKU428","沉重的骄傲","m","12","4","","","-1","天津 南开区","http://tp2.sinaimg.cn/2030945353/180/5713503603/1","1","",""
"3936927528964690","3936927528964690","1908599781","3936888832767833","1454120130","0","0","0","","//@LR机器学习计算机视觉:转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3936927830583183","3936927830583183","1908599781","3936883882764262","1454120202","0","0","0","转发微博","转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
