id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3934351060313406","3934351060313406","1402400261","","1453505852","201","19","13","【论文+Demo+代码:交互式CNN节点连接可视化】《An Interactive Node-Link Visualization of Convolutional Neural Networks》by Adam W. Harley [Ryerson University] (2015) http://t.cn/Rb8trpa code:http://t.cn/Rb8trpX","【论文+Demo+代码:交互式CNN节点连接可视化】《An Interactive Node-Link Visualization of Convolutional Neural Networks》by Adam W. Harley [Ryerson University] (2015) http://t.cn/Rb8trpa code:http://t.cn/Rb8trpX","1264809994","26327","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww3.sinaimg.cn/large/5396ee05jw1f09328g60oj20dj092q56.jpg",""
"3934351575770889","3934351575770889","2477417804","3934351060313406","1453505975","0","0","0","转发微博","转发微博","1318986788","118","50","0","439","132","这个名儿有点长","这个名儿有点长","","m","34","1","","","-1","安徽 合肥","http://tp1.sinaimg.cn/2477417804/180/5735598851/1","1","",""
"3934351588705403","3934351588705403","1186414111","3934351060313406","1453505978","0","0","0","转发微博","转发微博","1260254325","41","1","7","515","319","hxh_HIT","hxh_HIT","","m","36","1","","","-1","江西 南昌","http://tp4.sinaimg.cn/1186414111/180/5692404676/1","1","",""
"3934352482424673","3934352482424673","2612065595","3934351060313406","1453506190","0","0","0","转发微博","转发微博","1328871418","24","9","2","1696","128","houxr","houxr","","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/2612065595/180/0/1","1","",""
"3934352670670570","3934352670670570","2989645721","3934351060313406","1453506236","0","0","0","转发微博","转发微博","1349771212","38","10","7","559","302","赤兔龙驹","赤兔龙驹","","m","11","5","","","-1","北京 朝阳区","http://tp2.sinaimg.cn/2989645721/180/40030152427/1","1","",""
"3934354398618192","3934354398618192","1147042533","3934351060313406","1453506648","0","0","0","转发微博","转发微博","1308541981","85","8","8","2498","121","勤劳的亚瑟","勤劳的亚瑟","","m","11","14","","","-1","北京 昌平区","http://tp2.sinaimg.cn/1147042533/180/5603509468/1","1","",""
"3934355061381042","3934355061381042","2461328204","3934351060313406","1453506806","0","0","0","转发微博","转发微博","1318343010","101","44","2","1102","163","kcdkft","kcdkft","what is wisdom？","m","400","1000","","","-1","海外","http://tp1.sinaimg.cn/2461328204/180/5703591603/1","1","",""
"3934355762236501","3934355762236501","1951213520","3934351060313406","1453506973","0","0","0","转发微博","转发微博","1305904831","87","35","343","2425","381","机器熊sheldon","机器熊sheldon","屈己者能处众，好胜者必遇敌。能言者未必能行，能行者未必能言。贫莫贫于无才，贱莫贱于无志","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/1951213520/180/5600872542/1","1","",""
"3934356038778252","3934356038778252","3201221867","3934351060313406","1453507039","0","0","0","转发微博","转发微博","1356410490","56","21","13","457","156","稀饭蛋炒饭","稀饭蛋炒饭","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/3201221867/180/5669591419/1","1","",""
"3934357158697457","3934357158697457","1646706835","3934351060313406","1453507306","2","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3934357619750401","3934357619750401","1841966547","3934351060313406","1453507415","0","0","0","转发微博","转发微博","1288359743","32","3","4","900","159","stronggo_ing","stronggo_ing","","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/1841966547/180/0/1","1","",""
"3934358269946310","3934358269946310","2571107175","3934351060313406","1453507571","0","0","0","转发微博","转发微博","1326273997","21","3","1","858","103","手机用户2571107175","手机用户2571107175","","f","15","1000","","","-1","内蒙古","http://tp4.sinaimg.cn/2571107175/180/5664410437/0","1","",""
"3934360216013420","3934360216013420","1495199125","3934351060313406","1453508035","0","0","0","转发微博","转发微博","1376540122","13","0","1","1950","28","isoft的天空","isoft的天空","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1495199125/180/0/1","1","",""
"3934363136089252","3934363136089252","1958347520","3934351060313406","1453508731","0","0","0","转发微博","转发微博","1304956005","75","40","5","430","455","欧几里二得","欧几里二得","独自等待.......","m","44","3","","","-1","广东 深圳","http://tp1.sinaimg.cn/1958347520/180/40021780257/1","1","",""
"3934364138077024","3934364138077024","2106442230","3934351060313406","1453508969","0","0","0","@我的印象笔记 ","@我的印象笔记 ","1303222636","108","20","2","62","65","kinwpf","kinwpf","即使身处丘壑，依然仰望星空。","m","32","9","","","200","江苏 盐城","http://tp3.sinaimg.cn/2106442230/180/5738109032/1","1","",""
"3934365224427439","3934365224427439","3184650322","3934351060313406","1453509228","0","0","0","转发微博","转发微博","1360405991","28","2","8","3198","97","aszxm","aszxm","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/3184650322/180/5674567914/1","1","",""
