id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3935773600333438","3935773600333438","1402400261","","1453845012","112","11","10","【(R)应用空间数据科学】《Applied Spatial Data Science with R》by Daniel Emaasit http://t.cn/RbmY9up","【(R)应用空间数据科学】《Applied Spatial Data Science with R》by Daniel Emaasit http://t.cn/RbmY9up","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww4.sinaimg.cn/large/5396ee05jw1f0dmgnepckj20io0dcwfm.jpg",""
"3935781020583701","3935781020583701","2287952254","3935773600333438","1453846780","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3935785105757916","3935785105757916","5650240940","3935773600333438","1453847755","0","0","0","转发微博","转发微博","1436491699","24","3","2","90","61","邢汉发-GISER","邢汉发-GISER","山东师范大学教师，师从陈军教授。","m","37","1","","","-1","山东 济南","http://tp1.sinaimg.cn/5650240940/180/0/1","1","",""
"3935785487226651","3935785487226651","5717987956","3935773600333438","1453847846","0","0","0","转发微博","转发微博","1443967833","8","2","249","114","246","量化社会科学","量化社会科学","介绍最前沿的量化社科研究资讯。","m","400","16","","","-1","海外 其他","http://tp1.sinaimg.cn/5717987956/180/5747967039/1","1","",""
"3935790834646814","3935790834646814","1620836993","3935773600333438","1453849121","0","0","0","转发微博","转发微博","1269938147","108","12","21","1770","228","米粒_旖旎","米粒_旖旎","","m","41","1000","","","-1","河南","http://tp2.sinaimg.cn/1620836993/180/5701096211/1","1","",""
"3935793984560587","3935793984560587","2630820703","3935773600333438","1453849872","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3935795000105888","3935795000105888","1646706835","3935773600333438","1453850113","6","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3935795608530154","3935795608530154","3209669611","3935795000105888","1453850259","3","0","0","","//@hbyido: 转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3935797172217996","3935797172217996","1741850311","3935795000105888","1453850632","0","0","0","","//@hbyido:转发微博","1295340222","79","23","31","7752","603","nemochina","nemochina","Hello, world.","f","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1741850311/180/5719287207/0","1","",""
"3935799550201375","3935799550201375","1741850311","3935773600333438","1453851199","0","0","0","转发微博","转发微博","1295340222","79","23","31","7752","603","nemochina","nemochina","Hello, world.","f","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1741850311/180/5719287207/0","1","",""
