id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3935271471229564","3935271471229564","1402400261","","1453725295","66","13","5","【大规模最近邻】《Nearest Neighbors At Scale》by Yonas Tesfaye http://t.cn/RbnPIyL","【大规模最近邻】《Nearest Neighbors At Scale》by Yonas Tesfaye http://t.cn/RbnPIyL","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05jw1f0c0sgo2xmj208c063gm1.jpg",""
"3935272649311959","3935272649311959","2612065595","3935271471229564","1453725576","0","0","0","转发微博","转发微博","1328871418","24","9","2","1696","128","houxr","houxr","","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/2612065595/180/0/1","1","",""
"3935272997226302","3935272997226302","1818791885","3935271471229564","1453725658","0","0","0","转发微博","转发微博","1284283420","184","63","48","3036","396","雨中飞鹰0808","雨中飞鹰0808","我不停的努力，只因为坚信幸运就在下一刻眷顾","m","21","2","","","-1","辽宁 大连","http://tp2.sinaimg.cn/1818791885/180/1293240193/1","1","",""
"3935277833659402","3935277833659402","1646706835","3935271471229564","1453726812","7","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3935278143714699","3935278143714699","2735948673","3935271471229564","1453726886","0","0","0","转发微博","转发微博","1337826837","19","5","1","111","45","CRYSTAL_DREAMY","CRYSTAL_DREAMY","简简单单","m","11","5","","","-1","北京 朝阳区","http://tp2.sinaimg.cn/2735948673/180/5748745344/1","1","",""
"3935278215322797","3935278215322797","1711026460","3935271471229564","1453726902","0","0","0","转发微博","转发微博","1269941071","94","4","13","3340","71","空格不见了","空格不见了","Learning","m","43","1","","","-1","湖南 长沙","http://tp1.sinaimg.cn/1711026460/180/5721402424/1","1","",""
"3935279079585828","3935279079585828","2344823017","3935271471229564","1453727109","0","0","0","转发微博","转发微博","1315234430","27","5","872","1526","54","tvsofa2008","tvsofa2008","","m","12","1","","","-1","天津 和平区","http://tp2.sinaimg.cn/2344823017/180/0/1","1","",""
"3935281348279685","3935281348279685","2167548172","3935271471229564","1453727650","0","0","0","转发微博","转发微博","1307703395","56","7","4","487","226","yaeryaeryaer","yaeryaeryaer","","f","31","7","","","-1","上海 普陀区","http://tp1.sinaimg.cn/2167548172/180/5668504883/0","1","",""
"3935281486569007","3935281486569007","5161754670","3935271471229564","1453727683","0","0","0","转发微博","转发微博","1401597821","11","3","6","1752","162","穿山岩羊","穿山岩羊","什么都不懂","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5161754670/180/5749091867/1","","",""
"3935282086639444","3935282086639444","1815237617","3935271471229564","1453727825","0","0","0","转发微博","转发微博","1283948233","12","3","2","1384","68","喵星的汪","喵星的汪","","m","43","1","","","-1","湖南 长沙","http://tp2.sinaimg.cn/1815237617/180/5723809076/1","1","",""
"3935286369396811","3935286369396811","2362412930","3935271471229564","1453728847","0","0","0","@我的印象笔记","@我的印象笔记","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3935287803437695","3935287803437695","2304284334","3935271471229564","1453729189","6","3","0","@我的印象笔记","@我的印象笔记","1313131085","10043","699","1291","26738","1211","明风","明风","前阿里巴巴 淘宝 明风","m","33","1","","","-1","浙江 杭州","http://tp3.sinaimg.cn/2304284334/180/5608114249/1","","",""
"3935287920593037","3935287920593037","3991623883","3935287803437695","1453729217","0","0","0","","//@明风: @我的印象笔记","1390380829","31","12","20","1466","351","mpiing","mpiing","额 fuck 深度潜水","m","100","1000","","","-1","其他","http://tp4.sinaimg.cn/3991623883/180/5742494084/1","1","",""
"3935289166851926","3935289166851926","3850850547","3935271471229564","1453729513","0","0","0","转发微博","转发微博","1381676397","17","1","1","1762","133","樊永显","樊永显","","m","45","3","","","-1","广西 桂林","http://tp4.sinaimg.cn/3850850547/180/5701265139/1","1","",""
