id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3935184283905962","3935184283905962","1402400261","","1453704508","92","17","19","【报告:用深度卷积神经网络(DCNN)解决不平衡分类问题】《Tackling Class Imbalance with Deep Convolutional Neural Networks》A Dalyac, M Shanahan, J Kelly [Imperial College London] (2014) http://t.cn/RbECIMP 云:http://t.cn/RbECIMh","【报告:用深度卷积神经网络(DCNN)解决不平衡分类问题】《Tackling Class Imbalance with Deep Convolutional Neural Networks》A Dalyac, M Shanahan, J Kelly [Imperial College London] (2014) http://t.cn/RbECIMP 云:http://t.cn/RbECIMh","1264809994","26327","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww4.sinaimg.cn/large/5396ee05gw1f0bqrmfl80j20js07daan.jpg",""
"3935184350757193","3935184350757193","5161754670","3935184283905962","1453704523","0","0","0","转发微博","转发微博","1401597821","11","3","6","1752","162","穿山岩羊","穿山岩羊","什么都不懂","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5161754670/180/5749091867/1","","",""
"3935184489022229","3935184489022229","2875581730","3935184283905962","1453704557","0","0","0","转发微博","转发微博","1342794648","269","77","92","5082","204","等魔炮3rd的高町薇薇欧超萌久远","等魔炮3rd的高町薇薇欧超萌久远","魔炮厨|夏娜厨|BD控|荷兰球迷|穷学生|苦逼小码农|专注Deep Learning/Metric Learning|","m","11","8","","","220","北京 海淀区","http://tp3.sinaimg.cn/2875581730/180/5742832570/1","1","",""
"3935184619148056","3935184619148056","1935861994","3935184283905962","1453704588","0","0","0","需转@保存到为知笔记 ","需转@保存到为知笔记 ","1297604694","33","24","212","83","146","大脑袋伟","大脑袋伟","非典型NLPer，资深打酱油","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/1935861994/180/5748831738/1","1","",""
"3935184795449727","3935184795449727","2342341134","3935184283905962","1453704630","0","0","0","转发微博","转发微博","1317997045","126","59","195","2662","336","fruit洋洋","fruit洋洋","","f","11","1000","","","-1","北京","http://tp3.sinaimg.cn/2342341134/180/5612964459/0","1","",""
"3935188641554412","3935188641554412","1447635785","3935184283905962","1453705547","0","0","0","Repost","Repost","1266390114","154","24","93","5197","344","Marlinhz","Marlinhz","","m","33","1","","","-1","浙江 杭州","http://tp2.sinaimg.cn/1447635785/180/40008805507/1","","",""
"3935193087998126","3935193087998126","2795909382","3935184283905962","1453706607","0","0","0","转发微博","转发微博","1336233106","283","152","30","2622","1049","小虫-called-小五","小虫-called-小五","一只向两极爬的小虫","m","32","3","","","-1","江苏 徐州","http://tp3.sinaimg.cn/2795909382/180/5645955082/1","1","",""
"3935195700635590","3935195700635590","1660464144","3935184283905962","1453707230","0","0","0","转发微博","转发微博","1307202489","27","15","10","2046","235","AllenIQY","AllenIQY","计算机视觉之深度学习","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/1660464144/180/0/1","1","",""
"3935197663753246","3935197663753246","3209669611","3935184283905962","1453707698","4","1","0","转发微博","转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3935197986952091","3935197986952091","1326610434","3935184283905962","1453707775","0","0","0","转发微博","转发微博","1287838766","257","94","1864","3630","441","决定改名字了","决定改名字了","简约而且简单","m","11","8","","","220","北京 海淀区","http://tp3.sinaimg.cn/1326610434/180/5741777789/1","1","",""
