id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3935788955685346","3935788955685346","1402400261","","1453848673","106","28","5","【现实世界机器学习——模型评价与优化】《Real-World Machine Learning: Model Evaluation and Optimization - Developer.com》by Henrik Brink, Joseph W. Richards, Mark Fetherolf http://t.cn/RbmTOO9","【现实世界机器学习——模型评价与优化】《Real-World Machine Learning: Model Evaluation and Optimization - Developer.com》by Henrik Brink, Joseph W. Richards, Mark Fetherolf http://t.cn/RbmTOO9","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww1.sinaimg.cn/large/5396ee05gw1f0do7yywu3j20bk0b2gm1.jpg",""
"3935790025241483","3935790025241483","5291384903","3935788955685346","1453848927","2","2","1","转发微博","转发微博","1411007404","2413","112","364","1648","450","数据挖掘DW","数据挖掘DW","大数据、数据挖掘及机器学习技术研究者 V 信公众号： datadw 学习资料下载： http://weidian.com/s/164351514?wfr=c","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/5291384903/180/40065714175/1","1","",""
"3935790172079298","3935790172079298","1688633432","3935788955685346","1453848963","0","0","0","转发微博","转发微博","1313935188","55","15","0","20","151","小蕾子丫丫","小蕾子丫丫","","f","61","1","","","-1","陕西 西安","http://tp1.sinaimg.cn/1688633432/180/5702103320/0","1","",""
"3935791346294214","3935791346294214","2011078613","3935788955685346","1453849243","0","0","0","转发微博","转发微博","1329146179","33","0","16","2095","224","superclocks","superclocks","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2011078613/180/0/1","1","",""
"3935791971679256","3935791971679256","5573385432","3935788955685346","1453849392","0","0","0","转发微博","转发微博","1427366391","5","1","6","681","81","statistician_hq","statistician_hq","","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/5573385432/180/5723030992/1","1","",""
"3935792131128670","3935792131128670","2362412930","3935788955685346","1453849430","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3935793241946527","3935793241946527","2612065595","3935788955685346","1453849695","0","0","0","转发微博","转发微博","1328871418","24","9","2","1696","128","houxr","houxr","","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/2612065595/180/0/1","1","",""
"3935793296799496","3935793296799496","2630820703","3935788955685346","1453849708","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3935794799021764","3935794799021764","1646706835","3935788955685346","1453850066","10","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3935795553256335","3935795553256335","1779501337","3935788955685346","1453850246","0","0","0","@我的印象笔记","@我的印象笔记","1291814988","316","162","539","4529","682","Fan不Fan","Fan不Fan","纵使世间充满不幸和苦难，我乐意发现希望和梦想，愉快奋斗。","m","44","3","","","-1","广东 深圳","http://tp2.sinaimg.cn/1779501337/180/5668773782/1","1","",""
"3935796014899437","3935796014899437","3209669611","3935794799021764","1453850356","5","0","0","","//@hbyido: 转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3935796429878289","3935796429878289","1839896195","3935788955685346","1453850453","0","0","0","转发微博","转发微博","1288104171","202","84","11","1833","152","我张小建","我张小建","需求驱动技术。","m","12","4","","","-1","天津 南开区","http://tp4.sinaimg.cn/1839896195/180/5723733973/1","1","",""
"3935797247737582","3935797247737582","1835753761","3935788955685346","1453850649","0","0","0","转发微博","转发微博","1301192894","39","1","13","2753","93","huangchao的地盘","huangchao的地盘","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1835753761/180/0/1","1","",""
"3935797839082263","3935797839082263","5048162521","3935788955685346","1453850791","0","0","0","转发微博","转发微博","1393327057","11","2","0","45","15","__刘晗__","__刘晗__","Let machine see the world .","m","21","1","","","-1","辽宁 沈阳","http://tp2.sinaimg.cn/5048162521/180/5747844300/1","1","",""
