id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3935269894350419","3935269894350419","1402400261","","1453724918","102","4","16","【深度学习调试技巧】《Some Tips for Debugging in Deep Learning》by Patrick Callier http://t.cn/Rbnvse3","【深度学习调试技巧】《Some Tips for Debugging in Deep Learning》by Patrick Callier http://t.cn/Rbnvse3","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww3.sinaimg.cn/large/5396ee05jw1f0c0m3xlcqj20o2095myg.jpg",""
"3935270711756380","3935270711756380","2011078613","3935269894350419","1453725113","0","0","0","转发微博","转发微博","1329146179","33","0","16","2095","224","superclocks","superclocks","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2011078613/180/0/1","1","",""
"3935270904953918","3935270904953918","5690758411","3935269894350419","1453725159","0","0","0","转发微博","转发微博","1440934577","5","0","17","1680","233","用户9582764301","用户9582764301","","f","400","2","","","-1","海外 英国","http://tp4.sinaimg.cn/5690758411/180/5735902697/0","","",""
"3935271973934287","3935271973934287","2618154045","3935269894350419","1453725415","0","0","0","转发微博","转发微博","1329306536","26","10","1757","534","184","甘庄子的不良少年","甘庄子的不良少年","Hello World","m","51","7","","","-1","四川 绵阳","http://tp2.sinaimg.cn/2618154045/180/5704073095/1","1","",""
"3935273332815911","3935273332815911","1639228053","3935269894350419","1453725739","0","0","0","转发微博","转发微博","1296742688","147","22","64","2011","386","莫言chank","莫言chank","关注机器学习和计算机视觉，特别是深度学习(Deep Learning)、视觉跟踪。","m","21","2","","","-1","辽宁 大连","http://tp2.sinaimg.cn/1639228053/180/5745496168/1","1","",""
"3935275225101775","3935275225101775","1822906553","3935269894350419","1453726190","0","0","0","转发微博","转发微博","1368200950","31","1","2","683","49","双子星猩","双子星猩","","m","44","1","","","-1","广东 广州","http://tp2.sinaimg.cn/1822906553/180/22846188467/1","1","",""
"3935276180818423","3935276180818423","1835753761","3935269894350419","1453726418","0","0","0","转发微博","转发微博","1301192894","39","1","13","2753","93","huangchao的地盘","huangchao的地盘","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1835753761/180/0/1","1","",""
"3935277565228348","3935277565228348","3184650322","3935269894350419","1453726748","0","0","0","转发微博","转发微博","1360405991","28","2","8","3198","97","aszxm","aszxm","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/3184650322/180/5674567914/1","1","",""
"3935277867523633","3935277867523633","1646706835","3935269894350419","1453726819","35","1","1","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3935278974184486","3935278974184486","1758509357","3935277867523633","1453727083","33","6","0","","//@hbyido:转发微博","1324633369","5399","530","114","1955","966","Copper_PKU","Copper_PKU","喜欢推导和被推倒","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1758509357/180/5619601127/1","1","",""
"3935279419504527","3935279419504527","1911663443","3935269894350419","1453727190","0","0","0","转发微博","转发微博","1294143838","91","10","17","3082","165","大头娃娃byrons","大头娃娃byrons","","m","43","1","","","-1","湖南 长沙","http://tp4.sinaimg.cn/1911663443/180/5734535287/1","1","",""
"3935279742103991","3935279742103991","1795000297","3935269894350419","1453727266","0","0","0","转发微博","转发微博","1281836882","24","3","2","3008","198","通风大圣猕五哥","通风大圣猕五哥","","m","11","14","","","-1","北京 昌平区","http://tp2.sinaimg.cn/1795000297/180/0/1","1","",""
"3935281650508820","3935281650508820","1651549787","3935278974184486","1453727721","0","0","0","","//@Copper_PKU://@hbyido:转发微博","1254709011","1352","164","107","9498","399","jiyeqian","jiyeqian","研究学术 造就人才 佑启乡邦 振导社会","m","50","6","","","-1","重庆 沙坪坝区","http://tp4.sinaimg.cn/1651549787/180/5683490359/1","1","",""
"3935282305342423","3935282305342423","3217212017","3935269894350419","1453727877","0","0","0","Repost","Repost","1357646773","54","19","5","991","200","齐士博Go","齐士博Go","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/3217212017/180/5730368274/1","1","",""
