id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936489987323108","3936489987323108","1402400261","","1454015812","72","16","7","【推荐10个提供大量开放数据集的网站】《Our 10 Favorite Open Data Libraries - CrowdFlower》by Justin Tenuto http://t.cn/Rb3eTNI","【推荐10个提供大量开放数据集的网站】《Our 10 Favorite Open Data Libraries - CrowdFlower》by Justin Tenuto http://t.cn/Rb3eTNI","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3936493540715640","3936493540715640","1983847553","3936489987323108","1454016658","0","0","0","转发微博","转发微博","1298293596","85","39","28","869","468","-O-萌胖胖-","-O-萌胖胖-","","m","400","2","","","-1","海外 英国","http://tp2.sinaimg.cn/1983847553/180/40006705831/1","1","",""
"3936504633935719","3936504633935719","2612065595","3936489987323108","1454019303","0","0","0","转发微博","转发微博","1328871418","24","9","2","1696","128","houxr","houxr","","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/2612065595/180/0/1","1","",""
"3936506496624920","3936506496624920","1408233421","3936489987323108","1454019748","0","0","0","@HironBob","@HironBob","1356322508","533","118","2714","22519","1820","surfacetoair123","surfacetoair123","智慧教育，智慧校园，推荐算法","m","11","1","","","220","北京 东城区","http://tp2.sinaimg.cn/1408233421/180/5655082122/1","","",""
"3936511403532598","3936511403532598","2362412930","3936489987323108","1454020918","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3936512519073965","3936512519073965","1932568864","3936489987323108","1454021184","0","0","0","Repost","Repost","1305601237","94","44","17","207","228","百米深蓝50米","百米深蓝50米","我就超过70个字，你打我啊","m","400","16","","","-1","海外 其他","http://tp1.sinaimg.cn/1932568864/180/5714545080/1","1","",""
"3936512968438128","3936512968438128","1851222422","3936489987323108","1454021290","0","0","0","转发微博","转发微博","1386950481","36","8","11","168","499","二黑不是狗","二黑不是狗","二黑不爱耍流氓","m","400","4","","","-1","海外 俄罗斯","http://tp3.sinaimg.cn/1851222422/180/40041657143/1","1","",""
"3936515292302382","3936515292302382","1635073337","3936489987323108","1454021845","0","0","0","转发微博","转发微博","1343838627","22","4","5","146","200","阿汪噜","阿汪噜","cs,stat,math applicant.","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1635073337/180/5728188628/1","1","",""
"3936519871570443","3936519871570443","1646706835","3936489987323108","1454022937","8","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3936522367330646","3936522367330646","5521682016","3936489987323108","1454023531","0","0","0","转发微博","转发微博","1424080850","8","0","8","71","160","shelldream2048","shelldream2048","","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/5521682016/180/5721481458/1","1","",""
"3936523164366122","3936523164366122","2151877461","3936519871570443","1454023722","0","0","0","","//@hbyido:转发微博","1306615705","378","105","37","4334","1112","数据娃掘-刘壮","数据娃掘-刘壮","人生何需久睡，死后自会长眠","m","11","2","","","-1","北京 西城区","http://tp2.sinaimg.cn/2151877461/180/5741932408/1","1","",""
"3936524406314457","3936524406314457","2262061943","3936489987323108","1454024018","0","0","0","转发微博","转发微博","1311310044","60","6","0","6718","187","anch3or","anch3or","若批评不自由，则赞美无意义。","m","37","1","","","-1","山东 济南","http://tp4.sinaimg.cn/2262061943/180/5704671911/1","1","",""
"3936524573663839","3936524573663839","5048162521","3936489987323108","1454024058","0","0","0","转发微博","转发微博","1393327057","11","2","0","45","15","__刘晗__","__刘晗__","Let machine see the world .","m","21","1","","","-1","辽宁 沈阳","http://tp2.sinaimg.cn/5048162521/180/5747844300/1","1","",""
"3936526351754316","3936526351754316","3017969280","3936489987323108","1454024482","0","0","0","转发微博","转发微博","1365556819","32","1","250","1095","120","Perry-TANG","Perry-TANG","深井冰，一枚。","f","44","3","","","-1","广东 深圳","http://tp1.sinaimg.cn/3017969280/180/5743406826/0","1","",""
"3936527404708334","3936527404708334","2617707724","3936489987323108","1454024733","0","0","0","@保存到为知笔记","@保存到为知笔记","1324871179","54","7","34","2128","402","蔡博岩","蔡博岩","","m","37","1","","","-1","山东 济南","http://tp1.sinaimg.cn/2617707724/180/5619838563/1","1","",""
"3936527706985642","3936527706985642","5161754670","3936489987323108","1454024805","0","0","0","转发微博","转发微博","1401597821","11","3","6","1752","162","穿山岩羊","穿山岩羊","什么都不懂","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5161754670/180/5749091867/1","","",""
"3936533666673421","3936533666673421","1729531410","3936519871570443","1454026226","0","0","0","","//@hbyido:转发微博","1271156698","30","10","307","632","483","diego_ma","diego_ma","图像分割，数据可视化","m","23","1","","","-1","黑龙江 哈尔滨","http://tp3.sinaimg.cn/1729531410/180/5706187970/1","1","",""
"3936535994449412","3936535994449412","2571107175","3936489987323108","1454026781","0","0","0","转发微博","转发微博","1326273997","21","3","1","858","103","手机用户2571107175","手机用户2571107175","","f","15","1000","","","-1","内蒙古","http://tp4.sinaimg.cn/2571107175/180/5664410437/0","1","",""
"3936539215961908","3936539215961908","3184650322","3936489987323108","1454027548","0","0","0","转发微博","转发微博","1360405991","28","2","8","3198","97","aszxm","aszxm","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/3184650322/180/5674567914/1","1","",""
"3936539367044969","3936539367044969","1922096083","3936489987323108","1454027584","0","0","0","转发微博","转发微博","1295062063","223","65","249","1891","502","唐唐鸭子","唐唐鸭子","比攻城狮外向，比产品汪内向","f","11","8","","","220","北京 海淀区","http://tp4.sinaimg.cn/1922096083/180/5607783899/0","","",""
"3936541703183105","3936541703183105","5095156692","3936489987323108","1454028141","0","1","0","Mark","Mark","1398406954","106","67","7","408","84","丁伟伦WEILUN","丁伟伦WEILUN","诚","m","31","10","","","-1","上海 杨浦区","http://tp1.sinaimg.cn/5095156692/180/5747650406/1","1","",""
"3936542164442527","3936542164442527","1460035151","3936489987323108","1454028252","0","0","0","转发微博","转发微博","1294912064","341","103","369","3029","736","大鱼弱智_","大鱼弱智_","","m","12","4","","","-1","天津 南开区","http://tp4.sinaimg.cn/1460035151/180/5624375455/1","1","",""
"3936542302688120","3936542302688120","2100610530","3936489987323108","1454028285","2","0","1","转发微博","转发微博","1325776856","262","82","99","1840","241","槟糖微博","槟糖微博","坚信你所做的，并坚持做下去。","m","44","3","","","-1","广东 深圳","http://tp3.sinaimg.cn/2100610530/180/40007603275/1","1","",""
