id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3934360929154514","3934360929154514","1402400261","","1453508205","101","14","12","【因果(Causation)本质上也许是分形(Fractal)】《Poking At Causation》by Howon Lee Part1: http://t.cn/Rb8VZPM","【因果(Causation)本质上也许是分形(Fractal)】《Poking At Causation》by Howon Lee Part1: http://t.cn/Rb8VZPM","1264809994","26327","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05jw1f0947zmutnj20i30b5djw.jpg",""
"3934361243618208","3934361243618208","5161754670","3934360929154514","1453508280","0","0","0","转发微博","转发微博","1401597821","11","3","6","1752","162","穿山岩羊","穿山岩羊","什么都不懂","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5161754670/180/5749091867/1","","",""
"3934361911300363","3934361911300363","2630820703","3934360929154514","1453508439","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3934362649489539","3934362649489539","1646706835","3934360929154514","1453508615","0","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3934365148893124","3934365148893124","1645815691","3934360929154514","1453509211","0","0","0","转发微博","转发微博","1293873131","367","29","576","20147","1400","亭林漠漠","亭林漠漠","思路比苦干重要，方向比努力重要！","f","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1645815691/180/40054149700/0","1","",""
"3934367698749822","3934367698749822","5204047316","3934360929154514","1453509819","0","0","0","？","？","1405688350","10","6","0","267","110","HITSA旋光","HITSA旋光","NLPer","m","23","1","","","-1","黑龙江 哈尔滨","http://tp1.sinaimg.cn/5204047316/180/5741950907/1","1","",""
"3934368777023607","3934368777023607","5309889938","3934360929154514","1453510076","0","0","0","转发微博","转发微博","1411904078","42","7","85","3999","355","黄石的詹大叔","黄石的詹大叔","","m","42","1","","","-1","湖北 武汉","http://tp3.sinaimg.cn/5309889938/180/5706871887/1","1","",""
"3934369904995921","3934369904995921","1872879267","3934360929154514","1453510345","35","1","4","转发微博","转发微博","1300718589","3447","221","486","7779","266","五维球上的运筹者","五维球上的运筹者","诗酒趁年华～","m","31","4","","","-1","上海 徐汇区","http://tp4.sinaimg.cn/1872879267/180/5742956712/1","1","",""
"3934372232864493","3934372232864493","1937618377","3934360929154514","1453510900","2","2","0","转发微博","转发微博","1296204837","7576","459","5030","5870","628","-林鸿飞-","-林鸿飞-","搜人搜物搜信息 重情重义重认知 http://ir.dlut.edu.cn 大连理工大学信息检索研究室（DUTIR） 博士 教授","m","21","2","1","林鸿飞 大连理工大学电子信息与电气工程学部 副部长， 计算机科学与技术学院 教授 博导 辽宁省政协委员","0","辽宁 大连","http://tp2.sinaimg.cn/1937618377/180/22820292660/1","1","",""
"3934373764501636","3934373764501636","3331891354","3934360929154514","1453511264","0","0","0","必看","必看","1366112509","53","23","0","686","112","wu_wenmin","wu_wenmin","推荐系统、机器学习、数据挖掘方向小白一枚","m","37","2","","","-1","山东 青岛","http://tp3.sinaimg.cn/3331891354/180/22881115523/1","1","",""
"3934375592653257","3934375592653257","2933415524","3934360929154514","1453511700","0","0","0","转发微博","转发微博","1344499657","80","47","40","520","236","Matheman数学侠","Matheman数学侠","做一个bilibili的超能力者","m","31","10","","","-1","上海 杨浦区","http://tp1.sinaimg.cn/2933415524/180/40015560852/1","1","",""
"3934375701620989","3934375701620989","2362412930","3934360929154514","1453511727","0","0","0","@我的印象笔记","@我的印象笔记","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3934375836087166","3934375836087166","1991156345","3934360929154514","1453511759","0","0","0","转发微博","转发微博","1298620863","138","8","205","488","316","Croco_Luan","Croco_Luan","偷鸡的时候不说话~","m","41","1","","","-1","河南 郑州","http://tp2.sinaimg.cn/1991156345/180/5741793037/1","1","",""
"3934376876192748","3934376876192748","5647472727","3934360929154514","1453512007","0","0","0","转发微博","转发微博","1436143141","32","8","4","675","611","大乘期君莫邪","大乘期君莫邪","","m","31","4","","","-1","上海 徐汇区","http://tp4.sinaimg.cn/5647472727/180/5747328962/1","1","",""
"3934377165531008","3934377165531008","1816601651","3934360929154514","1453512076","0","0","1","转发微博","转发微博","1284071624","97","7","32","6414","517","弓之箭013","弓之箭013","","m","15","26","","","-1","内蒙古 乌兰察布市","http://tp4.sinaimg.cn/1816601651/180/5748486634/1","1","",""
"3934378293758131","3934378293758131","1872879267","3934369904995921","1453512345","3","2","0","回复@Newsfeed:我想，反馈可以视为是机理的一部分，自相似分形等都是相对更表象一点的部分，昨天还与人讨论了复杂性的来源，反馈是一个基本方面，金融市场的复杂性来源或许还包括交易者的异质性，本质上对应分形市场假说，此外就是相互作用，以及作为开放系统存在外部信息的冲击等（内部信息流动）。","回复@Newsfeed:我想，反馈可以视为是机理的一部分，自相似分形等都是相对更表象一点的部分，昨天还与人讨论了复杂性的来源，反馈是一个基本方面，金融市场的复杂性来源或许还包括交易者的异质性，本质上对应分形市场假说，此外就是相互作用，以及作为开放系统存在外部信息的冲击等（内部信息流动）。","1300718589","3447","221","486","7779","266","五维球上的运筹者","五维球上的运筹者","诗酒趁年华～","m","31","4","","","-1","上海 徐汇区","http://tp4.sinaimg.cn/1872879267/180/5742956712/1","1","",""
"3934379078063085","3934379078063085","2704260250","3934369904995921","1453512532","0","0","0","","//@五维球上的运筹者:转发微博","1328343216","18","1","0","186","122","总是编自己记不住的密码","总是编自己记不住的密码","","f","100","1000","","","-1","其他","http://tp3.sinaimg.cn/2704260250/180/5746330083/0","1","",""
"3934379359046245","3934379359046245","2704260250","3934369904995921","1453512599","0","0","0","","//@五维球上的运筹者:转发微博","1328343216","18","1","0","186","122","总是编自己记不住的密码","总是编自己记不住的密码","","f","100","1000","","","-1","其他","http://tp3.sinaimg.cn/2704260250/180/5746330083/0","1","",""
"3934379719991968","3934379719991968","1741850311","3934372232864493","1453512685","0","0","0","","//@-林鸿飞-:转发微博","1295340222","79","23","31","7752","603","nemochina","nemochina","Hello, world.","f","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1741850311/180/5719287207/0","1","",""
"3934380478701707","3934380478701707","1768721393","3934360929154514","1453512866","0","0","0","God.","God.","1278339862","46","30","233","164","108","王温泉","王温泉","","m","11","5","","","-1","北京 朝阳区","http://tp2.sinaimg.cn/1768721393/180/1278340423/1","","",""
"3934383624769377","3934383624769377","1684953923","3934372232864493","1453513616","0","0","0","","//@-林鸿飞-:转发微博","1264124070","13398","600","1210","7009","1165","关毅的围脖","关毅的围脖","学者，教师，主要研究方向：用户健康信息学，网络挖掘，自然语言处理","m","23","1","1","哈尔滨工业大学计算机学院教授、博士生导师关毅","0","黑龙江 哈尔滨","http://tp4.sinaimg.cn/1684953923/180/5641636161/1","1","",""
"3934384933566592","3934384933566592","1495199125","3934360929154514","1453513928","0","0","0","转发微博","转发微博","1376540122","13","0","1","1950","28","isoft的天空","isoft的天空","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1495199125/180/0/1","1","",""
"3934385356755337","3934385356755337","1651509200","3934360929154514","1453514029","0","0","0","Repost","Repost","1254672362","69","7","0","268","108","八字没一撇","八字没一撇","揭谛揭谛 波罗揭谛 波罗僧揭谛 菩提萨婆诃","m","31","15","","","-1","上海 浦东新区","http://tp1.sinaimg.cn/1651509200/180/5622797527/1","","",""
"3934387718567101","3934387718567101","1212124513","3934360929154514","1453514592","0","0","0","转发微博","转发微博","1311816865","20","1","123","411","19","running_doggy","running_doggy","","m","33","1","","","-1","浙江 杭州","http://tp2.sinaimg.cn/1212124513/180/5726556522/1","1","",""
"3934388187863036","3934388187863036","1697406404","3934360929154514","1453514704","0","0","0","转发微博","转发微博","1268611758","59","1","25","898","59","网_络","网_络","","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/1697406404/180/5625288553/1","1","",""
