id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3931423700012729","3931423700012729","1402400261","","1452807915","114","41","24","【Python数据科学入门完全指南】《A Complete Tutorial to Learn Data Science with Python from Scratch》by Kunal Jain http://t.cn/R4WMnB5","【Python数据科学入门完全指南】《A Complete Tutorial to Learn Data Science with Python from Scratch》by Kunal Jain http://t.cn/R4WMnB5","1264809994","26329","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww4.sinaimg.cn/large/5396ee05gw1ezzqvrzb0vj20dw07sjsg.jpg",""
"3931424438353438","3931424438353438","2612065595","3931423700012729","1452808090","0","1","0","转发微博","转发微博","1328871418","24","9","2","1696","128","houxr","houxr","","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/2612065595/180/0/1","1","",""
"3931425869204495","3931425869204495","1937344411","3931423700012729","1452808432","0","0","0","Repost","Repost","1296132153","636","201","124","3271","1163","雪候鸟daredevil","雪候鸟daredevil","Alternative and Punk","m","11","5","","","220","北京 朝阳区","http://tp4.sinaimg.cn/1937344411/180/5728871593/1","1","",""
"3931426477444792","3931426477444792","5616087940","3931423700012729","1452808577","0","0","0","转发微博","转发微博","1432522948","1","0","0","20","38","Muai5616087940","Muai5616087940","无人时，做自己的vip","f","45","1","","","-1","广西 南宁","http://tp1.sinaimg.cn/5616087940/180/0/0","1","",""
"3931426544223268","3931426544223268","5616087940","3931423700012729","1452808593","0","0","0","转发微博","转发微博","1432522948","1","0","0","20","38","Muai5616087940","Muai5616087940","无人时，做自己的vip","f","45","1","","","-1","广西 南宁","http://tp1.sinaimg.cn/5616087940/180/0/0","1","",""
"3931430058866311","3931430058866311","1317602824","3931423700012729","1452809430","0","0","0","转发微博","转发微博","1270281551","138","51","4","2091","203","孟二爷--斗战胜佛ACE","孟二爷--斗战胜佛ACE","","m","11","7","","","-1","北京 石景山区","http://tp1.sinaimg.cn/1317602824/180/5746685884/1","1","",""
"3931430213886224","3931430213886224","5628022533","3931423700012729","1452809468","0","0","0","转发微博","转发微博","1433989802","18","6","0","859","367","Aaroncbk","Aaroncbk","","m","22","1","","","-1","吉林 长春","http://tp2.sinaimg.cn/5628022533/180/5728957157/1","1","",""
"3931430705335073","3931430705335073","2362412930","3931423700012729","1452809585","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3931431404845634","3931431404845634","1933767807","3931423700012729","1452809752","0","0","0","转发微博","转发微博","1295924095","298","83","10","2605","379","浙江小黑","浙江小黑","别人贪婪的时候恐惧，在别人恐惧的时候贪婪！","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1933767807/180/1296205209/1","1","",""
"3931432382630485","3931432382630485","1490375892","3931423700012729","1452809985","0","0","0","转发微博","转发微博","1273159645","90","55","2","5289","1487","Zidane4ever","Zidane4ever","","m","11","5","","","-1","北京 朝阳区","http://tp1.sinaimg.cn/1490375892/180/1296656817/1","1","",""
"3931435645346495","3931435645346495","2630820703","3931423700012729","1452810763","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3931437369165315","3931437369165315","2287952254","3931423700012729","1452811174","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3931440158607348","3931440158607348","1910843683","3931423700012729","1452811839","0","0","0","转发微博","转发微博","1295366083","255","29","43","885","87","cun_cBio","cun_cBio","Machine learning, Computational biology， Data mining","m","400","19","","","-1","海外 德国","http://tp4.sinaimg.cn/1910843683/180/1295366967/1","","",""
"3931441618220745","3931441618220745","2924382841","3931423700012729","1452812187","0","0","0","@有道云笔记收藏","@有道云笔记收藏","1345265829","42","2","42","188","71","朝钱看不朝后看","朝钱看不朝后看","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/2924382841/180/0/1","1","",""
"3931441865500408","3931441865500408","2516118772","3931423700012729","1452812246","0","0","0","转发微博","转发微博","1322822277","97","12","315","1620","110","头像是靠战功封郡主的花木兰","头像是靠战功封郡主的花木兰","what makes humans human?","f","11","1000","","","-1","北京","http://tp1.sinaimg.cn/2516118772/180/40051570345/0","1","",""
"3931447541329461","3931447541329461","2319707532","3931423700012729","1452813599","0","0","0","Repost","Repost","1327004134","51","7","44","440","276","Fab008","Fab008","相见不如吃面！","m","400","27","","","-1","海外 瑞典","http://tp1.sinaimg.cn/2319707532/180/5632746274/1","","",""
"3931449113716950","3931449113716950","1868547943","3931423700012729","1452813973","0","0","0","转发微博","转发微博","1290234872","386","144","112","2786","312","一吨咖啡","一吨咖啡","基本上算是个正常人～","m","400","18","","","220","海外 韩国","http://tp4.sinaimg.cn/1868547943/180/5723825404/1","1","",""
"3931451269164298","3931451269164298","1163886125","3931423700012729","1452814488","0","0","0","转发微博","转发微博","1277358147","329","145","3220","1545","527","陆千里","陆千里","才华和体重的比例要调整一下","m","32","2","","","220","江苏 无锡","http://tp2.sinaimg.cn/1163886125/180/5736290328/1","1","",""
"3931451407635889","3931451407635889","2250711635","3931423700012729","1452814521","0","0","0","转发微博","转发微博","1310741805","169","37","30","2087","1214","机器人驴得水","机器人驴得水","","m","21","1","","","-1","辽宁 沈阳","http://tp4.sinaimg.cn/2250711635/180/5715863924/1","1","",""
"3931454306568050","3931454306568050","1807812827","3931423700012729","1452815211","0","0","0","转发微博","转发微博","1283359276","23","2","3277","4287","207","TheOneWith","TheOneWith","","m","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/1807812827/180/5645090676/1","","",""
"3931454603529100","3931454603529100","1646706835","3931423700012729","1452815283","2","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3931454717350003","3931454717350003","3213897573","3931423700012729","1452815310","0","0","0","Repost","Repost","1357337818","81","18","1","4775","461","Chaff2013","Chaff2013","","m","400","1","","","-1","海外 美国","http://tp2.sinaimg.cn/3213897573/180/0/1","1","",""
"3931456038282109","3931456038282109","2099598281","3931423700012729","1452815625","0","0","0","转发微博","转发微博","1303388091","31","18","63","528","158","yuningxuan","yuningxuan","和咪一起漫步","m","50","6","","","-1","重庆 沙坪坝区","http://tp2.sinaimg.cn/2099598281/180/5733754665/1","1","",""
"3931457217093510","3931457217093510","5349941436","3931423700012729","1452815906","0","0","0","转发微博","转发微博","1414764880","9","5","1","142","63","幸福的宇智波带土","幸福的宇智波带土","","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/5349941436/180/5709732332/1","1","",""
"3931459201506830","3931459201506830","3217212017","3931423700012729","1452816379","0","1","0","Repost","Repost","1357646773","54","19","5","991","200","齐士博Go","齐士博Go","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/3217212017/180/5730368274/1","1","",""
"3931462057454269","3931462057454269","1832451415","3931423700012729","1452817060","0","0","0","转发微博","转发微博","1287332327","736","266","16560","527","501","SYSU_小布","SYSU_小布","开心的时候很想吃东西，不开心的时候不想吃东西的一枚逛街狂。","f","44","1","","","220","广东 广州","http://tp4.sinaimg.cn/1832451415/180/5737349806/0","","",""
"3931462166289937","3931462166289937","1905293095","3931423700012729","1452817085","0","0","0","转发微博","转发微博","1293587261","176","73","5","564","526","andyfaith","andyfaith","寻找七龙珠的路上，打怪升级！！！","m","44","1","","","220","广东 广州","http://tp4.sinaimg.cn/1905293095/180/40051149467/1","","",""
"3931462589935020","3931462589935020","1729531410","3931423700012729","1452817186","0","0","0","转发微博","转发微博","1271156698","30","10","307","632","483","diego_ma","diego_ma","图像分割，数据可视化","m","23","1","","","-1","黑龙江 哈尔滨","http://tp3.sinaimg.cn/1729531410/180/5706187970/1","1","",""
"3931462594132026","3931462594132026","5688507839","3931423700012729","1452817187","0","0","0","Repost","Repost","1440735709","9","2","3","69","107","大德州的一条单身狗","大德州的一条单身狗","","m","11","1","","","-1","北京 东城区","http://tp4.sinaimg.cn/5688507839/180/5735703082/1","1","",""
"3931462711398898","3931462711398898","3202089305","3931423700012729","1452817216","0","0","0","转发微博","转发微博","1356398318","18","2","1","301","83","TopwalkSnail","TopwalkSnail","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/3202089305/180/0/1","1","",""
"3931462724534069","3931462724534069","1908191355","3931423700012729","1452817219","0","0","0","转发微博","转发微博","1293807335","173","46","54","609","175","Sing-Me-Song","Sing-Me-Song","√男 √未婚 √不帅 √无钱 √23岁 √听一半的曲 ~奔着远方去吧~~","m","31","4","","","-1","上海 徐汇区","http://tp4.sinaimg.cn/1908191355/180/5668226650/1","1","",""
"3931463479389248","3931463479389248","1712745640","3931454603529100","1452817399","0","0","0","@有道云笔记收藏 @我的印象笔记","@有道云笔记收藏 @我的印象笔记 //@hbyido:转发微博","1268793719","1192","289","10023","10828","1084","进击的奉山","进击的奉山","Learn from open source","m","33","1","","","220","浙江 杭州","http://tp1.sinaimg.cn/1712745640/180/5712912223/1","","",""
"3931464909609741","3931464909609741","2120907011","3931423700012729","1452817740","0","0","0","转发微博","转发微博","1305359405","365","54","29","11538","143","虫虫笔记2015","虫虫笔记2015","给我推荐好书吧，好心人～～","m","44","1000","","","-1","广东","http://tp4.sinaimg.cn/2120907011/180/5678932457/1","1","",""
"3931466343427870","3931466343427870","2314046443","3931423700012729","1452818082","0","0","0","转发微博","转发微博","1313880649","32","2","6","4332","353","摇来摇去到家","摇来摇去到家","","m","50","8","","","-1","重庆 南岸区","http://tp4.sinaimg.cn/2314046443/180/0/1","1","",""
"3931470336735614","3931470336735614","3209669611","3931423700012729","1452819033","2","3","0","转发微博","转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3931470445616479","3931470445616479","1765879444","3931423700012729","1452819060","0","0","0","转发微博","转发微博","1321163886","57","1","39","477","22","船前溪照","船前溪照","","f","14","1","","","-1","山西 太原","http://tp1.sinaimg.cn/1765879444/180/5616131920/0","","",""
