id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936535336409154","3936535336409154","1402400261","","1454026624","45","6","2","【(Python)indico api使用示例——库存图片特征相似度计算】《Stock Image Similarity with Image Features (or How a Program is More Fashionable than Me)》 http://t.cn/Rb3sQNW","【(Python)indico api使用示例——库存图片特征相似度计算】《Stock Image Similarity with Image Features (or How a Program is More Fashionable than Me)》 http://t.cn/Rb3sQNW","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww3.sinaimg.cn/large/5396ee05jw1f0g1y3y3cij20rn0begm6.jpg",""
"3936535651500517","3936535651500517","1777380211","3936535336409154","1454026699","0","0","0","兹词 什么时候有空痛痛快快写点Python","兹词 什么时候有空痛痛快快写点Python","1282062884","257","64","59","513","598","十双袜子24块钱","十双袜子24块钱","十双袜子","m","400","24","","","-1","海外 乌克兰","http://tp4.sinaimg.cn/1777380211/180/5663216006/1","","",""
"3936535953136380","3936535953136380","1832486914","3936535336409154","1454026771","0","0","0","转发微博","转发微博","1285635895","38","4","11","201","494","C6000","C6000","","f","44","3","","","-1","广东 深圳","http://tp3.sinaimg.cn/1832486914/180/5688218296/0","","",""
"3936536883727125","3936536883727125","3266812171","3936535336409154","1454026993","0","0","0","[白眼]","[白眼]","1361878185","83","22","18","1229","115","u3D_dream","u3D_dream","天道酬勤 厚德载物","m","11","4","","","-1","北京 宣武区","http://tp4.sinaimg.cn/3266812171/180/5663857557/1","1","",""
"3936537806570091","3936537806570091","2630820703","3936535336409154","1454027213","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3936539173860813","3936539173860813","1657308823","3936535336409154","1454027539","0","0","0","转发微博","转发微博","1256890261","3178","16","43","3191","222","iZac江湖客","iZac江湖客","Oathkeeper","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/1657308823/180/5641025298/1","","",""
"3936539513565985","3936539513565985","3184650322","3936535336409154","1454027620","0","0","0","转发微博","转发微博","1360405991","28","2","8","3198","97","aszxm","aszxm","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/3184650322/180/5674567914/1","1","",""
"3936540923064085","3936540923064085","1835549387","3936535336409154","1454027955","0","0","0","转发微博","转发微博","1287655675","481","301","1199","9277","1730","宋超_美餐呢","宋超_美餐呢","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1835549387/180/5664629399/1","1","",""
"3936542504593248","3936542504593248","2046653113","3936535336409154","1454028333","0","0","0","转发微博","转发微博","1301132668","87","2","9","2820","99","其实就是烧锅炉的","其实就是烧锅炉的","","m","11","7","","","-1","北京 石景山区","http://tp2.sinaimg.cn/2046653113/180/5736564065/1","1","",""
"3936542542055945","3936542542055945","1835753761","3936535336409154","1454028342","0","0","0","转发微博","转发微博","1301192894","39","1","13","2753","93","huangchao的地盘","huangchao的地盘","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1835753761/180/0/1","1","",""
"3936546438741151","3936546438741151","1884700753","3936535336409154","1454029270","1","0","0","转发微博","转发微博","1291638537","536","259","285","3351","612","马宝君BUPT","马宝君BUPT","清华大学博士，北京邮电大学经济管理学院管理科学与工程系副教授，个人主页: http://www.baojunma.com","m","11","8","","","220","北京 海淀区","http://tp2.sinaimg.cn/1884700753/180/5675598175/1","1","",""
"3936546971560350","3936546971560350","3017113485","3936535336409154","1454029398","0","0","0","Repost","Repost","1364563101","44","8","11","211","102","CSdocumenter","CSdocumenter","Easy come, esay go","m","400","2","","","-1","海外 英国","http://tp2.sinaimg.cn/3017113485/180/5747827290/1","1","",""
"3936549030672120","3936549030672120","1163886125","3936535336409154","1454029889","0","0","0","参考一下。","参考一下。","1277358147","329","145","3220","1545","527","陆千里","陆千里","才华和体重的比例要调整一下","m","32","2","","","220","江苏 无锡","http://tp2.sinaimg.cn/1163886125/180/5736290328/1","1","",""
"3936550184122673","3936550184122673","1646706835","3936535336409154","1454030164","1","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3936551203318273","3936551203318273","2012352485","3936550184122673","1454030407","0","0","0","","//@hbyido:转发微博","1299493925","55","5","8","485","213","夜梦江南雨的世界","夜梦江南雨的世界","","m","12","4","","","-1","天津 南开区","http://tp2.sinaimg.cn/2012352485/180/5709637474/1","1","",""
"3936552487399277","3936552487399277","5120256435","3936535336409154","1454030713","0","0","0","转发微博","转发微博","1402557630","8","3","0","643","76","探路随心","探路随心","","m","22","1","","","-1","吉林 长春","http://tp4.sinaimg.cn/5120256435/180/5707497080/1","1","",""
"3936553431137387","3936553431137387","1645815691","3936535336409154","1454030937","0","0","0","转发微博","转发微博","1293873131","367","29","576","20147","1400","亭林漠漠","亭林漠漠","思路比苦干重要，方向比努力重要！","f","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1645815691/180/40054149700/0","1","",""
"3936556471488565","3936556471488565","1908599781","3936535336409154","1454031663","8","0","0","转发微博","转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3936557809641385","3936557809641385","2362412930","3936535336409154","1454031982","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3936561923871654","3936561923871654","1481906220","3936535336409154","1454032962","0","0","0","Repost","Repost","1297538278","193","45","7","2006","307","二了吧唧的小绵羊","二了吧唧的小绵羊","","f","400","1","","","-1","海外 美国","http://tp1.sinaimg.cn/1481906220/180/40020183060/0","1","",""
"3936564000592296","3936564000592296","3209669611","3936556471488565","1454033458","7","2","0","","//@Noodles-Xu: 转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3936566336237234","3936566336237234","1641967377","3936535336409154","1454034015","0","0","0","转发微博","转发微博","1251252415","860","103","75","13646","1095","moreless","moreless","noregret","m","400","1000","","","-1","海外","http://tp2.sinaimg.cn/1641967377/180/5635108341/1","","",""
"3936568806675327","3936568806675327","2299387950","3936546438741151","1454034604","0","0","0","","//@马宝君BUPT:转发微博","1312952043","153","18","5","3697","142","辰乡","辰乡","BI/摄影/旅游/乐盲/羽毛球","m","51","1","","","-1","四川 成都","http://tp3.sinaimg.cn/2299387950/180/5608012688/1","","",""
"3936569268346915","3936569268346915","2708714697","3936564000592296","1454034714","0","0","0","","//@LR机器学习计算机视觉://@Noodles-Xu: 转发微博","1334456850","18","2","3","604","69","不要污要优雅030","不要污要优雅030","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2708714697/180/5629435513/1","1","",""
"3936585906721108","3936585906721108","3735078562","3936535336409154","1454038680","0","0","0","转发微博","转发微博","1377128895","55","4","2","9371","163","行者行殇","行者行殇","","m","43","1","","","-1","湖南 长沙","http://tp3.sinaimg.cn/3735078562/180/5672096727/1","1","",""
"3936592030567679","3936592030567679","1824029835","3936535336409154","1454040141","0","0","0","转发微博","转发微博","1289526705","12","3","95","1539","100","pupu_hb","pupu_hb","专注机器视觉，模式识别。好友在微信，qq平台。","m","42","1","","","-1","湖北 武汉","http://tp4.sinaimg.cn/1824029835/180/0/1","","",""
"3936597231437286","3936597231437286","1584224864","3936564000592296","1454041381","0","0","0","","//@LR机器学习计算机视觉://@Noodles-Xu: 转发微博","1303452199","51","13","7","479","111","RocKof","RocKof","CV相关~~","m","44","3","","","-1","广东 深圳","http://tp1.sinaimg.cn/1584224864/180/5657116912/1","1","",""
"3936605229974880","3936605229974880","2894636873","3936535336409154","1454043288","0","0","0","转发微博","转发微博","1342847476","135","30","23","807","303","追客靖仔","追客靖仔","未来掌握在自己的手里，只有前进，没有放弃！","f","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2894636873/180/22833944229/0","1","",""
"3936608980353545","3936608980353545","3274572957","3936564000592296","1454044182","0","0","0","","//@LR机器学习计算机视觉://@Noodles-Xu: 转发微博","1376672825","4","0","17","280","70","IsoProPyl","IsoProPyl","","m","400","1","","","-1","海外 美国","http://tp2.sinaimg.cn/3274572957/180/5723955081/1","1","",""
"3936609013678072","3936609013678072","5081894985","3936535336409154","1454044190","0","0","0","转发微博","转发微博","1395545245","14","0","5","1129","182","chgzRobert","chgzRobert","SYSU. 爱思考，爱学习！","m","44","1","","","-1","广东 广州","http://tp2.sinaimg.cn/5081894985/180/0/1","1","",""
"3936614956544094","3936614956544094","3303213203","3936564000592296","1454045607","0","0","0","","//@LR机器学习计算机视觉://@Noodles-Xu: 转发微博","1362647993","53","21","5","1050","188","程_昱","程_昱","","m","31","12","","","-1","上海 闵行区","http://tp4.sinaimg.cn/3303213203/180/5681270156/1","1","",""
"3936620942063440","3936620942063440","3977088060","3936535336409154","1454047032","0","0","0","转发微博","转发微博","1389421250","136","14","4","7371","336","禅系一之花","禅系一之花","","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/3977088060/180/5684388625/1","1","",""
"3936630362935869","3936630362935869","1742011211","3936564000592296","1454049279","0","0","0","","//@LR机器学习计算机视觉: //@Noodles-Xu: 转发微博","1317890193","410","53","24967","30777","1971","李鸢gasover","李鸢gasover","心如工画师，能画诸世间。五蕴悉从生，无法而不造。","m","50","7","","","-1","重庆 九龙坡区","http://tp4.sinaimg.cn/1742011211/180/5612873002/1","1","",""
"3936668069737601","3936668069737601","1958347520","3936535336409154","1454058270","0","0","0","转发微博","转发微博","1304956005","75","40","5","430","455","欧几里二得","欧几里二得","独自等待.......","m","44","3","","","-1","广东 深圳","http://tp1.sinaimg.cn/1958347520/180/40021780257/1","1","",""
"3936679930873828","3936679930873828","1655906764","3936535336409154","1454061097","0","0","0","转发微博","转发微博","1257566303","25","3","0","222","38","梦世绝伦","梦世绝伦","i love programing","m","42","1","","","-1","湖北 武汉","http://tp1.sinaimg.cn/1655906764/180/5699964962/1","1","",""
"3936690806444646","3936690806444646","1909231567","3936535336409154","1454063691","0","0","0","转发微博","转发微博","1293893985","1740","68","120","1132","221","李典Jack","李典Jack","追梦人","m","11","8","1","北京渔玩科技有限公司   CEO","0","北京 海淀区","http://tp4.sinaimg.cn/1909231567/180/5619281332/1","","",""
"3936707093448445","3936707093448445","5540804153","3936564000592296","1454067574","0","0","0","","//@LR机器学习计算机视觉://@Noodles-Xu: 转发微博","1425364221","2","0","54","330","18","LittleRemy","LittleRemy","Remy is a little rat from disney land.","m","61","1","","","-1","陕西 西安","http://tp2.sinaimg.cn/5540804153/180/5722253339/1","1","",""
"3936728467743551","3936728467743551","5431044262","3936535336409154","1454072670","0","0","0","@我的印象笔记","@我的印象笔记","1418821324","2","1","11","647","124","cdsjun","cdsjun","","m","61","1","","","-1","陕西 西安","http://tp3.sinaimg.cn/5431044262/180/5748517839/1","1","",""
