id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3935103769643831","3935103769643831","1402400261","","1453685311","143","17","12","【机器学习中防止过拟合的处理方法】by 一只鸟的天空 http://t.cn/R4cVNyP","【机器学习中防止过拟合的处理方法】by 一只鸟的天空 http://t.cn/R4cVNyP","1264809994","26327","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww3.sinaimg.cn/large/5396ee05jw1f0bhjbdxw3j208k05b74d.jpg",""
"3935104218920659","3935104218920659","2545480104","3935103769643831","1453685419","0","0","0","转发微博","转发微博","1321675672","101","33","33","771","138","Sagittariusld","Sagittariusld","舍我其谁，总有一天我的才华会撑起我的野心","m","31","13","","","-1","上海 宝山区","http://tp1.sinaimg.cn/2545480104/180/5741835107/1","1","",""
"3935105309386950","3935105309386950","1752752673","3935103769643831","1453685679","0","0","0","转发微博","转发微博","1328974051","140","26","53","4476","423","richardhahahaha","richardhahahaha","爱科学，反中医，支持转基因； it从业人员，生物识别技术专家； 喜欢django, lua, angularjs, docker, deep learning","m","11","3","","","-1","北京 崇文区","http://tp2.sinaimg.cn/1752752673/180/5623941551/1","1","",""
"3935105992726752","3935105992726752","1911663443","3935103769643831","1453685842","0","0","0","转发微博","转发微博","1294143838","91","10","17","3082","165","大头娃娃byrons","大头娃娃byrons","","m","43","1","","","-1","湖南 长沙","http://tp4.sinaimg.cn/1911663443/180/5734535287/1","1","",""
"3935106152226797","3935106152226797","1490375892","3935103769643831","1453685880","0","0","0","转发微博","转发微博","1273159645","90","55","2","5288","1487","Zidane4ever","Zidane4ever","","m","11","5","","","-1","北京 朝阳区","http://tp1.sinaimg.cn/1490375892/180/1296656817/1","1","",""
"3935106244311615","3935106244311615","1646706835","3935103769643831","1453685902","0","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3935106357877434","3935106357877434","1736727390","3935103769643831","1453685929","0","0","0","转发微博","转发微博","1332685652","12","1","9","3980","115","师傅的方式","师傅的方式","","m","36","10","","","-1","江西 抚州","http://tp3.sinaimg.cn/1736727390/180/0/1","1","",""
"3935106894852838","3935106894852838","2362412930","3935103769643831","1453686057","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3935107225982384","3935107225982384","2354016433","3935103769643831","1453686136","0","0","0","转发微博","转发微博","1315743424","102","38","35","1032","159","幸福牧云笛","幸福牧云笛","Enjoy life.","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2354016433/180/5690679970/1","1","",""
"3935107431555591","3935107431555591","2630820703","3935103769643831","1453686185","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3935107981125978","3935107981125978","1402400261","3935103769643831","1453686316","48","11","9","[赞]","[赞] //@一根鞋带的自我：一只鸟得天空就是我啊，哈哈哈","1264809994","26327","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3935109029601959","3935109029601959","1763911845","3935107981125978","1453686566","0","0","0","","//@爱可可-爱生活: [赞] //@一根鞋带的自我：一只鸟得天空就是我啊，哈哈哈","1277691230","219","102","16","888","736","王sir-Vitvicky","王sir-Vitvicky","The University of Texas at Dallas, Research Assistant，对数据挖掘，机器学习，推荐系统感兴趣的小弱一枚","m","61","1","","","-1","陕西 西安","http://tp2.sinaimg.cn/1763911845/180/5610082031/1","1","",""
"3935109604089197","3935109604089197","1924273453","3935107981125978","1453686703","1","0","1","","//@爱可可-爱生活:[赞] //@一根鞋带的自我：一只鸟得天空就是我啊，哈哈哈","1295239441","400","136","1080","4603","396","万物生长猪小花","万物生长猪小花","困难的路越走越容易，容易的路越走越难。|| 人如果没有梦想，那和咸鱼有什么区别？","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1924273453/180/1300377353/1","1","",""
"3935112418731762","3935112418731762","1451053557","3935103769643831","1453687373","0","0","0","转发微博","转发微博","1309697836","43","2","11","1356","201","floridasun","floridasun","","f","35","5","","","-1","福建 泉州","http://tp2.sinaimg.cn/1451053557/180/0/0","1","",""
"3935112964178662","3935112964178662","2523723731","3935107981125978","1453687504","0","0","0","","//@爱可可-爱生活:[赞] //@一根鞋带的自我：一只鸟得天空就是我啊，哈哈哈","1323578526","52","16","2","221","255","Lich_Amnesia","Lich_Amnesia","休言万事转头空，未转头时皆梦","m","32","11","","","-1","江苏 镇江","http://tp4.sinaimg.cn/2523723731/180/5618546130/1","1","",""
"3935113051811252","3935113051811252","1747807931","3935107981125978","1453687525","0","0","0","","//@爱可可-爱生活:[赞] //@一根鞋带的自我：一只鸟得天空就是我啊，哈哈哈","1330173903","17","7","45","264","41","whearer","whearer","五楼","m","81","1","","","-1","香港 其他","http://tp4.sinaimg.cn/1747807931/180/5742727581/1","1","",""
"3935114360614648","3935114360614648","5602034987","3935107981125978","1453687836","0","0","0","嘿","嘿 //@爱可可-爱生活:[赞] //@一根鞋带的自我：一只鸟得天空就是我啊，哈哈哈","1430764078","178","137","2","280","220","生猛海鲜_NLPer进化中","生猛海鲜_NLPer进化中","境界触发者的安利吃吗亲？| 主刷WT，偶尔刷杨沛宜/女权/机器学习相关 | 游修亲妈粉，风间桑黑迷妹，WT所有人都可爱！| 绰号来自母上大人","f","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/5602034987/180/5744937833/0","","",""
"3935114633067553","3935114633067553","5120256435","3935107981125978","1453687901","0","0","0","","//@爱可可-爱生活:[赞] //@一根鞋带的自我：一只鸟得天空就是我啊，哈哈哈","1402557630","8","3","0","643","76","探路随心","探路随心","","m","22","1","","","-1","吉林 长春","http://tp4.sinaimg.cn/5120256435/180/5707497080/1","1","",""
"3935114667335897","3935114667335897","5364786900","3935107981125978","1453687910","0","0","0","","//@爱可可-爱生活: [赞] //@一根鞋带的自我：一只鸟得天空就是我啊，哈哈哈","1415618617","3","0","2","3521","71","LightmanLiu","LightmanLiu","","m","21","2","","","-1","辽宁 大连","http://tp1.sinaimg.cn/5364786900/180/0/1","1","",""
"3935115912601826","3935115912601826","2012336544","3935107981125978","1453688207","0","0","0","","//@爱可可-爱生活:[赞] //@一根鞋带的自我：一只鸟得天空就是我啊，哈哈哈","1300283339","168","104","10","181","198","田园农夫--厂","田园农夫--厂","篮球迷，科比粉丝，痴迷篮球……","m","44","3","","","-1","广东 深圳","http://tp1.sinaimg.cn/2012336544/180/40025999696/1","1","",""
