id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3933227842012590","3933227842012590","1402400261","","1453238056","71","10","4","【开源:(Python/Chainer)LDA向量化lda2vec】""lda2vec: Tools for interpreting natural language"" GitHub:http://t.cn/R4QXeAE 参阅http://weibo.com/1402400261/DdITVFADh","【开源:(Python/Chainer)LDA向量化lda2vec】""lda2vec: Tools for interpreting natural language"" GitHub:http://t.cn/R4QXeAE 参阅http://weibo.com/1402400261/DdITVFADh","1264809994","26329","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3933239187852410","3933239187852410","1668314980","3933227842012590","1453240761","0","0","0","转发微博","转发微博","1284016447","543","188","297","1929","592","cle_d","cle_d","卖萌专用。PhD Candidt,KDD. BA,MSc: (L)IS.","m","100","1000","","","220","其他","http://tp1.sinaimg.cn/1668314980/180/5612261496/1","","",""
"3933250584090829","3933250584090829","2287952254","3933227842012590","1453243478","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3933256736790707","3933256736790707","1646706835","3933227842012590","1453244944","1","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3933258217351771","3933258217351771","2362412930","3933227842012590","1453245297","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3933258251529885","3933258251529885","2362412930","3933227842012590","1453245306","0","0","0","@我的印象笔记","@我的印象笔记","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3933263406144352","3933263406144352","3409153910","3933227842012590","1453246534","0","0","0","转发微博","转发微博","1369547568","158","55","3","1008","192","我不是咸鱼_Yuer","我不是咸鱼_Yuer","TO BE BRAVE","f","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/3409153910/180/5747668880/0","1","",""
"3933267822511921","3933267822511921","1976442307","3933227842012590","1453247588","2","0","0","转发微博","转发微博","1298019242","2147","82","42","3650","492","赵_志_勇","赵_志_勇","机器学习，数据挖掘，个人博客http://blog.csdn.net/google19890102","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1976442307/180/5684064176/1","1","",""
"3933268078467499","3933268078467499","5161754670","3933227842012590","1453247649","0","0","0","转发微博","转发微博","1401597821","11","3","6","1752","162","穿山岩羊","穿山岩羊","什么都不懂","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5161754670/180/5749091867/1","","",""
"3933271513324306","3933271513324306","3902260642","3933256736790707","1453248468","0","0","0","","//@hbyido:转发微博","1384320580","28","4","1712","860","245","stone-mad","stone-mad","","m","43","3","","","-1","湖南 湘潭","http://tp3.sinaimg.cn/3902260642/180/5742215116/1","1","",""
"3933273782679674","3933273782679674","1924273453","3933267822511921","1453249009","1","0","0","","//@赵_志_勇:转发微博","1295239441","400","136","1080","4603","396","万物生长猪小花","万物生长猪小花","困难的路越走越容易，容易的路越走越难。|| 人如果没有梦想，那和咸鱼有什么区别？","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1924273453/180/1300377353/1","1","",""
"3933274096944665","3933274096944665","1984976467","3933227842012590","1453249084","0","0","0","转发微博","转发微博","1298370050","121","19","12","4509","729","citizenplay","citizenplay","城会玩","m","11","12","","","-1","北京 通州区","http://tp4.sinaimg.cn/1984976467/180/0/1","","",""
"3933274986853949","3933274986853949","1843948350","3933227842012590","1453249296","0","0","0","Repost","Repost","1323266445","13","0","1","312","113","业余做科研","业余做科研","一切圣贤皆以无为法而有差别","m","31","1000","","","-1","上海","http://tp3.sinaimg.cn/1843948350/180/0/1","1","",""
"3933278434533984","3933278434533984","1646120672","3933227842012590","1453250118","2","0","0","转发微博","转发微博","1252501754","933","129","178","10945","335","智博是小叮当","智博是小叮当","","m","21","1","","","-1","辽宁 沈阳","http://tp1.sinaimg.cn/1646120672/180/5672464174/1","","",""
"3933279130124277","3933279130124277","2656116612","3933227842012590","1453250284","0","0","0","开源:(Python/Chainer)LDA向量化lda2vec","开源:(Python/Chainer)LDA向量化lda2vec","1325927436","45","14","4","2618","872","小鬼发哥","小鬼发哥","","m","44","1000","","","-1","广东","http://tp1.sinaimg.cn/2656116612/180/0/1","1","",""
"3933280556454220","3933280556454220","1967641281","3933273782679674","1453250624","0","0","0","转发微博","转发微博","1297613489","143","42","1","284","225","怒放的生命0119","怒放的生命0119","","f","41","1","","","-1","河南 郑州","http://tp2.sinaimg.cn/1967641281/180/1297615337/0","1","",""
"3933281592093741","3933281592093741","1620836993","3933227842012590","1453250871","0","0","0","转发微博","转发微博","1269938147","108","12","21","1770","228","米粒_旖旎","米粒_旖旎","","m","41","1000","","","-1","河南","http://tp2.sinaimg.cn/1620836993/180/5701096211/1","1","",""
"3933283374934905","3933283374934905","2021592603","3933227842012590","1453251296","0","0","0","转发微博","转发微博","1299935257","152","39","93","1650","218","Outofbounds","Outofbounds","我就是我，无可替代","m","32","10","","","-1","江苏 扬州","http://tp4.sinaimg.cn/2021592603/180/5741318935/1","1","",""
"3933284737934712","3933284737934712","1884700753","3933227842012590","1453251621","0","0","0","转发微博","转发微博","1291638537","536","259","285","3351","612","马宝君BUPT","马宝君BUPT","清华大学博士，北京邮电大学经济管理学院管理科学与工程系副教授，个人主页: http://www.baojunma.com","m","11","8","","","220","北京 海淀区","http://tp2.sinaimg.cn/1884700753/180/5675598175/1","1","",""
"3933285790916069","3933285790916069","1573459941","3933278434533984","1453251872","0","0","0","","//@智博是小叮当:转发微博","1300451824","219","115","10734","2078","965","li-kaiguo","li-kaiguo","热爱机器学习,数据挖掘和自然语言处理,毕生梦想做一个能够思考的机器人","m","51","1","","","-1","四川 成都","http://tp2.sinaimg.cn/1573459941/180/40060990136/1","1","",""
"3933288391549155","3933288391549155","2230335295","3933227842012590","1453252492","0","0","0","转发微博","转发微博","1313476239","127","47","4","2735","232","王小玮哥哥","王小玮哥哥","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/2230335295/180/5619154387/1","1","",""
"3933290588909900","3933290588909900","5628022533","3933278434533984","1453253015","0","0","0","","//@智博是小叮当:转发微博","1433989802","18","6","0","859","367","Aaroncbk","Aaroncbk","","m","22","1","","","-1","吉林 长春","http://tp2.sinaimg.cn/5628022533/180/5728957157/1","1","",""
"3933292309348788","3933292309348788","3224962394","3933227842012590","1453253426","10","3","0","开源:(Python/Chainer)LDA向量化lda2vec","开源:(Python/Chainer)LDA向量化lda2vec","1363222609","10946","233","1","14506","242","NLPJob","NLPJob","www.nlpjob.com ; 微信公共账号nlpjob; 关注自然语言处理, 机器学习等相关领域的工作机会。","m","11","1","","","-1","北京 东城区","http://tp3.sinaimg.cn/3224962394/180/40086044620/1","1","",""
"3933293357488851","3933293357488851","1645815691","3933227842012590","1453253676","1","0","1","转发微博","转发微博","1293873131","367","29","576","20147","1400","亭林漠漠","亭林漠漠","思路比苦干重要，方向比努力重要！","f","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1645815691/180/40054149700/0","1","",""
"3933293386429645","3933293386429645","5069042355","3933292309348788","1453253683","0","0","0","","//@NLPJob: 开源:(Python/Chainer)LDA向量化lda2vec","1394680061","3","1","59","580","101","zhou1xiang2","zhou1xiang2",".","m","100","1000","","","-1","其他","http://tp4.sinaimg.cn/5069042355/180/5731056867/1","1","",""
"3933294494309968","3933294494309968","3863766102","3933292309348788","1453253947","0","0","0","","//@NLPJob:开源:(Python/Chainer)LDA向量化lda2vec","1382176444","11","6","2","890","271","机器学习zp","机器学习zp","","m","41","1","","","-1","河南 郑州","http://tp3.sinaimg.cn/3863766102/180/5738011635/1","1","",""
"3933294649034150","3933294649034150","1905359831","3933292309348788","1453253984","0","0","0","","//@NLPJob:开源:(Python/Chainer)LDA向量化lda2vec","1307631301","114","16","200","1654","631","ws哈哈_","ws哈哈_","开心就好","f","11","1000","","","-1","北京","http://tp4.sinaimg.cn/1905359831/180/5714444266/0","1","",""
"3933296004531550","3933296004531550","2017289457","3933292309348788","1453254306","0","0","0","","//@NLPJob:开源:(Python/Chainer)LDA向量化lda2vec","1299742242","20","10","97","225","166","徐文斌_No1","徐文斌_No1","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2017289457/180/0/1","1","",""
"3933299845755302","3933299845755302","3612479793","3933293357488851","1453255222","0","1","0","","//@亭林漠漠: 转发微博","1374829577","763","394","37","2702","1997","数据挖掘与机器学习","数据挖掘与机器学习","团队承接大数据分析与挖掘，大数据解决方案等项目，有需求欢迎私信！","m","21","1","","","-1","辽宁 沈阳","http://tp2.sinaimg.cn/3612479793/180/5710734641/1","1","",""
"3933301720565897","3933301720565897","1212124513","3933227842012590","1453255670","0","0","0","转发微博","转发微博","1311816865","20","1","123","411","19","running_doggy","running_doggy","","m","33","1","","","-1","浙江 杭州","http://tp2.sinaimg.cn/1212124513/180/5726556522/1","1","",""
"3933301842733740","3933301842733740","2882376815","3933227842012590","1453255699","0","0","0","转发微博","转发微博","1346637770","19","1","541","163","112","seebeyond163","seebeyond163","","m","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/2882376815/180/5735255060/1","","",""
"3933307911683815","3933307911683815","1863987005","3933292309348788","1453257146","0","0","0","","//@NLPJob: 开源:(Python/Chainer)LDA向量化lda2vec","1289876758","224","38","8","959","423","GXL_IIE","GXL_IIE","中科院信工所助理研究员，研究方向语音识别、机器学习（深度学习）等，欢迎讨论～","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1863987005/180/5738491953/1","","",""
"3933309517794783","3933309517794783","1863987005","3933227842012590","1453257529","0","0","0","转发微博","转发微博","1289876758","224","38","8","959","423","GXL_IIE","GXL_IIE","中科院信工所助理研究员，研究方向语音识别、机器学习（深度学习）等，欢迎讨论～","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1863987005/180/5738491953/1","","",""
"3933310805780919","3933310805780919","3327865822","3933227842012590","1453257836","0","0","0","转发微博","转发微博","1366023085","26","1","1","890","264","zhdibupt","zhdibupt","","m","13","5","","","-1","河北 邢台","http://tp3.sinaimg.cn/3327865822/180/5745459816/1","1","",""
"3933325292920390","3933325292920390","1707623185","3933292309348788","1453261290","0","0","0",""," //@NLPJob:开源:(Python/Chainer)LDA向量化lda2vec","1268122001","55","21","1","1144","254","__Shrek__","__Shrek__","","m","32","1","","","-1","江苏 南京","http://tp2.sinaimg.cn/1707623185/180/1299295216/1","1","",""
"3933331642803645","3933331642803645","1839896195","3933227842012590","1453262803","0","0","0","转发微博","转发微博","1288104171","202","84","11","1833","152","我张小建","我张小建","需求驱动技术。","m","12","4","","","-1","天津 南开区","http://tp4.sinaimg.cn/1839896195/180/5723733973/1","1","",""
"3933332137592839","3933332137592839","2445722607","3933292309348788","1453262922","0","0","0","","//@NLPJob: 开源:(Python/Chainer)LDA向量化lda2vec","1394440330","21","15","13","307","299","flyzhouge","flyzhouge","社交网络、机器学习、推荐系统","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/2445722607/180/0/1","1","",""
