id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936858620750582","3936858620750582","1402400261","","1454103701","38","7","3","【DeepMind真的(在围棋上)超越了人类智能？——探寻炒作背后的真实意义】《Go, Marvin Minsky, and the Chasm that AI Hasn’t Yet Crossed — Backchannel》by Gary Marcus http://t.cn/RbB2gw8","【DeepMind真的(在围棋上)超越了人类智能？——探寻炒作背后的真实意义】《Go, Marvin Minsky, and the Chasm that AI Hasn’t Yet Crossed — Backchannel》by Gary Marcus http://t.cn/RbB2gw8","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3936858759708627","3936858759708627","2408446540","3936858620750582","1454103734","0","0","0","转发微博","转发微博","1316386997","506","347","17","1772","1646","张克终西秦人","张克终西秦人","爱猫之人","m","11","8","","","220","北京 海淀区","http://tp1.sinaimg.cn/2408446540/180/22838368287/1","1","",""
"3936859145316801","3936859145316801","2408446540","3936858620750582","1454103825","0","0","0","说到底是人的智慧，就好比机器的计算速度比人快，但是运算电路没有智慧呀","说到底是人的智慧，就好比机器的计算速度比人快，但是运算电路没有智慧呀","1316386997","506","347","17","1772","1646","张克终西秦人","张克终西秦人","爱猫之人","m","11","8","","","220","北京 海淀区","http://tp1.sinaimg.cn/2408446540/180/22838368287/1","1","",""
"3936863011935964","3936863011935964","2501566820","3936858620750582","1454104748","0","0","0","转发微博","转发微博","1319875813","365","166","131","6097","640","puppy330","puppy330","喜歡她做戲，更愛她做人。","f","400","16","","","-1","海外 其他","http://tp1.sinaimg.cn/2501566820/180/5614998073/0","1","",""
"3936868846275366","3936868846275366","1646706835","3936858620750582","1454106139","2","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3936874505082773","3936874505082773","1365468901","3936858620750582","1454107488","0","0","0","转发微博","转发微博","1321110863","28","11","76","1253","110","Jacky-HIT","Jacky-HIT","计算机视觉，机器学习","m","23","1","","","-1","黑龙江 哈尔滨","http://tp2.sinaimg.cn/1365468901/180/5737411647/1","1","",""
"3936884440533801","3936884440533801","2825016112","3936858620750582","1454109856","1","1","0","转发微博","转发微博","1338968458","1460","312","10","941","333","haishan_baidu","haishan_baidu","负责百度的时空数据挖掘研究。","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/2825016112/180/5747723010/1","1","",""
"3936888425111832","3936888425111832","1214055232","3936884440533801","1454110807","0","0","0","","//@haishan_baidu:转发微博","1282366597","70","52","2515","1194","274","iamsile","iamsile","最轻松的日子是昨天－－peace is expensive to buy！","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/1214055232/180/5724394425/1","1","",""
"3936889855590889","3936889855590889","2612065595","3936858620750582","1454111148","0","0","0","转发微博","转发微博","1328871418","24","9","2","1696","128","houxr","houxr","","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/2612065595/180/0/1","1","",""
"3936890459389354","3936890459389354","3209669611","3936868846275366","1454111292","1","2","0","","//@hbyido: 转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3936927105133080","3936927105133080","1908599781","3936890459389354","1454120029","0","0","0","","//@LR机器学习计算机视觉://@hbyido: 转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3936928111949147","3936928111949147","1908599781","3936858620750582","1454120269","0","0","0","转发微博","转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3936930108188967","3936930108188967","3003816485","3936858620750582","1454120744","0","0","0","转发微博","转发微博","1356008060","33","9","29","1383","284","sjc想回成都去发呆","sjc想回成都去发呆","remember remember 11 of November...","m","51","1","","","-1","四川 成都","http://tp2.sinaimg.cn/3003816485/180/40016231191/1","1","",""
"3936983682034934","3936983682034934","3735078562","3936858620750582","1454133518","0","0","0","转发微博","转发微博","1377128895","55","4","2","9371","163","行者行殇","行者行殇","","m","43","1","","","-1","湖南 长沙","http://tp3.sinaimg.cn/3735078562/180/5672096727/1","1","",""
"3936988732487738","3936988732487738","1779501337","3936858620750582","1454134722","0","0","0","Repost","Repost","1291814988","316","162","539","4529","682","Fan不Fan","Fan不Fan","纵使世间充满不幸和苦难，我乐意发现希望和梦想，愉快奋斗。","m","44","3","","","-1","广东 深圳","http://tp2.sinaimg.cn/1779501337/180/5668773782/1","1","",""
"3937032273405559","3937032273405559","2798235231","3936858620750582","1454145102","1","0","0","Repost","Repost","1338954412","1008","50","192","4897","442","Kevin_机器学习_CA","Kevin_机器学习_CA","","m","11","1000","","","-1","北京","http://tp4.sinaimg.cn/2798235231/180/40051702063/1","1","",""
