id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936510812253057","3936510812253057","1402400261","","1454020777","72","20","12","【笔记本上用GNU Parallel高效处理百万量级中小文件数据】《GNU Parallel, A Million Text Files And A Single Laptop》by Randy Zwitch http://t.cn/Rb3DgfZ","【笔记本上用GNU Parallel高效处理百万量级中小文件数据】《GNU Parallel, A Million Text Files And A Single Laptop》by Randy Zwitch http://t.cn/Rb3DgfZ","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05gw1f0fz47f33fj21180liwgx.jpg",""
"3936512007761058","3936512007761058","1770891687","3936510812253057","1454021062","24","3","8","数据科学家必备技能之一（可能面试要考","数据科学家必备技能之一（可能面试要考","1328128729","7605","246","7","12843","426","phunter_lau","phunter_lau","新浪认证：朝鲜金正恩后宫表演艺术团团委书记，CRC认证仁波切一级","m","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1770891687/180/40086373345/1","","",""
"3936512921572405","3936512921572405","1953075583","3936510812253057","1454021279","0","1","0","转发微博","转发微博","1296949998","388","155","69","5755","857","zhou_phd","zhou_phd","【偶尔烦了文艺病的phd】 【2014 MSP Summit member】","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1953075583/180/5705207069/1","1","",""
"3936513148836213","3936513148836213","1759123045","3936512007761058","1454021334","2","6","0","以前管服务器的时候也用过啊⊙▽⊙","以前管服务器的时候也用过啊⊙▽⊙//@phunter_lau:数据科学家必备技能之一（可能面试要考","1279984358","2421","46","10","1324","108","Gossip_useR","Gossip_useR","Rcpp核心成员，会写C++的单身生物狗，有女朋友之前，不会考虑写原创书籍","m","44","1","","","-1","广东 广州","http://tp2.sinaimg.cn/1759123045/180/5744941563/1","","",""
"3936513659968403","3936513659968403","5573385432","3936510812253057","1454021456","0","0","0","转发微博","转发微博","1427366391","5","1","6","681","81","statistician_hq","statistician_hq","","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/5573385432/180/5723030992/1","1","",""
"3936514666611640","3936514666611640","1635073337","3936510812253057","1454021696","0","0","0","转发微博","转发微博","1343838627","22","4","5","146","200","阿汪噜","阿汪噜","cs,stat,math applicant.","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1635073337/180/5728188628/1","1","",""
"3936514670806220","3936514670806220","1758960537","3936510812253057","1454021696","0","0","0","转发微博","转发微博","1299833380","7","4","5","73","164","gameofml","gameofml"," ","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1758960537/180/5743201356/1","1","",""
"3936514712894573","3936514712894573","2188917002","3936512007761058","1454021706","0","0","0","mark","mark//@phunter_lau:数据科学家必备技能之一（可能面试要考","1329993178","74","16","68","3814","290","闪电大师特斯拉","闪电大师特斯拉","主不在乎！","m","32","5","","","-1","江苏 苏州","http://tp3.sinaimg.cn/2188917002/180/5720791015/1","1","",""
"3936517803776164","3936517803776164","1159824747","3936510812253057","1454022444","0","0","0","转发微博","转发微博","1269405975","219","97","39","10","187","王远不说话","王远不说话","王贡弹冠远溯博索","m","11","1","","","-1","北京 东城区","http://tp4.sinaimg.cn/1159824747/180/5629625423/1","1","",""
"3936518453864637","3936518453864637","1887455413","3936512007761058","1454022599","0","0","0","","//@phunter_lau:数据科学家必备技能之一（可能面试要考","1291907531","184","30","38","806","170","它们很优秀会有房会有车会有家","它们很优秀会有房会有车会有家","随波逐流的水母","m","32","1","","","220","江苏 南京","http://tp2.sinaimg.cn/1887455413/180/5734995499/1","1","",""
