id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3933407895434820","3933407895434820","1402400261","","1453280983","147","14","14","【论文:理解深度卷积网络】《Understanding Deep Convolutional Networks》S Mallat (2016) http://t.cn/R48ACS4","【论文:理解深度卷积网络】《Understanding Deep Convolutional Networks》S Mallat (2016) http://t.cn/R48ACS4","1264809994","26328","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww3.sinaimg.cn/large/5396ee05jw1f062qk2a64j20i305igmx.jpg",""
"3933408239375291","3933408239375291","1636395520","3933407895434820","1453281066","0","0","0","转发微博","转发微博","1310622944","44","23","0","293","182","leo秋霖","leo秋霖","科研工作者     秦皇岛市华贸科技有限公司副总经理","m","13","3","","","-1","河北 秦皇岛","http://tp1.sinaimg.cn/1636395520/180/5709383736/1","1","",""
"3933408256754643","3933408256754643","2287952254","3933407895434820","1453281070","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3933408352705938","3933408352705938","1302841475","3933407895434820","1453281093","0","1","0","转发微博","转发微博","1296821041","151","21","1","59","69","努力学习不容易","努力学习不容易","","f","400","2","","","-1","海外 英国","http://tp4.sinaimg.cn/1302841475/180/22893013819/0","1","",""
"3933409208028475","3933409208028475","2288976671","3933407895434820","1453281296","0","0","0","转发微博","转发微博","1319349126","82","18","15","3331","189","想飞的蜗牛007---BN","想飞的蜗牛007---BN","机器学习和数据挖掘，概率推理","m","14","1","","","-1","山西 太原","http://tp4.sinaimg.cn/2288976671/180/5745970198/1","1","",""
"3933409308927075","3933409308927075","5161754670","3933407895434820","1453281321","0","0","0","转发微博","转发微博","1401597821","11","3","6","1752","162","穿山岩羊","穿山岩羊","什么都不懂","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5161754670/180/5749091867/1","","",""
"3933410868965372","3933410868965372","2262061943","3933407895434820","1453281693","0","0","0","转发微博","转发微博","1311310044","60","6","0","6718","187","anch3or","anch3or","若批评不自由，则赞美无意义。","m","37","1","","","-1","山东 济南","http://tp4.sinaimg.cn/2262061943/180/5704671911/1","1","",""
"3933411175886598","3933411175886598","1683592140","3933407895434820","1453281766","0","0","0","转发微博","转发微博","1302688128","64","16","10","1855","204","小同志你造么我是你大爷阿","小同志你造么我是你大爷阿","","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/1683592140/180/5696421693/1","","",""
"3933411225643329","3933411225643329","1835753761","3933407895434820","1453281777","0","0","0","转发微博","转发微博","1301192894","39","1","13","2753","93","huangchao的地盘","huangchao的地盘","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1835753761/180/0/1","1","",""
"3933411225644970","3933411225644970","1996124865","3933407895434820","1453281778","0","0","0","转发微博","转发微博","1298800107","117","26","4","2025","392","大河马--valuetime","大河马--valuetime","无learning不vision","m","13","6","","","-1","河北 保定","http://tp2.sinaimg.cn/1996124865/180/5663836904/1","1","",""
"3933411641630684","3933411641630684","1889625690","3933407895434820","1453281877","0","0","0","转发微博","转发微博","1306206478","86","20","4","2474","184","yneversky","yneversky","川大计算机学院 研究兴趣：时空数据挖掘 社会网络分析 http://yneversky.sinaapp.com","m","51","1","","","-1","四川 成都","http://tp3.sinaimg.cn/1889625690/180/40023713098/1","1","",""
"3933412442677946","3933412442677946","2163580092","3933407895434820","1453282068","0","0","0","转发微博","转发微博","1307455280","67","19","460","1031","480","ascendancyst","ascendancyst","la course aux étoiles, ça n'est pas pour moi. a dead man still walking in the reality distortion field.沉舟侧畔万木春，只心等待早超生。","m","31","1","","","-1","上海 黄浦区","http://tp1.sinaimg.cn/2163580092/180/0/1","1","",""
"3933413469362445","3933413469362445","2626176925","3933407895434820","1453282313","0","0","0","@我的印象笔记","@我的印象笔记","1329873806","17","0","3","547","22","卡特曼V2","卡特曼V2","懒，懒是程序员的美德。","m","32","6","","","-1","江苏 南通","http://tp2.sinaimg.cn/2626176925/180/5741314205/1","1","",""
"3933415763978811","3933415763978811","1909231567","3933407895434820","1453282860","0","0","0","转发微博","转发微博","1293893985","1740","68","120","1132","221","李典Jack","李典Jack","追梦人","m","11","8","1","北京渔玩科技有限公司   CEO","0","北京 海淀区","http://tp4.sinaimg.cn/1909231567/180/5619281332/1","","",""
"3933415835143637","3933415835143637","2903753360","3933407895434820","1453282877","0","0","0","转发微博","转发微博","1342171150","91","57","7","2792","182","午后阳光fighting","午后阳光fighting","越卑微，越快乐","f","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/2903753360/180/5715776467/0","1","",""
"3933420348844001","3933420348844001","2362412930","3933407895434820","1453283953","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3933420356381098","3933420356381098","2857431282","3933407895434820","1453283955","0","0","0","转发微博","转发微博","1341157725","294","96","46","477","513","LeonKa0","LeonKa0","machine learning and distributed system and data science rookie.","m","400","1000","","","220","海外","http://tp3.sinaimg.cn/2857431282/180/5748152233/1","1","",""
"3933421359090386","3933421359090386","3695050281","3933407895434820","1453284193","0","0","0","转发微博","转发微博","1375541129","85","35","5","1110","73","刁民万岁2013","刁民万岁2013","研究僧一枚。 研究兴趣：Deep Learning, CV, Face Recognition.","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/3695050281/180/5670509064/1","1","",""
"3933421874929853","3933421874929853","1899170775","3933407895434820","1453284317","0","0","0","Repost","Repost","1292929813","426","80","16","8302","135","吴青松说","吴青松说","","m","100","1000","","","220","其他","http://tp4.sinaimg.cn/1899170775/180/40057111620/1","1","",""
"3933424034936263","3933424034936263","1691225412","3933407895434820","1453284832","0","0","0","小波的那个大牛吗？","小波的那个大牛吗？","1265558667","864","151","304","2569","346","干二微博","干二微博","南京邮电大学 机器学习 视频编码 视频处理 压缩感知 超分辨率重建 目标检测 视频摘要","m","32","1","","","-1","江苏 南京","http://tp1.sinaimg.cn/1691225412/180/5748871898/1","1","",""
"3933424110733318","3933424110733318","1645794700","3933407895434820","1453284850","0","0","0","转发微博","转发微博","1264754347","94","13","1","836","254","CV机器视觉2009","CV机器视觉2009","研究方向：机器视觉，图像处理，模式识别等","m","42","13","","","-1","湖北 随州","http://tp1.sinaimg.cn/1645794700/180/5720525976/1","1","",""
"3933424672504906","3933424672504906","3804377314","3933407895434820","1453284984","0","0","0","转发微博","转发微博","1379858535","11","2","3","513","83","deep______learning","deep______learning","","m","100","1000","","","-1","其他","http://tp3.sinaimg.cn/3804377314/180/0/1","1","",""
"3933427465741994","3933427465741994","2710726043","3933407895434820","1453285650","0","0","0","cnn","cnn","1334649018","62","15","64","2964","156","duin_shawe","duin_shawe","","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/2710726043/180/5629616693/1","1","",""
"3933430603117953","3933430603117953","1244843177","3933407895434820","1453286398","0","0","0","转发微博","转发微博","1364179606","45","9","34","3992","342","hnlyjzh","hnlyjzh","","m","11","1","","","-1","北京 东城区","http://tp2.sinaimg.cn/1244843177/180/0/1","1","",""
"3933432553894474","3933432553894474","2475016390","3933407895434820","1453286863","0","0","0","Repost","Repost","1318881444","114","9","3112","592","127","3A狗狗","3A狗狗","","m","100","1000","","","-1","其他","http://tp3.sinaimg.cn/2475016390/180/40061918789/1","1","",""
"3933437046302290","3933437046302290","1752752673","3933407895434820","1453287933","0","0","0","转发微博","转发微博","1328974051","140","26","53","4476","423","richardhahahaha","richardhahahaha","爱科学，反中医，支持转基因； it从业人员，生物识别技术专家； 喜欢django, lua, angularjs, docker, deep learning","m","11","3","","","-1","北京 崇文区","http://tp2.sinaimg.cn/1752752673/180/5623941551/1","1","",""
"3933438568615590","3933438568615590","3184650322","3933407895434820","1453288297","0","0","0","转发微博","转发微博","1360405991","28","2","8","3198","97","aszxm","aszxm","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/3184650322/180/5674567914/1","1","",""
"3933439927435278","3933439927435278","2773179715","3933407895434820","1453288621","0","0","0","大神出品","大神出品","1341366607","33","9","31","991","264","cao_song","cao_song","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/2773179715/180/0/1","1","",""
