id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3933653404733650","3933653404733650","1402400261","","1453339518","275","42","26","【MOOC:(Udacity)[Google]基于TensorFlow的深度学习/机器学习课程】《Deep Learning - Taking machine learning to the next level》by Vincent Vanhoucke, Arpan Chakraborty [Google] http://t.cn/R48TwR2 介绍文章《Putting Deep Learning To Work》http://t.cn/R48TwRL @慕课网","【MOOC:(Udacity)[Google]基于TensorFlow的深度学习/机器学习课程】《Deep Learning - Taking machine learning to the next level》by Vincent Vanhoucke, Arpan Chakraborty [Google] http://t.cn/R48TwR2 介绍文章《Putting Deep Learning To Work》http://t.cn/R48TwRL @慕课网","1264809994","26328","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww4.sinaimg.cn/large/5396ee05jw1f06uwav1wkj20ls0fotap.jpg",""
"3933653706668254","3933653706668254","2875581730","3933653404733650","1453339590","1","0","0","转发微博","转发微博","1342794648","269","77","92","5082","204","等魔炮3rd的高町薇薇欧超萌久远","等魔炮3rd的高町薇薇欧超萌久远","魔炮厨|夏娜厨|BD控|荷兰球迷|穷学生|苦逼小码农|专注Deep Learning/Metric Learning|","m","11","8","","","220","北京 海淀区","http://tp3.sinaimg.cn/2875581730/180/5742832570/1","1","",""
"3933654047166704","3933654047166704","3196873582","3933653404733650","1453339671","2","0","3","转发微博","转发微博","1361424533","67","54","247","161","105","Tian聪宝宝","Tian聪宝宝","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/3196873582/180/40042401706/1","1","",""
"3933654176939626","3933654176939626","1577087805","3933654047166704","1453339702","0","0","0","","//@Tian聪宝宝:转发微博","1296721678","664","162","9","88","243","Ronaldo-XI","Ronaldo-XI","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1577087805/180/5743613058/1","","",""
"3933654419828240","3933654419828240","1795000297","3933653404733650","1453339760","0","0","0","转发微博","转发微博","1281836882","24","3","2","3008","198","通风大圣猕五哥","通风大圣猕五哥","","m","11","14","","","-1","北京 昌平区","http://tp2.sinaimg.cn/1795000297/180/0/1","1","",""
"3933654470192418","3933654470192418","2702941677","3933653404733650","1453339772","0","0","0","转发微博","转发微博","1333895883","84","6","3","537","796","阿垚20111","阿垚20111","","m","23","1","","","-1","黑龙江 哈尔滨","http://tp2.sinaimg.cn/2702941677/180/0/1","1","",""
"3933654906915515","3933654906915515","2133676575","3933653404733650","1453339876","0","0","0","转发微博","转发微博","1305306559","85","8","7","1957","133","神剑傲州_月生","神剑傲州_月生","北京握奇数据系统有限公司副研究员","m","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/2133676575/180/5600328158/1","1","",""
"3933655191946498","3933655191946498","2708714697","3933653404733650","1453339944","0","0","0","转发微博","转发微博","1334456850","18","2","3","604","69","不要污要优雅030","不要污要优雅030","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2708714697/180/5629435513/1","1","",""
"3933655330121921","3933655330121921","3023866021","3933653404733650","1453339977","0","0","0","转发微博","转发微博","1350616917","85","3","1","537","61","华美的模式","华美的模式","一定要有点追求","m","31","17","","","-1","上海 松江区","http://tp2.sinaimg.cn/3023866021/180/5734778460/1","1","",""
"3933656210618643","3933656210618643","1664286972","3933653404733650","1453340186","0","0","0","@我的印象笔记","@我的印象笔记","1259310639","125","38","2591","1489","816","何文斌--Amen","何文斌--Amen","","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/1664286972/180/0/1","1","",""
