id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936634271330528","3936634271330528","1402400261","","1454050212","118","41","23","【(Python)不平衡分类/SVM/随即森林/决策树实例指南】《Dealing with Unbalanced Class, SVM, Random Forest and Decision Tree in Python》by Manu Jeevan http://t.cn/Rb1JH9e","【(Python)不平衡分类/SVM/随即森林/决策树实例指南】《Dealing with Unbalanced Class, SVM, Random Forest and Decision Tree in Python》by Manu Jeevan http://t.cn/Rb1JH9e","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww4.sinaimg.cn/large/5396ee05jw1f0gdb93sn5j20dy0cngnl.jpg",""
"3936634971862133","3936634971862133","2721200533","3936634271330528","1454050379","0","0","0","转发微博","转发微博","1335357040","157","33","7","1158","523","在路上-Bing","在路上-Bing","","m","22","1","","","-1","吉林 长春","http://tp2.sinaimg.cn/2721200533/180/22842084815/1","1","",""
"3936635022662337","3936635022662337","2483392622","3936634271330528","1454050391","1","0","0","转发微博","转发微博","1319196632","237","100","86","2129","441","罗村一条狗","罗村一条狗","多干实事，少去吠。被机器学习，偏微分方程和随机过程血虐中。梦想是当一条狗。","m","12","4","","","-1","天津 南开区","http://tp3.sinaimg.cn/2483392622/180/5748807130/1","1","",""
"3936635240381458","3936635240381458","2735948673","3936634271330528","1454050443","0","0","0","转发微博","转发微博","1337826837","19","5","1","111","45","CRYSTAL_DREAMY","CRYSTAL_DREAMY","简简单单","m","11","5","","","-1","北京 朝阳区","http://tp2.sinaimg.cn/2735948673/180/5748745344/1","1","",""
"3936635437332615","3936635437332615","1967982455","3936634271330528","1454050489","0","0","0","Repost","Repost","1297648937","27","3","5","367","87","呆头鹅阿笨","呆头鹅阿笨","没有粗面","m","37","2","","","-1","山东 青岛","http://tp4.sinaimg.cn/1967982455/180/0/1","1","",""
"3936635923837078","3936635923837078","2630820703","3936634271330528","1454050606","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3936636952095618","3936636952095618","1931795551","3936634271330528","1454050851","0","0","0","转发微博","转发微博","1295774864","32","9","2","268","122","冬笋炒肉丝","冬笋炒肉丝","","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1931795551/180/0/1","1","",""
"3936637022756756","3936637022756756","3184650322","3936634271330528","1454050867","0","0","0","转发微博","转发微博","1360405991","28","2","8","3198","97","aszxm","aszxm","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/3184650322/180/5674567914/1","1","",""
"3936637153135591","3936637153135591","2262061943","3936634271330528","1454050898","0","0","0","转发微博","转发微博","1311310044","60","6","0","6718","187","anch3or","anch3or","若批评不自由，则赞美无意义。","m","37","1","","","-1","山东 济南","http://tp4.sinaimg.cn/2262061943/180/5704671911/1","1","",""
"3936637631151650","3936637631151650","1652178252","3936634271330528","1454051013","0","0","0","转发微博","转发微博","1265522879","596","100","27","4348","206","陈翔xchencs","陈翔xchencs","博士，研究兴趣包括软件测试和程序分析。","m","32","6","","","-1","江苏 南通","http://tp1.sinaimg.cn/1652178252/180/22826763983/1","1","",""
"3936640436856092","3936640436856092","3850850547","3936634271330528","1454051681","0","0","0","转发微博","转发微博","1381676397","17","1","1","1762","133","樊永显","樊永显","","m","45","3","","","-1","广西 桂林","http://tp4.sinaimg.cn/3850850547/180/5701265139/1","1","",""
"3936640692946631","3936640692946631","5148117814","3936634271330528","1454051742","0","0","0","转发微博","转发微博","1400501138","9","2","7","168","59","a567ay","a567ay","","f","31","10","","","-1","上海 杨浦区","http://tp3.sinaimg.cn/5148117814/180/5742827670/0","1","",""
"3936640941096894","3936640941096894","1158810700","3936634271330528","1454051801","0","0","0","转发微博","转发微博","1302273750","326","200","23","1272","311","初吻给了排球","初吻给了排球","这个人很懒 什么都没有留下","m","32","1","","","220","江苏 南京","http://tp1.sinaimg.cn/1158810700/180/5597243246/1","","",""
"3936641053425268","3936641053425268","1646706835","3936634271330528","1454051828","2","2","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3936642190039530","3936642190039530","2262489275","3936634271330528","1454052100","0","0","0","转发微博","转发微博","1311300691","151","3","46","2331","101","王雄2010","王雄2010","内在的自己已由绚烂趋于平淡， 外在的关系已由平淡归于虚无!","m","42","10","","","-1","湖北 荆州","http://tp4.sinaimg.cn/2262489275/180/5716446722/1","1","",""
"3936644039739275","3936644039739275","5249174064","3936634271330528","1454052541","0","0","0","转发微博","转发微博","1407847995","1","0","3","239","44","JOJO_018","JOJO_018","","m","44","1","","","-1","广东 广州","http://tp1.sinaimg.cn/5249174064/180/0/1","1","",""
"3936644891172810","3936644891172810","1908599781","3936634271330528","1454052744","1","0","0","转发微博","转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3936645994434757","3936645994434757","1642628345","3936634271330528","1454053006","2","0","0","转发微博","转发微博","1253519893","1822","219","41","8917","412","__那谁__","__那谁__","不忘初心，方得始终。","m","44","1","","","-1","广东 广州","http://tp2.sinaimg.cn/1642628345/180/40054698366/1","","",""
"3936646225213693","3936646225213693","2362412930","3936634271330528","1454053062","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3936648297084023","3936648297084023","1736068504","3936634271330528","1454053556","0","0","0","转发微博","转发微博","1272554886","351","125","26","3271","284","MR_KYOKAgong","MR_KYOKAgong","静听世态势态失态，独坐阅弦悦弦跃玄。","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/1736068504/180/40018015997/1","1","",""
"3936651329667891","3936651329667891","1191426681","3936634271330528","1454054279","0","0","0","转发微博","转发微博","1280229236","32","2","2","119","158","无声的落幕","无声的落幕","人生是需要规划的，最起码是需要方向的！","m","35","1","","","-1","福建 福州","http://tp2.sinaimg.cn/1191426681/180/5634822111/1","1","",""
"3936654324995106","3936654324995106","3814335759","3936634271330528","1454054992","1","0","0","转发微博","转发微博","1380112751","130","37","41","887","209","DataEngineer","DataEngineer","","m","31","10","","","-1","上海 杨浦区","http://tp4.sinaimg.cn/3814335759/180/5675081538/1","1","",""
"3936655235232791","3936655235232791","5364786900","3936634271330528","1454055210","0","0","0","转发微博","转发微博","1415618617","3","0","2","3521","71","LightmanLiu","LightmanLiu","","m","21","2","","","-1","辽宁 大连","http://tp1.sinaimg.cn/5364786900/180/0/1","1","",""
"3936656312920158","3936656312920158","1364874703","3936634271330528","1454055467","0","0","0","转发微博","转发微博","1289297169","32","3","3","596","228","桃园树","桃园树","","m","45","9","","","-1","广西 玉林","http://tp4.sinaimg.cn/1364874703/180/0/1","1","",""
"3936657482713622","3936657482713622","5161754670","3936634271330528","1454055746","0","0","0","转发微博","转发微博","1401597821","11","3","6","1752","162","穿山岩羊","穿山岩羊","什么都不懂","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5161754670/180/5749091867/1","","",""
"3936658158397482","3936658158397482","5120256435","3936634271330528","1454055907","0","0","0","转发微博","转发微博","1402557630","8","3","0","643","76","探路随心","探路随心","","m","22","1","","","-1","吉林 长春","http://tp4.sinaimg.cn/5120256435/180/5707497080/1","1","",""
"3936658208439295","3936658208439295","1727708930","3936634271330528","1454055919","0","0","0","转发微博","转发微博","1270823350","95","45","1","667","156","lhdgriver","lhdgriver","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/1727708930/180/5632234426/1","1","",""
"3936658477403510","3936658477403510","1225629957","3936634271330528","1454055983","0","0","0","转发微博","转发微博","1270298350","98","5","10","7767","566","python菜鸟","python菜鸟","做最好的自己！！！","m","43","9","","","-1","湖南 益阳","http://tp2.sinaimg.cn/1225629957/180/5689487844/1","","",""
"3936659198691017","3936659198691017","1654661840","3936634271330528","1454056155","0","0","0","Repost","Repost","1299851045","121","98","1923","1832","210","严浩RB","严浩RB","一心不乱","m","400","15","","","-1","海外 日本","http://tp1.sinaimg.cn/1654661840/180/40065128581/1","","",""
