id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936491618957112","3936491618957112","1402400261","","1454016201","66","32","5","【Python vs. Scala —— 在Spark上做数据科学的六点比较】《6 points to compare Python and Scala for Data Science using Apache Spark | Vademecum of Practical Data Science》by Gianmario Spacagna http://t.cn/Rb3emKk http://t.cn/Rb3euQK .","【Python vs. Scala —— 在Spark上做数据科学的六点比较】《6 points to compare Python and Scala for Data Science using Apache Spark | Vademecum of Practical Data Science》by Gianmario Spacagna http://t.cn/Rb3emKk http://t.cn/Rb3euQK .","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3936493519044023","3936493519044023","1983847553","3936491618957112","1454016654","0","0","0","转发微博","转发微博","1298293596","85","39","28","869","468","-O-萌胖胖-","-O-萌胖胖-","","m","400","2","","","-1","海外 英国","http://tp2.sinaimg.cn/1983847553/180/40006705831/1","1","",""
"3936498821261348","3936498821261348","1815076552","3936491618957112","1454017918","0","0","0","转发微博","转发微博","1284473925","139","57","339","337","804","水鱼H","水鱼H","","m","400","7","","","-1","海外 澳大利亚","http://tp1.sinaimg.cn/1815076552/180/5682172016/1","1","",""
"3936505725133093","3936505725133093","1855412265","3936491618957112","1454019564","0","0","0","转发微博","转发微博","1289511568","671","213","82","32175","1569","阅后即焚的微博","阅后即焚的微博","不经一番寒彻骨，哪得梅花扑鼻香","m","400","1","","","-1","海外 美国","http://tp2.sinaimg.cn/1855412265/180/5748104401/1","","",""
"3936509810106354","3936509810106354","1887139130","3936491618957112","1454020537","0","0","0","转发微博","转发微博","1291355397","253","128","83","6415","744","苦行烟酒僧_","苦行烟酒僧_","把手放在圣经上，从此成为你的信徒","m","33","1","","","220","浙江 杭州","http://tp3.sinaimg.cn/1887139130/180/40016940968/1","1","",""
"3936511697205525","3936511697205525","1734417403","3936491618957112","1454020988","0","0","0","转发微博","转发微博","1272293383","1198","153","12749","13940","752","左洪斌","左洪斌","程序员","m","11","1","","","-1","北京 东城区","http://tp4.sinaimg.cn/1734417403/180/5649990817/1","1","",""
"3936512103724197","3936512103724197","1609119537","3936491618957112","1454021085","15","3","0","码了再看。","码了再看。","1263603843","13210","471","6960","25349","987","2gua","2gua","console.log(String.fromCharCode(20108, 29916, 65306, 30721, 20892, 38, 35793, 32773));","m","35","1","1","互联网资讯博主","0","福建 福州","http://tp2.sinaimg.cn/1609119537/180/40056937122/1","1","",""
"3936516545570328","3936516545570328","2633257174","3936491618957112","1454022144","0","0","0","转发微博","转发微博","1324810272","35","22","5","242","130","凡夫俗子-大飞","凡夫俗子-大飞","","m","14","1","","","-1","山西 太原","http://tp3.sinaimg.cn/2633257174/180/5620487322/1","1","",""
"3936517020439240","3936517020439240","2312151777","3936491618957112","1454022257","0","0","0","转发微博","转发微博","1313764705","231","80","12","2765","1992","来份宫保","来份宫保","我是不愿意透漏姓名的宫健先生","m","21","1","","","220","辽宁 沈阳","http://tp2.sinaimg.cn/2312151777/180/5718366945/1","1","",""
"3936517087304478","3936517087304478","5131518113","3936491618957112","1454022272","0","0","0","转发微博","转发微博","1399167604","11","1","15","3217","1006","用户5ky48n0sor","用户5ky48n0sor","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/5131518113/180/5713932972/1","1","",""
