id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3937031895697100","3937031895697100","1402400261","","1454145013","24","4","2","【视频:数据中心无监督潜在故障(异常)检测】《Unsupervised Latent Faults Detection in Data Centers - Microsoft Research》by Moshe Gabel http://t.cn/RbBYz4X","【视频:数据中心无监督潜在故障(异常)检测】《Unsupervised Latent Faults Detection in Data Centers - Microsoft Research》by Moshe Gabel http://t.cn/RbBYz4X","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww3.sinaimg.cn/large/5396ee05gw1f0hmz0i5pqj20zk0k0wgw.jpg",""
"3937032524798781","3937032524798781","1742707982","3937031895697100","1454145163","4","0","0","转发微博","转发微博","1274015813","371","208","12","2899","685","Mr刘_淡呆","Mr刘_淡呆","","m","44","1","","","-1","广东 广州","http://tp3.sinaimg.cn/1742707982/180/5658659741/1","1","",""
"3937033904726348","3937033904726348","1940978023","3937031895697100","1454145492","0","0","0","转发微博","转发微博","1296300306","303","75","476","1768","518","黃先森失蹤的香辛料肋排","黃先森失蹤的香辛料肋排","I'll be your muffin man with any flavor that you want.","m","100","1000","","","-1","其他","http://tp4.sinaimg.cn/1940978023/180/5748521314/1","1","",""
"3937036245783958","3937036245783958","3774892362","3937031895697100","1454146049","0","0","0","转发微博","转发微博","1378434831","71","32","199","1378","192","一大片林子的米粒","一大片林子的米粒","","m","36","3","","","-1","江西 萍乡","http://tp3.sinaimg.cn/3774892362/180/5726349829/1","1","",""
"3937036723817485","3937036723817485","1835549387","3937031895697100","1454146164","0","0","0","转发微博","转发微博","1287655675","481","301","1199","9277","1730","宋超_美餐呢","宋超_美餐呢","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1835549387/180/5664629399/1","1","",""
"3937036987277235","3937036987277235","2362412930","3937031895697100","1454146226","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3937038266692169","3937038266692169","3209669611","3937032524798781","1454146531","3","1","1","","//@Mr刘_淡呆: 转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3937038552186348","3937038552186348","1770534561","3937031895697100","1454146600","0","0","0","转发微博","转发微博","1278579559","0","0","2","595","54","larkrise","larkrise","","m","32","6","","","-1","江苏 南通","http://tp2.sinaimg.cn/1770534561/180/0/1","1","",""
"3937042633030249","3937042633030249","2262061943","3937031895697100","1454147573","0","0","0","转发微博","转发微博","1311310044","60","6","0","6718","187","anch3or","anch3or","若批评不自由，则赞美无意义。","m","37","1","","","-1","山东 济南","http://tp4.sinaimg.cn/2262061943/180/5704671911/1","1","",""
"3937048005723969","3937048005723969","1191426681","3937031895697100","1454148854","0","0","0","转发微博","转发微博","1280229236","32","2","2","119","158","无声的落幕","无声的落幕","人生是需要规划的，最起码是需要方向的！","m","35","1","","","-1","福建 福州","http://tp2.sinaimg.cn/1191426681/180/5634822111/1","1","",""
