id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936132011778699","3936132011778699","1402400261","","1453930464","116","5","0","【视频:Nature对DeepMind/AlphaGo的官方报道】《The computer that mastered Go - YouTube》 http://t.cn/RbuRZDf http://t.cn/RbunDN2 .","【视频:Nature对DeepMind/AlphaGo的官方报道】《The computer that mastered Go - YouTube》 http://t.cn/RbuRZDf http://t.cn/RbunDN2 .","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3936132138472000","3936132138472000","3980159100","3936132011778699","1453930494","1","0","0","要挑战李世石？ @Flame_on","要挑战李世石？ @Flame_on","1389954287","46","30","83","2261","265","Martini_09","Martini_09","闷声发大财","m","400","1","","","-1","海外 美国","http://tp1.sinaimg.cn/3980159100/180/5732578967/1","","",""
"3936134717755532","3936134717755532","1216246844","3936132011778699","1453931109","0","0","0","Repost","Repost","1322293320","52","25","1","575","203","bit_yangxm","bit_yangxm","ACMer, Googler","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/1216246844/180/5723227473/1","1","",""
"3936137334410190","3936137334410190","5667693354","3936132011778699","1453931733","0","0","0","DeepMind/AlphaGo，这些人在把不可能变成可能。 YouTube下的棋局链接http://t.cn/RbumGnC 想想自己对围棋的认识仅限于吃子和围棋少年动画片，觉得江流儿可以换成强化学习算法了……","DeepMind/AlphaGo，这些人在把不可能变成可能。 YouTube下的棋局链接http://t.cn/RbumGnC 想想自己对围棋的认识仅限于吃子和围棋少年动画片，觉得江流儿可以换成强化学习算法了……","1438663335","1","0","0","113","25","从hash开始","从hash开始","坚持！","f","100","1000","","","-1","其他","http://tp3.sinaimg.cn/5667693354/180/5737195386/0","","",""
"3936139021070330","3936139021070330","2665369137","3936132011778699","1453932135","0","0","0","我居然看完了","我居然看完了","1360474180","139","29","4","1899","210","杨星星是个大懵逼","杨星星是个大懵逼","谢谢我们还年轻","f","100","1000","","","-1","其他","http://tp2.sinaimg.cn/2665369137/180/5731008012/0","1","",""
"3936139637132982","3936139637132982","2124394811","3936132011778699","1453932282","0","0","0","@红烧Lo 你去一战何如？","@红烧Lo 你去一战何如？","1304813933","157","72","56","151","139","lionshilionshi","lionshilionshi","","m","400","2","","","-1","海外 英国","http://tp4.sinaimg.cn/2124394811/180/5600213566/1","1","",""
"3936139939255092","3936139939255092","1495199125","3936132011778699","1453932354","0","0","0","转发微博","转发微博","1376540122","13","0","1","1950","28","isoft的天空","isoft的天空","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1495199125/180/0/1","1","",""
"3936140472511486","3936140472511486","2287952254","3936132011778699","1453932481","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3936144603000511","3936144603000511","5705523371","3936132011778699","1453933465","0","0","0","转发微博","转发微博","1442579130","13","0","0","187","61","准备起舞的日子","准备起舞的日子","","m","13","1","","","-1","河北 石家庄","http://tp4.sinaimg.cn/5705523371/180/0/1","1","",""
"3936146071331761","3936146071331761","1402400261","3936132011778699","1453933815","17","11","3","@新智元 提供的中文介绍《Google人工智能击败欧洲围棋冠军，3月挑战世界冠军！》http://t.cn/Rbummyy","@新智元 提供的中文介绍《Google人工智能击败欧洲围棋冠军，3月挑战世界冠军！》http://t.cn/Rbummyy","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
