id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936885410247708","3936885410247708","1402400261","","1454110088","22","10","3","【Kaggle's NOAA Right Whale Recognition竞赛第一名访谈】《NOAA Right Whale Recognition, Winners’ Interview: 1st place, deepsense.io | no free hunch》 http://t.cn/RbBUb9i","【Kaggle's NOAA Right Whale Recognition竞赛第一名访谈】《NOAA Right Whale Recognition, Winners’ Interview: 1st place, deepsense.io | no free hunch》 http://t.cn/RbBUb9i","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05jw1f0h656yaaej20r306kjsx.jpg",""
"3936887703867770","3936887703867770","1046196273","3936885410247708","1454110635","0","0","0","转发微博","转发微博","1364649066","53","6","99","2127","76","Boyd_CV","Boyd_CV","北哒...","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1046196273/180/5669376275/1","1","",""
"3936888744662991","3936888744662991","3209669611","3936885410247708","1454110883","2","1","0","转发微博","转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3936895291381932","3936895291381932","5537249598","3936885410247708","1454112444","0","0","0","Repost","Repost","1425085641","2","1","1","119","25","suilingxi爱美食","suilingxi爱美食","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5537249598/180/0/1","1","",""
"3936902627173747","3936902627173747","1318535063","3936885410247708","1454114192","0","0","0","转发微博","转发微博","1264559426","28","2","7","454","56","红色的白色的","红色的白色的","","f","11","4","","","-1","北京 宣武区","http://tp4.sinaimg.cn/1318535063/180/5721607375/0","","",""
"3936907630903811","3936907630903811","2168896971","3936885410247708","1454115386","0","0","0","转发微博","转发微博","1307580303","20","13","7","157","85","记忆的永恒2","记忆的永恒2","想用研究生的时间学出来博士的水平","m","41","11","","","-1","河南 漯河","http://tp4.sinaimg.cn/2168896971/180/5748192762/1","","",""
"3936911993051533","3936911993051533","1937344411","3936885410247708","1454116426","0","0","0","Repost","Repost","1296132153","636","201","124","3271","1163","雪候鸟daredevil","雪候鸟daredevil","Alternative and Punk","m","11","5","","","220","北京 朝阳区","http://tp4.sinaimg.cn/1937344411/180/5728871593/1","1","",""
"3936916682200284","3936916682200284","2100610530","3936885410247708","1454117544","0","0","0","转发微博","转发微博","1325776856","262","82","99","1840","241","槟糖微博","槟糖微博","坚信你所做的，并坚持做下去。","m","44","3","","","-1","广东 深圳","http://tp3.sinaimg.cn/2100610530/180/40007603275/1","1","",""
"3936916729168543","3936916729168543","2362412930","3936885410247708","1454117555","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3936927579338808","3936927579338808","1908599781","3936888744662991","1454120142","0","0","0","","//@LR机器学习计算机视觉:转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3936927617419658","3936927617419658","1642628345","3936885410247708","1454120150","0","0","0","转发微博","转发微博","1253519893","1822","219","41","8917","412","__那谁__","__那谁__","不忘初心，方得始终。","m","44","1","","","-1","广东 广州","http://tp2.sinaimg.cn/1642628345/180/40054698366/1","","",""
