id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936361452931736","3936361452931736","1402400261","","1453985167","70","31","14","【机器学习 vs. 专家——金融机器学习的优势】《Machine Learning vs. Quants: The Advantages of Machine Learning in Finance — OAP》by Bradford Cross http://t.cn/Rb3pkLi","【机器学习 vs. 专家——金融机器学习的优势】《Machine Learning vs. Quants: The Advantages of Machine Learning in Finance — OAP》by Bradford Cross http://t.cn/Rb3pkLi","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww4.sinaimg.cn/large/5396ee05jw1f0fhz8v8ntj20kf0oc7ax.jpg",""
"3936361843113799","3936361843113799","1914450674","3936361452931736","1453985260","8","1","0","转发微博","转发微博","1294208701","1966","319","639","11369","1194","孙明明_SmarterChina","孙明明_SmarterChina","统计，逻辑，知识","m","11","8","","","220","北京 海淀区","http://tp3.sinaimg.cn/1914450674/180/5644229416/1","1","",""
"3936362136469931","3936362136469931","3197245652","3936361452931736","1453985330","0","0","0","转发微博","转发微博","1361355867","49","8","18","3590","539","罗杰2211","罗杰2211","","f","51","1","","","-1","四川 成都","http://tp1.sinaimg.cn/3197245652/180/5718280843/0","1","",""
"3936362325368564","3936362325368564","1646706835","3936361452931736","1453985374","1","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3936362762320409","3936362762320409","3850850547","3936361452931736","1453985479","0","0","0","转发微博","转发微博","1381676397","17","1","1","1762","133","樊永显","樊永显","","m","45","3","","","-1","广西 桂林","http://tp4.sinaimg.cn/3850850547/180/5701265139/1","1","",""
"3936363877807663","3936363877807663","1856777232","3936361452931736","1453985745","0","0","0","转发微博","转发微博","1287248996","175","39","4","282","565","IdLiKE","IdLiKE","心怀感恩，自爱爱人。","f","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/1856777232/180/5720929532/0","1","",""
"3936364279883767","3936364279883767","2468718581","3936361452931736","1453985841","0","0","0","转发微博","转发微博","1321458613","87","26","1169","2503","1453","虾米微虾米","虾米微虾米","","m","35","1","","","-1","福建 福州","http://tp2.sinaimg.cn/2468718581/180/0/1","1","",""
"3936364431372953","3936364431372953","1872879267","3936361452931736","1453985877","3","2","0","感觉传统金融工程提供了标准的定价与度量风险等方法，尽管至巴舍利耶的博士论文以来，金融学中数学模型日益丰富，但缺陷也很明显，这些模型的功用的（理念性的）讨论，德曼的《失灵:为什么看起来可靠的模型最终都会失效》相对说的较好。另，机器学习无疑是未来的重要工具，若不是“最重要”。","感觉传统金融工程提供了标准的定价与度量风险等方法，尽管至巴舍利耶的博士论文以来，金融学中数学模型日益丰富，但缺陷也很明显，这些模型的功用的（理念性的）讨论，德曼的《失灵:为什么看起来可靠的模型最终都会失效》相对说的较好。另，机器学习无疑是未来的重要工具，若不是“最重要”。","1300718589","3447","221","486","7779","266","五维球上的运筹者","五维球上的运筹者","诗酒趁年华～","m","31","4","","","-1","上海 徐汇区","http://tp4.sinaimg.cn/1872879267/180/5742956712/1","1","",""
"3936365278497793","3936365278497793","3917711437","3936361452931736","1453986078","0","0","0","Repost","Repost","1385311077","229","13","925","2898","342","dqkrises","dqkrises","Nothing worth achieving is easy in this life.","m","11","5","","","-1","北京 朝阳区","http://tp2.sinaimg.cn/3917711437/180/5731246095/1","","",""
"3936368684065338","3936368684065338","2173787604","3936364431372953","1453986891","0","0","0","","//@五维球上的运筹者: 传统金融工程提供了标准的定价与度量风险等方法，巴舍利耶的博士论文以来，金融学中数学模型日益丰富，但缺陷也很明显，这些模型的功用（理念性的）讨论，德曼的《失灵:为什么看起来可靠的模型最终都会失效》相对说的较好。另，机器学习无疑是未来的重要工具，若不是“最重要”。","1308041526","435","133","1205","246","527","桥水哒哒哒","桥水哒哒哒","反依赖 | 瑜不掩瑕 丨Brony","m","33","1","","","-1","浙江 杭州","http://tp1.sinaimg.cn/2173787604/180/5748967565/1","1","",""
