id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3934401786246870","3934401786246870","1402400261","","1453517946","160","31","19","【聚类算法总结】by 军军 http://t.cn/Rb86Yzs","【聚类算法总结】by 军军 http://t.cn/Rb86Yzs","1264809994","26327","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05jw1f098wy5ibtj208b04vdfx.jpg",""
"3934401832879638","3934401832879638","2262061943","3934401786246870","1453517956","0","0","0","转发微博","转发微博","1311310044","60","6","0","6718","187","anch3or","anch3or","若批评不自由，则赞美无意义。","m","37","1","","","-1","山东 济南","http://tp4.sinaimg.cn/2262061943/180/5704671911/1","1","",""
"3934403493528947","3934403493528947","5306772897","3934401786246870","1453518353","0","0","0","Repost","Repost","1411731082","110","8","31","528","1170","梁望望姐姐","梁望望姐姐","","f","400","2","","","-1","海外 英国","http://tp2.sinaimg.cn/5306772897/180/5707014435/0","1","",""
"3934403502037074","3934403502037074","1711026460","3934401786246870","1453518354","0","0","0","转发微博","转发微博","1269941071","94","4","13","3340","71","空格不见了","空格不见了","Learning","m","43","1","","","-1","湖南 长沙","http://tp1.sinaimg.cn/1711026460/180/5721402424/1","1","",""
"3934403505604759","3934403505604759","1835549387","3934401786246870","1453518356","0","0","0","转发微博","转发微博","1287655675","481","301","1199","9281","1730","宋超_美餐呢","宋超_美餐呢","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1835549387/180/5664629399/1","1","",""
"3934404197910493","3934404197910493","5161754670","3934401786246870","1453518521","0","0","0","转发微博","转发微博","1401597821","11","3","6","1752","162","穿山岩羊","穿山岩羊","什么都不懂","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5161754670/180/5749091867/1","","",""
"3934404672245612","3934404672245612","1646706835","3934401786246870","1453518634","58","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3934406362711316","3934406362711316","5659435591","3934401786246870","1453519037","0","0","0","转发微博","转发微博","1437577527","16","2","4","266","209","figure_2008","figure_2008","iOS Developer","m","61","1","","","-1","陕西 西安","http://tp4.sinaimg.cn/5659435591/180/5742209664/1","1","",""
"3934407192712872","3934407192712872","2362412930","3934401786246870","1453519235","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3934407293137570","3934407293137570","2630820703","3934401786246870","1453519259","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3934408173832387","3934408173832387","2784168970","3934401786246870","1453519469","0","0","0","@我的印象笔记","@我的印象笔记","1335396230","214","60","8","1911","257","想要飞向nf的菇凉","想要飞向nf的菇凉","祸兮福之所倚，福兮祸之所伏～福兮祸兮，祸兮福兮～","f","42","1","","","-1","湖北 武汉","http://tp3.sinaimg.cn/2784168970/180/5746888422/0","1","",""
"3934408328888912","3934408328888912","5520260375","3934401786246870","1453519506","0","0","0","转发微博","转发微博","1423931884","3","0","139","466","79","StatisticsWay","StatisticsWay","","m","41","1000","","","-1","河南","http://tp4.sinaimg.cn/5520260375/180/5718944334/1","","",""
"3934408387896198","3934408387896198","1670842004","3934401786246870","1453519520","0","0","0","转发微博","转发微博","1300891707","293","56","10","1396","359","-知道不知道-","-知道不知道-","张麻子说：“死人有时比活人有用”!","m","11","1000","","","-1","北京","http://tp1.sinaimg.cn/1670842004/180/5649305866/1","1","",""
"3934409193254284","3934409193254284","1662894873","3934401786246870","1453519712","0","0","0","转发微博","转发微博","1258887988","256","15","3","7293","1534","2php","2php","绝世的天蝎冷漠与热情~~~","m","51","19","","","-1","四川 巴中","http://tp2.sinaimg.cn/1662894873/180/40057539354/1","1","",""
"3934409801222394","3934409801222394","1847725977","3934401786246870","1453519857","0","0","0","转发微博","转发微博","1288886504","15","0","13","4084","44","陆璎","陆璎","陆璎","m","400","1000","","","-1","海外","http://tp2.sinaimg.cn/1847725977/180/5740983454/1","1","",""
"3934412616209301","3934412616209301","1719002613","3934401786246870","1453520528","0","0","0","看看","看看","1286700852","179","33","40","2141","263","张小牙的小屋","张小牙的小屋","love your life, perfect your life.","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1719002613/180/40091022469/1","1","",""
"3934413170078990","3934413170078990","1761559305","3934401786246870","1453520660","0","0","0","转发微博","转发微博","1338959524","51","12","13","1044","140","暖风_游人","暖风_游人","","m","33","1","","","-1","浙江 杭州","http://tp2.sinaimg.cn/1761559305/180/5747206688/1","1","",""
