id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3935403704633528","3935403704633528","1402400261","","1453756822","51","12","9","【基于Spark/TensorFlow的深度学习】《Deep Learning with Spark and TensorFlow | Databricks Blog》by Tim Hunter http://t.cn/RbnJeEF","【基于Spark/TensorFlow的深度学习】《Deep Learning with Spark and TensorFlow | Databricks Blog》by Tim Hunter http://t.cn/RbnJeEF","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww3.sinaimg.cn/large/5396ee05jw1f0cfzejpkbj207s07s0th.jpg",""
"3935410327588619","3935410327588619","2052400315","3935403704633528","1453758401","0","0","0","转发微博","转发微博","1301351552","715","35","23","4543","453","勤快须菩提","勤快须菩提","佛是一种生活态度","m","44","3","","","-1","广东 深圳","http://tp4.sinaimg.cn/2052400315/180/5597071386/1","","",""
"3935416312398506","3935416312398506","2287952254","3935403704633528","1453759828","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3935418975839949","3935418975839949","1847725977","3935403704633528","1453760463","0","0","0","转发微博","转发微博","1288886504","15","0","13","4084","44","陆璎","陆璎","陆璎","m","400","1000","","","-1","海外","http://tp2.sinaimg.cn/1847725977/180/5740983454/1","1","",""
"3935419811474219","3935419811474219","3840084453","3935403704633528","1453760662","1","1","0","Repost","Repost","1381325178","194","124","0","2651","2294","ShenLanSDU","ShenLanSDU","大数据,云网络,云计算,云机器人,云存储,分布式计算与系统,虚拟化与SDN,物联网,量子信息,ITS,智能家居,数据可视化,知识工程,智慧城市,智能视频识别。","m","37","1","","","-1","山东 济南","http://tp2.sinaimg.cn/3840084453/180/5724075689/1","1","",""
"3935424202257483","3935424202257483","1818791885","3935403704633528","1453761708","0","0","0","转发微博","转发微博","1284283420","184","63","48","3036","396","雨中飞鹰0808","雨中飞鹰0808","我不停的努力，只因为坚信幸运就在下一刻眷顾","m","21","2","","","-1","辽宁 大连","http://tp2.sinaimg.cn/1818791885/180/1293240193/1","1","",""
"3935425360087842","3935425360087842","3850850547","3935403704633528","1453761985","0","0","0","转发微博","转发微博","1381676397","17","1","1","1762","133","樊永显","樊永显","","m","45","3","","","-1","广西 桂林","http://tp4.sinaimg.cn/3850850547/180/5701265139/1","1","",""
"3935429424243841","3935429424243841","1046196273","3935403704633528","1453762954","0","0","0","转发微博","转发微博","1364649066","53","6","99","2127","76","Boyd_CV","Boyd_CV","北哒...","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1046196273/180/5669376275/1","1","",""
"3935429873472061","3935429873472061","2169309380","3935403704633528","1453763061","0","0","0","转发微博","转发微博","1307796660","48","18","653","1776","183","心吾行","心吾行","","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/2169309380/180/5627310714/1","","",""
"3935432456793080","3935432456793080","2142001643","3935403704633528","1453763677","0","0","0","转发微博","转发微博","1308490223","36","17","107","475","289","jjppa","jjppa","","m","100","1000","","","-1","其他","http://tp4.sinaimg.cn/2142001643/180/0/1","1","",""
