id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3935787923597351","3935787923597351","1402400261","","1453848426","67","12","3","【数据拓扑应用】《Applying Topology to Data》Part1:http://t.cn/RbmTKlS Part2:http://t.cn/RbmT0Lt Part3:http://t.cn/RbmT0LV Part4:http://t.cn/RbmT0Lc","【数据拓扑应用】《Applying Topology to Data》Part1:http://t.cn/RbmTKlS Part2:http://t.cn/RbmT0Lt Part3:http://t.cn/RbmT0LV Part4:http://t.cn/RbmT0Lc","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww1.sinaimg.cn/large/5396ee05gw1f0do3punkqj207i06mt8x.jpg",""
"3935788477389130","3935788477389130","1364349203","3935787923597351","1453848559","0","0","0","转发微博","转发微博","1267754333","211","6","115","2757","941","快乐服务站","快乐服务站","优秀者起初都是个傻子。","m","62","1","","","-1","甘肃 兰州","http://tp4.sinaimg.cn/1364349203/180/5714649863/1","1","",""
"3935791447050890","3935791447050890","2011078613","3935787923597351","1453849267","0","0","0","转发微博","转发微博","1329146179","33","0","16","2095","224","superclocks","superclocks","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2011078613/180/0/1","1","",""
"3935791610403673","3935791610403673","1770891687","3935787923597351","1453849305","11","0","0","转发微博","转发微博","1328128729","7605","246","7","12843","426","phunter_lau","phunter_lau","新浪认证：朝鲜金正恩后宫表演艺术团团委书记，CRC认证仁波切一级","m","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1770891687/180/40086373345/1","","",""
"3935792059630943","3935792059630943","1148705324","3935791610403673","1453849412","0","0","0","","//@phunter_lau:转发微博","1257678875","181","52","1277","1406","695","豆瓣迪卡斯","豆瓣迪卡斯","长得解闷，活得随机","m","14","1","","","-1","山西 太原","http://tp1.sinaimg.cn/1148705324/180/5654946247/1","1","",""
"3935792152379800","3935792152379800","2362412930","3935787923597351","1453849434","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3935792714058244","3935792714058244","2058723344","3935791610403673","1453849569","0","0","0","","//@phunter_lau: 转发微博","1301742805","494","256","1403","3393","992","叫我卡米尔Exaera","叫我卡米尔Exaera","uncharted water","m","400","15","","","220","海外 日本","http://tp1.sinaimg.cn/2058723344/180/40020451904/1","1","",""
"3935793267872415","3935793267872415","2612065595","3935787923597351","1453849701","0","0","0","转发微博","转发微博","1328871418","24","9","2","1696","128","houxr","houxr","","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/2612065595/180/0/1","1","",""
"3935793405883013","3935793405883013","2630820703","3935787923597351","1453849734","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3935794819235269","3935794819235269","1646706835","3935787923597351","1453850071","11","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
