id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3931416456348145","3931416456348145","1402400261","","1452806188","79","12","3","【用R做机器学习】《Use R For Machine Learning - Machine Learning Mastery》by Jason Brownlee http://t.cn/R4WMM90","【用R做机器学习】《Use R For Machine Learning - Machine Learning Mastery》by Jason Brownlee http://t.cn/R4WMM90","1264809994","26329","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww1.sinaimg.cn/large/5396ee05jw1ezzq1yw1v1j20dc0hsq58.jpg",""
"3931419086589244","3931419086589244","2355287347","3931416456348145","1452806815","0","0","0","Repost","Repost","1315819643","343","118","47","207","169","红轱辘糊","红轱辘糊","","m","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/2355287347/180/5748110253/1","1","",""
"3931422132191077","3931422132191077","2425508953","3931416456348145","1452807541","0","0","0","转发微博","转发微博","1319431672","66","43","238","1181","248","桃花山寨主","桃花山寨主","","m","44","1","","","-1","广东 广州","http://tp2.sinaimg.cn/2425508953/180/5615610272/1","1","",""
"3931431518752401","3931431518752401","1933767807","3931416456348145","1452809779","0","0","0","转发微博","转发微博","1295924095","298","83","10","2605","379","浙江小黑","浙江小黑","别人贪婪的时候恐惧，在别人恐惧的时候贪婪！","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1933767807/180/1296205209/1","1","",""
"3931435741844780","3931435741844780","2630820703","3931416456348145","1452810786","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3931437512087739","3931437512087739","2287952254","3931416456348145","1452811208","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3931440234889096","3931440234889096","1910843683","3931416456348145","1452811857","0","0","0","转发微博","转发微博","1295366083","255","29","43","885","87","cun_cBio","cun_cBio","Machine learning, Computational biology， Data mining","m","400","19","","","-1","海外 德国","http://tp4.sinaimg.cn/1910843683/180/1295366967/1","","",""
"3931445350922263","3931445350922263","3484925391","3931416456348145","1452813077","0","0","2","可以的？","可以的？","1372241941","51","25","18","676","176","喵蛙牌的某爽","喵蛙牌的某爽","","m","50","1","","","-1","重庆 万州区","http://tp4.sinaimg.cn/3484925391/180/5728115668/1","1","",""
"3931446509124755","3931446509124755","2383739512","3931416456348145","1452813352","0","0","0","用R做机器学习","用R做机器学习","1315542823","500","128","12","1428","583","数海拾贝","数海拾贝","活过每一个季节；呼吸空气，喝水，品尝水果，让自己感受它们对你的影响。","m","51","1","","","-1","四川 成都","http://tp1.sinaimg.cn/2383739512/180/40006912578/1","1","",""
"3931447956299786","3931447956299786","2319707532","3931416456348145","1452813698","0","0","0","Repost","Repost","1327004134","51","7","44","440","276","Fab008","Fab008","相见不如吃面！","m","400","27","","","-1","海外 瑞典","http://tp1.sinaimg.cn/2319707532/180/5632746274/1","","",""
"3931454402631811","3931454402631811","1807812827","3931416456348145","1452815235","0","0","0","转发微博","转发微博","1283359276","23","2","3277","4287","207","TheOneWith","TheOneWith","","m","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/1807812827/180/5645090676/1","","",""
"3931454704762205","3931454704762205","1646706835","3931416456348145","1452815307","8","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3931455749008839","3931455749008839","3902260642","3931454704762205","1452815555","0","0","0","","//@hbyido:转发微博","1384320580","28","4","1712","860","245","stone-mad","stone-mad","","m","43","3","","","-1","湖南 湘潭","http://tp3.sinaimg.cn/3902260642/180/5742215116/1","1","",""
