id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3937074887411207","3937074887411207","1402400261","","1454155263","16","2","1","【""好代码""识别——基于机器学习的高效代码bug检修系统】《Recognizing correct code | MIT News》by Larry Hardesty http://t.cn/RbBXo6k","【""好代码""识别——基于机器学习的高效代码bug检修系统】《Recognizing correct code | MIT News》by Larry Hardesty http://t.cn/RbBXo6k","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3937075130880331","3937075130880331","1472672341","3937074887411207","1454155321","0","0","0","转发微博","转发微博","1268991606","173","48","2","1066","271","泡泡茶bubbletea","泡泡茶bubbletea","","m","33","1","","","-1","浙江 杭州","http://tp2.sinaimg.cn/1472672341/180/5746921672/1","","",""
"3937076359750803","3937076359750803","3134152623","3937074887411207","1454155613","0","0","0","👍👍👍","👍👍👍","1354429273","31","12","23","328","152","aituming","aituming","","m","32","1","","","-1","江苏 南京","http://tp4.sinaimg.cn/3134152623/180/5693478129/1","1","",""
"3937076430668575","3937076430668575","2362412930","3937074887411207","1454155631","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3937078460981503","3937078460981503","3848950217","3937074887411207","1454156114","0","0","0","转发微博","转发微博","1382015058","10","2","6","2411","323","animuyan","animuyan","Do what you can.","m","11","1","","","-1","北京 东城区","http://tp2.sinaimg.cn/3848950217/180/5724853351/1","1","",""
"3937098258045833","3937098258045833","2353979947","3937074887411207","1454160834","0","0","0","转发微博","转发微博","1319714578","182","118","52","1552","1092","Ronald_Xie","Ronald_Xie","Robotics Scientist","m","81","1","","","-1","香港 其他","http://tp4.sinaimg.cn/2353979947/180/5696911585/1","1","",""
"3937102440210696","3937102440210696","1726613340","3937074887411207","1454161832","0","0","0","转发微博","转发微博","1295683107","269","42","18210","14762","689","Cruyff88","Cruyff88","中大, Data Mining and Machine Learning. To be an irrational optimist.","m","44","1","","","-1","广东 广州","http://tp1.sinaimg.cn/1726613340/180/5716122642/1","1","",""
"3937115744149096","3937115744149096","1908599781","3937074887411207","1454165004","0","0","0","转发微博","转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3937117757042628","3937117757042628","1191426681","3937074887411207","1454165484","0","0","0","转发微博","转发微博","1280229236","32","2","2","119","158","无声的落幕","无声的落幕","人生是需要规划的，最起码是需要方向的！","m","35","1","","","-1","福建 福州","http://tp2.sinaimg.cn/1191426681/180/5634822111/1","1","",""
"3937122283034927","3937122283034927","1495199125","3937074887411207","1454166563","0","0","0","转发微博","转发微博","1376540122","13","0","1","1950","28","isoft的天空","isoft的天空","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1495199125/180/0/1","1","",""
"3937122824306395","3937122824306395","1646706835","3937074887411207","1454166692","1","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3937124271539945","3937124271539945","2163914697","3937074887411207","1454167036","0","0","0","Repost","Repost","1307245955","87","8","7008","1790","125","乐幸运越努力","乐幸运越努力","","m","41","8","","","-1","河南 焦作","http://tp2.sinaimg.cn/2163914697/180/5697030449/1","1","",""
"3937125508473432","3937125508473432","3978299824","3937122824306395","1454167331","0","0","0","","//@hbyido: 转发微博","1389608468","275","37","345","3687","2006","神科技","神科技","为科技投资者服务。专注科技信息评论，挖掘其中的投资机会。","m","31","1","","","-1","上海 黄浦区","http://tp1.sinaimg.cn/3978299824/180/5728894798/1","","",""
"3937128095988805","3937128095988805","1779501337","3937074887411207","1454167948","0","0","0","@我的印象笔记","@我的印象笔记","1291814988","316","162","539","4529","682","Fan不Fan","Fan不Fan","纵使世间充满不幸和苦难，我乐意发现希望和梦想，愉快奋斗。","m","44","3","","","-1","广东 深圳","http://tp2.sinaimg.cn/1779501337/180/5668773782/1","1","",""
"3937132156091502","3937132156091502","5161754670","3937074887411207","1454168917","0","0","0","转发微博","转发微博","1401597821","11","3","6","1752","162","穿山岩羊","穿山岩羊","什么都不懂","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5161754670/180/5749091867/1","","",""
