id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3934725229799534","3934725229799534","1402400261","","1453595060","73","20","8","【视频:1993年的卷积网络演示(Yann LeCun)】《Convolutional Network Demo from 1993 - YouTube》 http://t.cn/RbRqRdY http://t.cn/RbRqRdC .","【视频:1993年的卷积网络演示(Yann LeCun)】《Convolutional Network Demo from 1993 - YouTube》 http://t.cn/RbRqRdY http://t.cn/RbRqRdC .","1264809994","26327","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3934726194919738","3934726194919738","1995979297","3934725229799534","1453595291","0","0","0","转发微博","转发微博","1298815606","1525","465","0","10004","605","iROCKBUNNY","iROCKBUNNY","会写代码的设计师、略懂艺术的研究员、开机车的吉他手、玩摄影的滑板少年","m","11","8","","","220","北京 海淀区","http://tp2.sinaimg.cn/1995979297/180/5618927893/1","1","",""
"3934727310163866","3934727310163866","1949118045","3934725229799534","1453595556","0","0","0","Repost","Repost","1296719489","169","178","302","51","544","老老老老板一份厨师沙律","老老老老板一份厨师沙律","给他吃糖啊","m","400","1","","","-1","海外 美国","http://tp2.sinaimg.cn/1949118045/180/5690613153/1","","",""
"3934729558076110","3934729558076110","1646706835","3934725229799534","1453596093","1","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3934729931771363","3934729931771363","1841966547","3934725229799534","1453596182","0","0","0","转发微博","转发微博","1288359743","32","3","4","900","159","stronggo_ing","stronggo_ing","","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/1841966547/180/0/1","1","",""
"3934730376313699","3934730376313699","2266597031","3934725229799534","1453596288","0","0","0","转发微博","转发微博","1311497493","192","102","38","610","185","白瑜庆","白瑜庆","","m","11","11","","","-1","北京 房山区","http://tp4.sinaimg.cn/2266597031/180/5748301567/1","1","",""
"3934731014300359","3934731014300359","2703041832","3934725229799534","1453596440","0","0","0","转发微博","转发微博","1328277060","154","71","355","267","198","ethanycliu","ethanycliu","","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/2703041832/180/5726735752/1","1","",""
"3934732376947367","3934732376947367","2362412930","3934725229799534","1453596765","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3934733564041740","3934733564041740","1734061792","3934725229799534","1453597048","0","0","0","哇塞","哇塞","1272108777","44","12","51","763","144","刘淼530","刘淼530","","m","21","1","","","-1","辽宁 沈阳","http://tp1.sinaimg.cn/1734061792/180/5691155639/1","1","",""
"3934734046369930","3934734046369930","1495199125","3934725229799534","1453597163","0","0","0","转发微博","转发微博","1376540122","13","0","1","1950","28","isoft的天空","isoft的天空","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1495199125/180/0/1","1","",""
"3934736520678427","3934736520678427","1683592140","3934725229799534","1453597753","0","0","0","经典视频 CNN","经典视频 CNN","1302688128","64","16","10","1855","204","小同志你造么我是你大爷阿","小同志你造么我是你大爷阿","","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/1683592140/180/5696421693/1","","",""
"3934736697221072","3934736697221072","1621865537","3934725229799534","1453597795","0","0","0","你能感受到来自科研狗的喜悦[嘻嘻]","你能感受到来自科研狗的喜悦[嘻嘻]","1291818409","185","41","5","1049","144","黑曼巴89","黑曼巴89","。","m","400","1","","","-1","海外 美国","http://tp2.sinaimg.cn/1621865537/180/5731896183/1","1","",""
"3934736935934787","3934736935934787","3184650322","3934725229799534","1453597851","0","0","0","转发微博","转发微博","1360405991","28","2","8","3198","97","aszxm","aszxm","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/3184650322/180/5674567914/1","1","",""
"3934738148291585","3934738148291585","1645184811","3934725229799534","1453598141","0","0","0","转发微博","转发微博","1310517842","171","7","212","1089","56","昔日芭蕉","昔日芭蕉","雨打芭蕉落满地，相思不知寄与谁","f","31","12","","","-1","上海 闵行区","http://tp4.sinaimg.cn/1645184811/180/5732152187/0","","",""
"3934738986859746","3934738986859746","2510996864","3934725229799534","1453598340","0","0","0","转发微博","转发微博","1320289260","49","4","80","821","446","我听大象的","我听大象的","通信学生","m","32","1","","","-1","江苏 南京","http://tp1.sinaimg.cn/2510996864/180/5741389467/1","1","",""
"3934739692273362","3934739692273362","2703871403","3934725229799534","1453598509","0","0","0","转发微博","转发微博","1375768696","20","13","6","105","123","十点十分htw","十点十分htw","","m","37","1","","","-1","山东 济南","http://tp4.sinaimg.cn/2703871403/180/22880781864/1","1","",""
"3934741394539851","3934741394539851","1562233560","3934725229799534","1453598914","0","0","0","哎哟，不错哦","哎哟，不错哦","1307186549","12","2","1064","1682","223","Navi___","Navi___","人生就像一盒火柴 ，严禁使用是愚蠢的，乱用是危险","m","44","3","","","-1","广东 深圳","http://tp1.sinaimg.cn/1562233560/180/40099716477/1","","",""
"3934741616727482","3934741616727482","3026699055","3934725229799534","1453598968","0","0","0","Repost","Repost","1349626571","120","33","9","2448","654","resurrect_corec","resurrect_corec","","f","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/3026699055/180/0/0","1","",""
"3934742246516237","3934742246516237","1645815691","3934725229799534","1453599117","0","0","0","转发微博","转发微博","1293873131","367","29","576","20147","1400","亭林漠漠","亭林漠漠","思路比苦干重要，方向比努力重要！","f","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1645815691/180/40054149700/0","1","",""
"3934742732471886","3934742732471886","1824029835","3934725229799534","1453599234","0","0","0","转发微博","转发微博","1289526705","12","3","95","1539","100","pupu_hb","pupu_hb","专注机器视觉，模式识别。好友在微信，qq平台。","m","42","1","","","-1","湖北 武汉","http://tp4.sinaimg.cn/1824029835/180/0/1","","",""
"3934743009669573","3934743009669573","1043443892","3934725229799534","1453599300","1","0","0","珍贵","珍贵","1303532934","205","121","7","530","410","戾血阳","戾血阳","厦门大学信息科学与技术学院","m","35","2","","","-1","福建 厦门","http://tp1.sinaimg.cn/1043443892/180/5669831004/1","1","",""
"3934744187872499","3934744187872499","3700669640","3934725229799534","1453599581","0","0","0","转发微博","转发微博","1394455724","33","25","1","1546","86","Sara倾心兰","Sara倾心兰","","f","100","1000","","","-1","其他","http://tp1.sinaimg.cn/3700669640/180/5748238390/0","1","",""
"3934748474428104","3934748474428104","2837545975","3934725229799534","1453600603","0","0","0","转发微博","转发微博","1348411297","67","4","30","504","92","liang3p","liang3p","我来了，我看见。","m","15","1","","","-1","内蒙古 呼和浩特","http://tp4.sinaimg.cn/2837545975/180/5737246119/1","1","",""
