id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3932518031876114","3932518031876114","1402400261","","1453068824","99","19","10","【幻灯:机器学习介绍(85页)】《Introduction to machine learning》by Quentin de Laroussilhe http://t.cn/R4TzS53 云:http://t.cn/R4TzNPD","【幻灯:机器学习介绍(85页)】《Introduction to machine learning》by Quentin de Laroussilhe http://t.cn/R4TzS53 云:http://t.cn/R4TzNPD","1264809994","26329","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww4.sinaimg.cn/large/5396ee05jw1f038j5mm0nj20py0dv0w5.jpg",""
"3932518707320171","3932518707320171","2161707863","3932518031876114","1453068984","0","0","0","Repost","Repost","1307102941","439","76","2316","168","280","Nishere","Nishere","繁华似锦一路春，面若桃花思官人","f","400","2","","","-1","海外 英国","http://tp4.sinaimg.cn/2161707863/180/5735726165/0","1","",""
"3932525224974385","3932525224974385","1134535090","3932518031876114","1453070539","0","0","0","Mark","Mark","1279034579","580","77","96","1834","1002","Pizzro_justsend","Pizzro_justsend","不論如何，感激生活中出現路過的所有人們。","m","43","1","","","-1","湖南 长沙","http://tp3.sinaimg.cn/1134535090/180/5747340156/1","1","",""
"3932528736329456","3932528736329456","2924382841","3932518031876114","1453071376","0","0","0","@有道云笔记收藏","@有道云笔记收藏","1345265829","42","2","42","188","71","朝钱看不朝后看","朝钱看不朝后看","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/2924382841/180/0/1","1","",""
"3932528937211801","3932528937211801","2383739512","3932518031876114","1453071424","0","0","0","收藏","收藏","1315542823","500","128","12","1428","583","数海拾贝","数海拾贝","活过每一个季节；呼吸空气，喝水，品尝水果，让自己感受它们对你的影响。","m","51","1","","","-1","四川 成都","http://tp1.sinaimg.cn/2383739512/180/40006912578/1","1","",""
"3932528991479149","3932528991479149","1034197953","3932518031876114","1453071437","12","0","0","Repost","Repost","1254492038","881","80","488","9831","925","彤言彤趣","彤言彤趣","混东混西，怀揣梦想到处讨饭吃的IT混子～ 想法天马行空，时常想将天上的神马变成自己地球上的座驾～～","m","11","5","","","-1","北京 朝阳区","http://tp2.sinaimg.cn/1034197953/180/5688716059/1","1","",""
"3932529595631787","3932529595631787","2630820703","3932518031876114","1453071581","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3932532620211630","3932532620211630","1802069901","3932518031876114","1453072302","0","0","0","转发微博","转发微博","1282676004","49","6","387","130","228","Koiyoa","Koiyoa","","f","32","1","","","-1","江苏 南京","http://tp2.sinaimg.cn/1802069901/180/5731335434/0","","",""
"3932536344076030","3932536344076030","1835753761","3932518031876114","1453073190","0","0","0","转发微博","转发微博","1301192894","39","1","13","2753","93","huangchao的地盘","huangchao的地盘","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1835753761/180/0/1","1","",""
"3932536444776349","3932536444776349","1904602771","3932528991479149","1453073214","10","0","0","","//@彤言彤趣:Repost","1293466001","641","145","7","5671","716","gootobe","gootobe","白发渔樵江渚上，惯看秋月春风。","m","11","8","","","220","北京 海淀区","http://tp4.sinaimg.cn/1904602771/180/5620989710/1","","",""
"3932536986371005","3932536986371005","3156050340","3932518031876114","1453073343","0","0","0","Repost","Repost","1360079240","18","3","1","408","175","平行的芝麻饼","平行的芝麻饼","Age is my alarm clock","m","400","1000","","","-1","海外","http://tp1.sinaimg.cn/3156050340/180/5708339891/1","1","",""
"3932538705400950","3932538705400950","5717378525","3932518031876114","1453073752","0","0","0","转发微博","转发微博","1443930624","33","9","15","56","638","瑞德678","瑞德678","","m","400","16","","","-1","海外 其他","http://tp2.sinaimg.cn/5717378525/180/5748987543/1","","",""
"3932539472994663","3932539472994663","1835549387","3932528991479149","1453073936","0","0","0","","//@彤言彤趣:Repost","1287655675","481","301","1199","9283","1730","宋超_美餐呢","宋超_美餐呢","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1835549387/180/5664629399/1","1","",""
