id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3937030780219865","3937030780219865","1402400261","","1454144747","13","8","0","“Maybe the most important thing is to surround yourself with people greater than you are and to learn from them.” -Andre Karpistsenko( http://t.cn/RyH2opl )","“Maybe the most important thing is to surround yourself with people greater than you are and to learn from them.” -Andre Karpistsenko( http://t.cn/RyH2opl )","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3937033258844193","3937033258844193","1905358317","3937030780219865","1454145338","0","0","0","太对","太对","1293544017","59","29","49","2555","193","fighting_刘","fighting_刘","to be free","m","32","6","","","-1","江苏 南通","http://tp2.sinaimg.cn/1905358317/180/5745502309/1","1","",""
"3937038644531211","3937038644531211","3973402612","3937030780219865","1454146622","0","0","0","转发微博","转发微博","1395226698","24","21","12","419","76","HadXu","HadXu","不忘初心 方得始终","m","32","5","","","-1","江苏 苏州","http://tp1.sinaimg.cn/3973402612/180/5734006849/1","1","",""
"3937039189922124","3937039189922124","3209669611","3937030780219865","1454146752","1","2","0","转发微博","转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3937045535659177","3937045535659177","3209103815","3937030780219865","1454148265","0","0","0","转发微博","转发微博","1356875383","180","68","161","13068","515","游荡在佛罗伦萨的海盗猫","游荡在佛罗伦萨的海盗猫","","f","100","1000","","","-1","其他","http://tp4.sinaimg.cn/3209103815/180/5748853370/0","","",""
"3937049189002624","3937049189002624","3735078562","3937030780219865","1454149135","0","0","0","转发微博","转发微博","1377128895","55","4","2","9371","163","行者行殇","行者行殇","","m","43","1","","","-1","湖南 长沙","http://tp3.sinaimg.cn/3735078562/180/5672096727/1","1","",""
"3937054888840424","3937054888840424","2167548172","3937030780219865","1454150494","0","0","0","转发微博","转发微博","1307703395","56","7","4","487","226","yaeryaeryaer","yaeryaeryaer","","f","31","7","","","-1","上海 普陀区","http://tp1.sinaimg.cn/2167548172/180/5668504883/0","1","",""
"3937094462330586","3937094462330586","2200861430","3937030780219865","1454159929","0","0","0","转发微博","转发微博","1345127570","50","15","4","434","131","姚百合","姚百合","","f","35","1","","","-1","福建 福州","http://tp3.sinaimg.cn/2200861430/180/5734955066/0","1","",""
"3937116268820562","3937116268820562","1908599781","3937039189922124","1454165128","0","0","0","","//@LR机器学习计算机视觉:转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3937117166221299","3937117166221299","1908599781","3937030780219865","1454165342","0","0","0","转发微博","转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3937123570313833","3937123570313833","1646706835","3937030780219865","1454166870","0","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
