id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936850643564600","3936850643564600","1402400261","","1454101799","49","11","4","【开源:(TensorFlow)基于CNN的围棋棋局预测与评价】""using CNN to do move prediction and board evaluation for the board game Go"" by Justin Gilmer http://t.cn/RbB26sN","【开源:(TensorFlow)基于CNN的围棋棋局预测与评价】""using CNN to do move prediction and board evaluation for the board game Go"" by Justin Gilmer http://t.cn/RbB26sN","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05jw1f0h25toyslj20go0ci74w.jpg",""
"3936864660934379","3936864660934379","1770891687","3936850643564600","1454105140","6","2","0","点赞，学习一下围棋的Ai怎么搞","点赞，学习一下围棋的Ai怎么搞","1328128729","7605","246","7","12843","426","phunter_lau","phunter_lau","新浪认证：朝鲜金正恩后宫表演艺术团团委书记，CRC认证仁波切一级","m","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1770891687/180/40086373345/1","","",""
"3936866375775249","3936866375775249","1562291757","3936864660934379","1454105550","0","0","0","","//@phunter_lau:点赞，学习一下围棋的Ai怎么搞","1287843036","221","81","654","1757","429","zaifan2010","zaifan2010","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1562291757/180/0/1","1","",""
"3936866783177113","3936866783177113","2287952254","3936850643564600","1454105647","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3936868917857692","3936868917857692","1646706835","3936850643564600","1454106156","0","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3936869975202846","3936869975202846","1704029141","3936864660934379","1454106407","0","0","0","","//@phunter_lau: 点赞，学习一下围棋的Ai怎么搞","1291991326","144","54","13","786","263","bigning1118","bigning1118","","m","21","1","","","-1","辽宁 沈阳","http://tp2.sinaimg.cn/1704029141/180/5610627189/1","1","",""
"3936871459099200","3936871459099200","2362412930","3936850643564600","1454106762","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3936872658685254","3936872658685254","5082072994","3936850643564600","1454107048","0","0","0","转发微博","转发微博","1395584774","26","8","794","788","127","机器学习Fan","机器学习Fan","","m","31","1000","","","-1","上海","http://tp3.sinaimg.cn/5082072994/180/5690552180/1","1","",""
"3936875658101612","3936875658101612","1365468901","3936850643564600","1454107763","0","0","0","转发微博","转发微博","1321110863","28","11","76","1253","110","Jacky-HIT","Jacky-HIT","计算机视觉，机器学习","m","23","1","","","-1","黑龙江 哈尔滨","http://tp2.sinaimg.cn/1365468901/180/5737411647/1","1","",""
"3936884097242914","3936884097242914","1326024607","3936850643564600","1454109775","0","0","0","转发微博","转发微博","1270102415","127","19","61","641","592","人大桂斌","人大桂斌","","m","32","8","","","-1","江苏 淮安","http://tp4.sinaimg.cn/1326024607/180/5667523861/1","","",""
"3936885598080932","3936885598080932","1326024607","3936850643564600","1454110133","0","0","0","好东西","好东西","1270102415","127","19","61","641","592","人大桂斌","人大桂斌","","m","32","8","","","-1","江苏 淮安","http://tp4.sinaimg.cn/1326024607/180/5667523861/1","","",""
"3936886856351801","3936886856351801","2006487605","3936850643564600","1454110433","0","0","0","转发微博","转发微博","1304779259","266","27","115","5496","651","yqazhhzz","yqazhhzz","王侯将相宁有种乎","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2006487605/180/22871793662/1","1","",""
