id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3933715673441313","3933715673441313","1402400261","","1453354364","84","11","9","【论文+代码(Torch):基于马尔可夫随机场(MRF)+dCNNs结合的图像合成】《Combining Markov Random Fields and Convolutional Neural Networks for Image Synthesis》C Li, M Wand [Johannes Gutenberg University] (2016) http://t.cn/R48rYmV GitHub(CNNMRF):http://t.cn/R48rYmc","【论文+代码(Torch):基于马尔可夫随机场(MRF)+dCNNs结合的图像合成】《Combining Markov Random Fields and Convolutional Neural Networks for Image Synthesis》C Li, M Wand [Johannes Gutenberg University] (2016) http://t.cn/R48rYmV GitHub(CNNMRF):http://t.cn/R48rYmc","1264809994","26328","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww4.sinaimg.cn/large/5396ee05jw1f0722s0anoj209f05ngmh.jpg",""
"3933715837150344","3933715837150344","1931029851","3933715673441313","1453354403","0","0","0","转发微博","转发微博","1295698816","411","61","2056","2532","296","CASIA_ZhangQian","CASIA_ZhangQian","关注机器学习，计算机视觉，模式识别，深度学习","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1931029851/180/5667302297/1","","",""
"3933716147206777","3933716147206777","1988756967","3933715673441313","1453354477","0","0","0","转发微博","转发微博","1298547657","603","112","667","4382","762","_AndrewSu_","_AndrewSu_","机器学习、深度学习、caffe、c++","m","44","13","","","220","广东 惠州","http://tp4.sinaimg.cn/1988756967/180/5745467928/1","","",""
"3933716227331714","3933716227331714","1948500185","3933715673441313","1453354496","0","0","0","转发微博","转发微博","1296707570","394","21","52","9435","451","南唐古韵","南唐古韵","http://www.guiquanz.me","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1948500185/180/1296710884/1","1","",""
"3933716768245777","3933716768245777","1046196273","3933715673441313","1453354624","0","0","0","转发微博","转发微博","1364649066","53","6","99","2127","76","Boyd_CV","Boyd_CV","北哒...","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1046196273/180/5669376275/1","1","",""
"3933716806025578","3933716806025578","1358963017","3933715673441313","1453354634","0","0","0","转发微博","转发微博","1256826298","221","5","6","1316","122","SolarLee","SolarLee","某理工大学老师，关注领域包括：机器视觉，深度学习，人工智能，大数据分析技术，QQ群：433574090，欢迎共同讨论问题","m","32","1","","","-1","江苏 南京","http://tp2.sinaimg.cn/1358963017/180/5695869435/1","1","",""
"3933718001313655","3933718001313655","1648072871","3933715673441313","1453354919","0","0","0","转发微博","转发微博","1258517827","1027","28","26","8019","206","阿莫西林阿","阿莫西林阿","傻傻女人一个，希望简单生活！","f","61","1","","","-1","陕西 西安","http://tp4.sinaimg.cn/1648072871/180/40004729347/0","","",""
"3933718198839382","3933718198839382","5161754670","3933715673441313","1453354965","0","0","0","转发微博","转发微博","1401597821","11","3","6","1752","162","穿山岩羊","穿山岩羊","什么都不懂","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5161754670/180/5749091867/1","","",""
"3933718358476760","3933718358476760","2511504650","3933715673441313","1453355003","0","0","0","转发微博","转发微博","1320300492","82","75","1","1060","172","ycp107被抢注","ycp107被抢注","龙腾虎跃","m","32","1","","","-1","江苏 南京","http://tp3.sinaimg.cn/2511504650/180/5625368075/1","1","",""
"3933720002621504","3933720002621504","1646706835","3933715673441313","1453355396","17","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3933720320756250","3933720320756250","1770891687","3933715673441313","1453355472","8","2","0","好像也很萌的样子","好像也很萌的样子","1328128729","7605","246","7","12843","426","phunter_lau","phunter_lau","新浪认证：朝鲜金正恩后宫表演艺术团团委书记，CRC认证仁波切一级","m","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1770891687/180/40086373345/1","","",""
"3933720987623323","3933720987623323","2362412930","3933715673441313","1453355630","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3933721231393318","3933721231393318","3209669611","3933720002621504","1453355689","15","3","1","","//@hbyido: 转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3933721763811185","3933721763811185","2798235231","3933715673441313","1453355816","0","1","0","转发微博","转发微博","1338954412","1008","50","192","4897","442","Kevin_机器学习_CA","Kevin_机器学习_CA","","m","11","1000","","","-1","北京","http://tp4.sinaimg.cn/2798235231/180/40051702063/1","1","",""
"3933723260876113","3933723260876113","2527635022","3933721231393318","1453356173","0","0","0","mark","mark //@LR机器学习计算机视觉://@hbyido: 转发微博","1343867598","147","41","0","469","105","FaceNix-Tony","FaceNix-Tony","非主流计算机视觉工程","m","44","3","1","    深圳斐视科技有限公司董事长兼首席执行官","0","广东 深圳","http://tp3.sinaimg.cn/2527635022/180/5741861960/1","1","",""
"3933724137674563","3933724137674563","1793560963","3933715673441313","1453356382","0","0","0","转发微博","转发微博","1281683344","74","14","5","312","227","豫峰王","豫峰王","哇不一定哈哈，hello不一定world。","m","41","13","","","-1","河南 南阳","http://tp4.sinaimg.cn/1793560963/180/5721217933/1","1","",""
"3933724670063000","3933724670063000","3230599814","3933720320756250","1453356509","0","0","0","","//@phunter_lau:好像也很萌的样子","1365582979","31","4","23","1774","229","__马卡洛夫","__马卡洛夫","","m","11","1","","","-1","北京 东城区","http://tp3.sinaimg.cn/3230599814/180/5695078039/1","1","",""
"3933726528281090","3933726528281090","2629702323","3933715673441313","1453356952","0","0","0","转发微博","转发微博","1330094093","84","49","4","376","210","Flying_Hua_阿华","Flying_Hua_阿华","立志成为名微博~~~~ 哈哈~~","m","12","4","","","-1","天津 南开区","http://tp4.sinaimg.cn/2629702323/180/5745345766/1","1","",""
"3933726776299280","3933726776299280","1847725977","3933715673441313","1453357011","0","0","0","转发微博","转发微博","1288886504","15","0","13","4084","44","陆璎","陆璎","陆璎","m","400","1000","","","-1","海外","http://tp2.sinaimg.cn/1847725977/180/5740983454/1","1","",""
"3933727237128036","3933727237128036","2230335295","3933715673441313","1453357120","0","0","0","转发微博","转发微博","1313476239","127","47","4","2735","232","王小玮哥哥","王小玮哥哥","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/2230335295/180/5619154387/1","1","",""
"3933729695160304","3933729695160304","2559508593","3933715673441313","1453357707","0","0","0","转发微博","转发微博","1376990612","79","1","22","3873","158","红叶st","红叶st","研究生一枚","m","13","6","","","-1","河北 保定","http://tp2.sinaimg.cn/2559508593/180/5736136345/1","1","",""
"3933729728235786","3933729728235786","1951213520","3933715673441313","1453357715","0","0","0","转发微博","转发微博","1305904831","87","35","343","2425","381","机器熊sheldon","机器熊sheldon","屈己者能处众，好胜者必遇敌。能言者未必能行，能行者未必能言。贫莫贫于无才，贱莫贱于无志","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/1951213520/180/5600872542/1","1","",""
"3933732622669004","3933732622669004","2949528092","3933721231393318","1453358405","0","0","0","","//@LR机器学习计算机视觉://@hbyido: 转发微博","1344867911","53","10","3","414","150","HaoranLee","HaoranLee","coder,coding！","m","11","16","","","-1","北京 怀柔区","http://tp1.sinaimg.cn/2949528092/180/5745905376/1","1","",""
"3933736296610003","3933736296610003","1244843177","3933721231393318","1453359280","0","0","0","","//@LR机器学习计算机视觉: //@hbyido: 转发微博","1364179606","45","9","34","3992","342","hnlyjzh","hnlyjzh","","m","11","1","","","-1","北京 东城区","http://tp2.sinaimg.cn/1244843177/180/0/1","1","",""
"3933744211187198","3933744211187198","3735078562","3933720320756250","1453361168","0","0","0","","//@phunter_lau:好像也很萌的样子","1377128895","55","4","2","9371","163","行者行殇","行者行殇","","m","43","1","","","-1","湖南 长沙","http://tp3.sinaimg.cn/3735078562/180/5672096727/1","1","",""
"3933746136920518","3933746136920518","1938575460","3933721231393318","1453361627","0","0","0","","//@LR机器学习计算机视觉://@hbyido: 转发微博","1297676341","64","3","16","5167","136","luweiming","luweiming","","m","33","1","","","-1","浙江 杭州","http://tp1.sinaimg.cn/1938575460/180/0/1","1","",""
"3933757889617549","3933757889617549","2609572460","3933715673441313","1453364429","0","0","0","转发微博","转发微博","1323915433","60","30","0","226","158","Random张","Random张","ETH CS MSc  一别两宽，各生欢喜","m","400","16","","","-1","海外 其他","http://tp1.sinaimg.cn/2609572460/180/5747780702/1","1","",""
"3933758941895337","3933758941895337","2287952254","3933715673441313","1453364680","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3933759277436995","3933759277436995","1264454880","3933715673441313","1453364760","0","0","0","转发微博","转发微博","1271560943","47","3","73","671","391","最帅的猪88","最帅的猪88","","m","41","3","","","-1","河南 洛阳","http://tp1.sinaimg.cn/1264454880/180/0/1","1","",""
"3933763388459573","3933763388459573","1745050257","3933715673441313","1453365740","0","0","0","转发微博","转发微博","1293775804","521","104","2756","2714","243","若为八九不离食","若为八九不离食","起初不经意的你 和少年不经事的我","f","11","8","","","220","北京 海淀区","http://tp2.sinaimg.cn/1745050257/180/5695712982/0","","",""
"3933773235918150","3933773235918150","2012352485","3933721231393318","1453368088","0","0","0","","//@LR机器学习计算机视觉://@hbyido: 转发微博","1299493925","55","5","8","485","213","夜梦江南雨的世界","夜梦江南雨的世界","","m","12","4","","","-1","天津 南开区","http://tp2.sinaimg.cn/2012352485/180/5709637474/1","1","",""
