id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936864970949921","3936864970949921","1402400261","","1454105215","52","4","1","【论文:基于(有定位信息的)Twitter评估旅游景点吸引力】《Touristic site attractiveness seen through Twitter》A Bassolas, M Lenormand, B Gonçalves, A Tugores, J J. Ramasco (2016) http://t.cn/RbB2stS","【论文:基于(有定位信息的)Twitter评估旅游景点吸引力】《Touristic site attractiveness seen through Twitter》A Bassolas, M Lenormand, B Gonçalves, A Tugores, J J. Ramasco (2016) http://t.cn/RbB2stS","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05gw1f0h3sf1rt7j20ib0b40v1.jpg",""
"3936866162119273","3936866162119273","1931200601","3936864970949921","1454105499","0","0","0","转发微博","转发微博","1295709446","222","110","515","1539","1157","这个人今天努力了吗","这个人今天努力了吗","","m","31","13","","","-1","上海 宝山区","http://tp2.sinaimg.cn/1931200601/180/5722047340/1","1","",""
"3936866602797536","3936866602797536","2287952254","3936864970949921","1454105604","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3936868720680616","3936868720680616","2924382841","3936864970949921","1454106109","0","0","0","@有道云笔记收藏","@有道云笔记收藏","1345265829","42","2","42","188","71","朝钱看不朝后看","朝钱看不朝后看","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/2924382841/180/0/1","1","",""
"3936868767326927","3936868767326927","1646706835","3936864970949921","1454106120","0","2","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3936869123638583","3936869123638583","1729175402","3936864970949921","1454106205","0","0","0","转发微博","转发微博","1271083634","285","138","20","2263","288","影风LEY","影风LEY","尘世间的迷途小书童","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/1729175402/180/5725174268/1","1","",""
"3936869169547907","3936869169547907","2924382841","3936864970949921","1454106216","0","0","0","@有道云笔记收藏","@有道云笔记收藏","1345265829","42","2","42","188","71","朝钱看不朝后看","朝钱看不朝后看","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/2924382841/180/0/1","1","",""
"3936869580138247","3936869580138247","1657809832","3936864970949921","1454106314","13","4","0","转发微博","转发微博","1257067586","55032","2087","4868","14732","2194","沈浩老师","沈浩老师","数学与头脑相遇的地方 中国传媒大学电视与新闻学院 教授","m","11","5","1","中国传媒大学教授新浪微博社区委员会专家成员","0","北京 朝阳区","http://tp1.sinaimg.cn/1657809832/180/5607141379/1","1","",""
"3936870843323997","3936870843323997","1763911845","3936869580138247","1454106615","0","0","0","","//@沈浩老师: 转发微博","1277691230","219","102","16","888","736","王sir-Vitvicky","王sir-Vitvicky","The University of Texas at Dallas, Research Assistant，对数据挖掘，机器学习，推荐系统感兴趣的小弱一枚","m","61","1","","","-1","陕西 西安","http://tp2.sinaimg.cn/1763911845/180/5610082031/1","1","",""
"3936871048498721","3936871048498721","2362412930","3936864970949921","1454106663","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3936871815974256","3936871815974256","1783903850","3936864970949921","1454106847","0","0","0","转发微博","转发微博","1295586146","268","59","47","2077","188","阿喵要刷微博","阿喵要刷微博","念书，结婚，生娃娃，学做面包。","f","32","1","","","-1","江苏 南京","http://tp3.sinaimg.cn/1783903850/180/5748420746/0","1","",""
"3936872193275704","3936872193275704","1224146253","3936869580138247","1454106937","0","0","0","","//@沈浩老师:转发微博","1272283743","172","9","112","1426","204","gomii088","gomii088","珍惜我所拥有的，保护我所珍爱的 每人头上一片天","f","36","1","","","-1","江西 南昌","http://tp2.sinaimg.cn/1224146253/180/5668644392/0","1","",""
"3936887351476979","3936887351476979","1413651545","3936869580138247","1454110551","0","1","0","","//@沈浩老师:转发微博","1270178426","369","107","1294","3777","648","枼默","枼默","...","m","11","1000","","","-1","北京","http://tp2.sinaimg.cn/1413651545/180/5612012116/1","","",""
"3936888148430703","3936888148430703","2371583494","3936864970949921","1454110741","4","1","0","转发微博","转发微博","1315125431","631","70","13038","890","263","蒋文明in南京","蒋文明in南京","GIS教师，关注GIR、LBSN、SoLoMo","m","32","1","1","高等学校教师 蒋文明","0","江苏 南京","http://tp3.sinaimg.cn/2371583494/180/5734852274/1","1","",""
"3936889863825267","3936889863825267","1878437247","3936869580138247","1454111150","0","0","0","","//@沈浩老师:转发微博","1291107721","329","91","48","3786","1754","带铃铛的小叮当","带铃铛的小叮当","俗气东来！贱气四射！","m","61","1","","","-1","陕西 西安","http://tp4.sinaimg.cn/1878437247/180/5676090666/1","1","",""
"3936892300649019","3936892300649019","2617707724","3936864970949921","1454111731","1","0","0","@保存到为知笔记","@保存到为知笔记","1324871179","54","7","34","2128","402","蔡博岩","蔡博岩","","m","37","1","","","-1","山东 济南","http://tp1.sinaimg.cn/2617707724/180/5619838563/1","1","",""
"3936892367968847","3936892367968847","2696201334","3936869580138247","1454111747","0","0","0","","//@沈浩老师:转发微博","1328000980","45","17","0","550","239","泗水妖","泗水妖","","m","32","5","","","-1","江苏 苏州","http://tp3.sinaimg.cn/2696201334/180/5682262346/1","1","",""
"3936893651382943","3936893651382943","1835549387","3936892300649019","1454112053","0","0","0","","//@蔡博岩:@保存到为知笔记","1287655675","481","301","1199","9277","1730","宋超_美餐呢","宋超_美餐呢","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1835549387/180/5664629399/1","1","",""
"3936893966303829","3936893966303829","1801052723","3936869580138247","1454112127","0","0","0","","//@沈浩老师:转发微博","1282552819","1265","315","1349","7456","681","杨林斩日","杨林斩日","逼逼完又觉得不该逼逼","m","11","1","","","-1","北京 东城区","http://tp4.sinaimg.cn/1801052723/180/5702647875/1","","",""
"3936896042788512","3936896042788512","2022963904","3936864970949921","1454112622","0","0","0","转发微博","转发微博","1300597353","540","39","1641","3647","225","郑梓豪爱文艺","郑梓豪爱文艺","http://www.zhihu.com/people/zihaolucky","m","44","13","","","200","广东 惠州","http://tp1.sinaimg.cn/2022963904/180/5606576669/1","1","",""
"3936896574983343","3936896574983343","1648215184","3936869580138247","1454112750","0","1","0","","//@沈浩老师:转发微博","1257519602","6991","566","17706","26051","2074","新媒体董少伟","新媒体董少伟","新媒体观察者 商丘学院数字媒介研究中心执行主任 新媒体 新领域 新境界","m","41","14","1","商丘学院文学院传播学讲师","0","河南 商丘","http://tp1.sinaimg.cn/1648215184/180/22882685119/1","1","",""
"3936897053421505","3936897053421505","2667910767","3936864970949921","1454112863","0","0","0","转发微博","转发微博","1335341005","508","76","27","301","160","_0嘿嘿嘿0_","_0嘿嘿嘿0_","以数为据，视不可挡！专注于D3数据可视化","m","32","1","","","-1","江苏 南京","http://tp4.sinaimg.cn/2667910767/180/5722947943/1","1","",""
"3936901478203191","3936901478203191","2207197497","3936888148430703","1454113919","3","0","0","","//@蒋文明in南京:转发微博","1325210464","1196","159","5","1765","516","李苗裔-KUUPL","李苗裔-KUUPL","地理学背景，力求通过地理学视角、GIS技术更科学的研究城市。地理，城市规划，城乡规划新技术，GIS，大数据。","m","11","8","1","前   北京清华同衡规划设计研究院 职员","0","北京 海淀区","http://tp2.sinaimg.cn/2207197497/180/5720167989/1","1","",""
