id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936184822324533","3936184822324533","1402400261","","1453943055","45","16","2","【图像处理——挑战与方法(The Data Science Bowl经验介绍)】《Image Preprocessing: The Challenges and Approach - The Data Science Bowl》by Pete VanMaasdam http://t.cn/RbudhAt","【图像处理——挑战与方法(The Data Science Bowl经验介绍)】《Image Preprocessing: The Challenges and Approach - The Data Science Bowl》by Pete VanMaasdam http://t.cn/RbudhAt","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05jw1f0exoyyh7ig207405cadf.gif",""
"3936186013786876","3936186013786876","1914020451","3936184822324533","1453943339","0","0","0","转发微博","转发微博","1294372273","9","2","13","169","114","jfilix","jfilix","","m","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/1914020451/180/0/1","1","",""
"3936186185570012","3936186185570012","1752752673","3936184822324533","1453943379","0","0","0","转发微博","转发微博","1328974051","140","26","53","4476","423","richardhahahaha","richardhahahaha","爱科学，反中医，支持转基因； it从业人员，生物识别技术专家； 喜欢django, lua, angularjs, docker, deep learning","m","11","3","","","-1","北京 崇文区","http://tp2.sinaimg.cn/1752752673/180/5623941551/1","1","",""
"3936186614117199","3936186614117199","1929484737","3936184822324533","1453943482","0","0","0","转发微博","转发微博","1295579969","235","176","56","3749","383","纪则轩","纪则轩","事繁勿慌,事闲勿荒,有言必信,无欲则刚.和若春风,肃若秋霜,取象于钱,外圆内方","m","32","1","","","220","江苏 南京","http://tp2.sinaimg.cn/1929484737/180/5692748075/1","1","",""
"3936187758723891","3936187758723891","2287952254","3936184822324533","1453943754","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3936189230506363","3936189230506363","5242003084","3936184822324533","1453944106","0","0","0","转发微博","转发微博","1407216871","4","1","19","500","67","马啸月轮","马啸月轮","","m","32","1","","","-1","江苏 南京","http://tp1.sinaimg.cn/5242003084/180/5702196757/1","1","",""
"3936189264084336","3936189264084336","2630820703","3936184822324533","1453944114","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3936190652412113","3936190652412113","1645815691","3936184822324533","1453944445","0","0","0","转发微博","转发微博","1293873131","367","29","576","20147","1400","亭林漠漠","亭林漠漠","思路比苦干重要，方向比努力重要！","f","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1645815691/180/40054149700/0","1","",""
"3936191286536176","3936191286536176","3562674335","3936184822324533","1453944596","0","0","0","转发微博","转发微博","1372428952","231","88","191","451","268","MSP-bixiu","MSP-bixiu","微软MSP 闻道有先后，术业有专攻","m","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/3562674335/180/5697588425/1","","",""
"3936191667767319","3936191667767319","1818777563","3936184822324533","1453944687","0","0","0","转发微博","转发微博","1295413508","193","85","395","2189","314","wenxuanliu","wenxuanliu","","m","42","1","","","-1","湖北 武汉","http://tp4.sinaimg.cn/1818777563/180/5725012631/1","","",""
"3936191957398409","3936191957398409","2071038817","3936184822324533","1453944756","0","0","0","转发微博","转发微博","1302006108","13","3","0","533","155","BUPT_qixianbiao","BUPT_qixianbiao","","m","11","1","","","-1","北京 东城区","http://tp2.sinaimg.cn/2071038817/180/0/1","1","",""
"3936192129250403","3936192129250403","2012336544","3936184822324533","1453944797","0","0","0","转发微博","转发微博","1300283339","168","104","10","181","198","田园农夫--厂","田园农夫--厂","篮球迷，科比粉丝，痴迷篮球……","m","44","3","","","-1","广东 深圳","http://tp1.sinaimg.cn/2012336544/180/40025999696/1","1","",""
"3936193714100992","3936193714100992","2059006544","3936184822324533","1453945175","0","0","0","转发微博","转发微博","1301753356","168","12","11","622","193","AdoGe_PhanTom","AdoGe_PhanTom","Life is beautiful,but you don't have a clue.","m","50","41","","","-1","重庆 秀山土家族苗族自治县","http://tp1.sinaimg.cn/2059006544/180/5743950731/1","1","",""
"3936193903115724","3936193903115724","2246379394","3936184822324533","1453945220","0","0","0","转发微博","转发微博","1331650197","22","7","14","709","143","王建超ustc","王建超ustc","","m","11","5","","","-1","北京 朝阳区","http://tp3.sinaimg.cn/2246379394/180/0/1","1","",""
"3936198189433901","3936198189433901","3182507702","3936184822324533","1453946242","0","0","0","转发微博","转发微博","1360242031","48","14","1","193","126","关亚勇M","关亚勇M","Email：guanyayong@126.com","m","41","16","","","-1","河南 周口","http://tp3.sinaimg.cn/3182507702/180/5724981216/1","1","",""
"3936199083334693","3936199083334693","1950765435","3936184822324533","1453946455","0","0","0","转发微博","转发微博","1296812511","155","53","53","806","164","耕心乐园","耕心乐园","","m","43","1","","","-1","湖南 长沙","http://tp4.sinaimg.cn/1950765435/180/22840277529/1","1","",""
"3936208272530156","3936208272530156","1046196273","3936184822324533","1453948646","0","0","0","转发微博","转发微博","1364649066","53","6","99","2127","76","Boyd_CV","Boyd_CV","北哒...","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1046196273/180/5669376275/1","1","",""
"3936210206608791","3936210206608791","1824884967","3936184822324533","1453949106","0","0","0","Repost","Repost","1312259828","3","2","4","154","25","Neg_X","Neg_X","","m","13","11","","","-1","河北 衡水","http://tp4.sinaimg.cn/1824884967/180/5746845323/1","1","",""
"3936211485958614","3936211485958614","1998662112","3936184822324533","1453949412","0","0","0","转发微博","转发微博","1299934892","376","259","211","4653","854","没心没肺的edwin","没心没肺的edwin","http://edwinuestc.blog.chinaunix.net healthcare standards and IT technology geek.我愿用我的青春换取医疗信息化的明天。师夷长技以制夷","m","31","12","","","-1","上海 闵行区","http://tp1.sinaimg.cn/1998662112/180/5624796711/1","1","",""
"3936214053151113","3936214053151113","2355287347","3936184822324533","1453950024","0","0","0","Repost","Repost","1315819643","343","118","47","207","169","红轱辘糊","红轱辘糊","","m","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/2355287347/180/5748110253/1","1","",""
"3936216430620351","3936216430620351","5540804153","3936184822324533","1453950591","0","0","0","转发微博","转发微博","1425364221","2","0","54","330","18","LittleRemy","LittleRemy","Remy is a little rat from disney land.","m","61","1","","","-1","陕西 西安","http://tp2.sinaimg.cn/5540804153/180/5722253339/1","1","",""
"3936219719402562","3936219719402562","1646706835","3936184822324533","1453951375","2","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3936222046653066","3936222046653066","1842428874","3936184822324533","1453951930","0","0","0","仰止","仰止","1286252821","186","100","6","950","276","RecursiveKernel","RecursiveKernel","草泥马我就是钦定了","m","400","1","","","-1","海外 美国","http://tp3.sinaimg.cn/1842428874/180/5748651861/1","1","",""
"3936225130202961","3936225130202961","1835549387","3936219719402562","1453952665","0","0","0","","//@hbyido:转发微博","1287655675","481","301","1199","9278","1730","宋超_美餐呢","宋超_美餐呢","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1835549387/180/5664629399/1","1","",""
"3936240619254497","3936240619254497","1908599781","3936184822324533","1453956358","6","0","0","转发微博","转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3936252393244619","3936252393244619","2383480704","3936184822324533","1453959165","0","0","0","转发微博","转发微博","1315535899","179","35","88","332","103","浙大宋明黎","浙大宋明黎","浙江大学教授-计算机视觉-图像增强-视觉交互","m","33","1","","","-1","浙江 杭州","http://tp1.sinaimg.cn/2383480704/180/40043084024/1","1","",""
"3936254053373341","3936254053373341","1660464144","3936184822324533","1453959560","0","0","0","转发微博","转发微博","1307202489","27","15","10","2046","235","AllenIQY","AllenIQY","计算机视觉之深度学习","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/1660464144/180/0/1","1","",""
"3936258906307201","3936258906307201","5447376607","3936219719402562","1453960718","0","0","0","","//@hbyido:转发微博","1419533206","17","10","14","1043","447","ThinkToDeep","ThinkToDeep","喜欢探讨学习人工智能、机器学习、模式识别等话题。","m","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/5447376607/180/5734632443/1","1","",""
"3936262890828557","3936262890828557","1938575460","3936184822324533","1453961668","0","0","0","转发微博","转发微博","1297676341","64","3","16","5167","136","luweiming","luweiming","","m","33","1","","","-1","浙江 杭州","http://tp1.sinaimg.cn/1938575460/180/0/1","1","",""
"3936296676198115","3936296676198115","2894636873","3936184822324533","1453969722","0","0","0","转发微博","转发微博","1342847476","135","30","23","807","303","追客靖仔","追客靖仔","未来掌握在自己的手里，只有前进，没有放弃！","f","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2894636873/180/22833944229/0","1","",""
"3936311465920050","3936311465920050","3209669611","3936240619254497","1453973249","4","0","0","","//@Noodles-Xu: 转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3936315647037253","3936315647037253","2702941677","3936311465920050","1453974246","0","0","0","","//@LR机器学习计算机视觉://@Noodles-Xu: 转发微博","1333895883","84","6","3","535","796","阿垚20111","阿垚20111","","m","23","1","","","-1","黑龙江 哈尔滨","http://tp2.sinaimg.cn/2702941677/180/0/1","1","",""
