id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3934677246690695","3934677246690695","1402400261","","1453583621","69","28","12","【用机器学习检测糖尿病视网膜病变】《Machine Learning for Diabetic Retinopathy Detection》by  Alexander Rakhlin http://t.cn/RbRUDpO","【用机器学习检测糖尿病视网膜病变】《Machine Learning for Diabetic Retinopathy Detection》by  Alexander Rakhlin http://t.cn/RbRUDpO","1264809994","26327","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww4.sinaimg.cn/large/5396ee05jw1f0a4jsyk0uj20e809ywfg.jpg",""
"3934677826351480","3934677826351480","1931029851","3934677246690695","1453583759","1","1","0","转发微博","转发微博","1295698816","411","61","2056","2532","296","CASIA_ZhangQian","CASIA_ZhangQian","关注机器学习，计算机视觉，模式识别，深度学习","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1931029851/180/5667302297/1","","",""
"3934680065972961","3934680065972961","1745050257","3934677246690695","1453584293","0","0","0","转发微博","转发微博","1293775804","521","104","2756","2714","243","若为八九不离食","若为八九不离食","起初不经意的你 和少年不经事的我","f","11","8","","","220","北京 海淀区","http://tp2.sinaimg.cn/1745050257/180/5695712982/0","","",""
"3934680103465109","3934680103465109","2287952254","3934677246690695","1453584302","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3934681579424594","3934681579424594","3535983464","3934677246690695","1453584654","0","0","0","Repost","Repost","1371030671","283","167","545","2286","840","我不是KAPPA","我不是KAPPA","人在事上磨","m","400","1","","","-1","海外 美国","http://tp1.sinaimg.cn/3535983464/180/5726113152/1","1","",""
"3934694019800057","3934694019800057","2137474004","3934677246690695","1453587619","0","0","0","转发微博","转发微博","1304734844","52","2","2","490","44","唐嘟嘟巍巍","唐嘟嘟巍巍","","m","51","1","","","-1","四川 成都","http://tp1.sinaimg.cn/2137474004/180/0/1","","",""
"3934698403137216","3934698403137216","2725177033","3934677246690695","1453588665","0","0","0","转发微博","转发微博","1341778614","52","1","6","226","138","Lilibeyang","Lilibeyang","","f","100","1000","","","-1","其他","http://tp2.sinaimg.cn/2725177033/180/5746813439/0","1","",""
"3934701875928328","3934701875928328","1364349203","3934677826351480","1453589493","0","0","0","","//@CASIA_ZhangQian:转发微博","1267754333","211","6","115","2757","941","快乐服务站","快乐服务站","优秀者起初都是个傻子。","m","62","1","","","-1","甘肃 兰州","http://tp4.sinaimg.cn/1364349203/180/5714649863/1","1","",""
"3934705713922483","3934705713922483","1365468901","3934677246690695","1453590408","0","0","0","转发微博","转发微博","1321110863","28","11","76","1253","110","Jacky-HIT","Jacky-HIT","计算机视觉，机器学习","m","23","1","","","-1","黑龙江 哈尔滨","http://tp2.sinaimg.cn/1365468901/180/5737411647/1","1","",""
"3934707073076493","3934707073076493","5160712492","3934677246690695","1453590732","0","0","0","转发微博","转发微博","1401529061","24","3","26","345","268","于定秋","于定秋","","m","11","6","","","-1","北京 丰台区","http://tp1.sinaimg.cn/5160712492/180/0/1","1","",""
"3934710839187719","3934710839187719","3503372801","3934677246690695","1453591630","0","0","0","转发微博","转发微博","1370057504","82","5","42","189","197","木子李围脖110","木子李围脖110","海纳百川","m","33","1","","","-1","浙江 杭州","http://tp2.sinaimg.cn/3503372801/180/5665025667/1","1","",""
"3934714052696483","3934714052696483","2362412930","3934677246690695","1453592396","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3934715306007945","3934715306007945","1495199125","3934677246690695","1453592694","0","0","0","转发微博","转发微博","1376540122","13","0","1","1950","28","isoft的天空","isoft的天空","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1495199125/180/0/1","1","",""
"3934722264382369","3934722264382369","2169309380","3934677246690695","1453594354","0","0","0","转发微博","转发微博","1307796660","48","18","653","1776","183","心吾行","心吾行","","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/2169309380/180/5627310714/1","","",""
"3934722557865343","3934722557865343","1646706835","3934677246690695","1453594424","0","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3934729105625830","3934729105625830","2894636873","3934677246690695","1453595984","0","0","0","转发微博","转发微博","1342847476","135","30","23","807","303","追客靖仔","追客靖仔","未来掌握在自己的手里，只有前进，没有放弃！","f","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2894636873/180/22833944229/0","1","",""
"3934729835037560","3934729835037560","3850850547","3934677246690695","1453596159","0","0","0","转发微博","转发微博","1381676397","17","1","1","1762","133","樊永显","樊永显","","m","45","3","","","-1","广西 桂林","http://tp4.sinaimg.cn/3850850547/180/5701265139/1","1","",""
"3934731412276975","3934731412276975","1651904343","3934677246690695","1453596534","0","0","0","转发微博","转发微博","1307409829","8","2","0","1060","64","zhang_jin_CSU","zhang_jin_CSU","计算机视觉","m","43","1","","","-1","湖南 长沙","http://tp4.sinaimg.cn/1651904343/180/5732256373/1","1","",""
"3934731772913415","3934731772913415","1046196273","3934677246690695","1453596620","0","0","0","转发微博","转发微博","1364649066","53","6","99","2127","76","Boyd_CV","Boyd_CV","北哒...","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1046196273/180/5669376275/1","1","",""
"3934734139196064","3934734139196064","2620984117","3934677246690695","1453597185","0","0","0","转发微博","转发微博","1329483843","87","30","7","666","227","杨海天ir","杨海天ir","","m","21","2","","","-1","辽宁 大连","http://tp2.sinaimg.cn/2620984117/180/5624451352/1","1","",""
"3934737720240308","3934737720240308","3184650322","3934677246690695","1453598039","0","0","0","转发微博","转发微博","1360405991","28","2","8","3198","97","aszxm","aszxm","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/3184650322/180/5674567914/1","1","",""
"3934741323989580","3934741323989580","1832262757","3934677246690695","1453598897","0","0","0","转发微博","转发微博","1287316896","183","13","8","612","228","么浩","么浩","","m","46","90","","","-1","海南 其他","http://tp2.sinaimg.cn/1832262757/180/40017852758/1","1","",""
"3934742196360425","3934742196360425","1832262757","3934677246690695","1453599106","0","0","0","转发微博","转发微博","1287316896","183","13","8","612","228","么浩","么浩","","m","46","90","","","-1","海南 其他","http://tp2.sinaimg.cn/1832262757/180/40017852758/1","1","",""
"3934746092147499","3934746092147499","3908554372","3934677246690695","1453600034","0","0","0","@有道云笔记收藏","@有道云笔记收藏","1384847639","8","3","2","64","79","vector_zpl","vector_zpl","","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/3908554372/180/5679815434/1","1","",""
"3934746897504949","3934746897504949","1835549387","3934677246690695","1453600226","0","0","0","转发微博","转发微博","1287655675","481","301","1199","9281","1730","宋超_美餐呢","宋超_美餐呢","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1835549387/180/5664629399/1","1","",""
"3934752370992318","3934752370992318","1908599781","3934677246690695","1453601532","5","0","0","转发微博","转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3934752555418904","3934752555418904","1662528963","3934677246690695","1453601576","0","0","0","转发微博","转发微博","1270800115","240","19","50","14725","275","咖啡无效体","咖啡无效体","智慧与叛逆","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/1662528963/180/1279023614/1","","",""
"3934752991694403","3934752991694403","3147811453","3934677246690695","1453601680","0","0","0","转发微博","转发微博","1353465576","80","25","100","2639","196","muxi婷","muxi婷","”我爱在旷野里看夕阳，听风吹来的方向，与我无关的都遗忘，像树一样生长“","f","31","19","","","-1","上海 南汇区","http://tp2.sinaimg.cn/3147811453/180/22831322583/0","1","",""
"3934754191432645","3934754191432645","1654359194","3934677246690695","1453601965","0","0","0","我都开始怀疑自己有没有学过了","我都开始怀疑自己有没有学过了","1266855669","1741","250","169","12136","392","小白地瓜","小白地瓜","行有不得，反求诸已。","m","53","1","","","220","云南 昆明","http://tp3.sinaimg.cn/1654359194/180/5725716812/1","1","",""
"3934768833726231","3934768833726231","1539264721","3934677246690695","1453605457","0","0","0","转发微博","转发微博","1302692571","68","17","6","1089","404","福建懵懂ing","福建懵懂ing","努力，大不了从头再来","f","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1539264721/180/40005004017/0","","",""
"3934770684107517","3934770684107517","5130355334","3934677246690695","1453605898","0","0","0","好好学习天天向上","好好学习天天向上","1399077980","37","1","21","124","859","五洐缺水","五洐缺水","白发又添年         请不要关注，谢谢。","m","400","1000","","","-1","海外","http://tp3.sinaimg.cn/5130355334/180/5747038973/1","1","",""
