id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936876408491154","3936876408491154","1402400261","","1454107942","37","8","1","【图灵奖获得者Leslie Valiant——生物进化与机器学习异曲同工】《Biological Evolution & Machine Learning Are Similar, Says Turing Award Winner Leslie Valiant》 http://t.cn/RbBybZB","【图灵奖获得者Leslie Valiant——生物进化与机器学习异曲同工】《Biological Evolution & Machine Learning Are Similar, Says Turing Award Winner Leslie Valiant》 http://t.cn/RbBybZB","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww3.sinaimg.cn/large/5396ee05jw1f0h54dgaiej20i20ap3yv.jpg",""
"3936877512466420","3936877512466420","2681423317","3936876408491154","1454108204","0","0","0","满屏A1……","满屏A1……","1332942821","140","22","657","2043","180","min旻赶路不追小兔不追风","min旻赶路不追小兔不追风","翻山越岭。此心光明。","f","33","1000","","","-1","浙江","http://tp2.sinaimg.cn/2681423317/180/5729926363/0","","",""
"3936878028073493","3936878028073493","1855412265","3936876408491154","1454108328","0","0","0","转发微博","转发微博","1289511568","671","213","82","32171","1569","阅后即焚的微博","阅后即焚的微博","不经一番寒彻骨，哪得梅花扑鼻香","m","400","1","","","-1","海外 美国","http://tp2.sinaimg.cn/1855412265/180/5748104401/1","","",""
"3936884479055030","3936884479055030","2055393307","3936876408491154","1454109866","0","0","0","转发微博","转发微博","1301491626","155","37","127","2236","370","兔子二_szh","兔子二_szh","机器视觉从业人员","m","32","1","","","-1","江苏 南京","http://tp4.sinaimg.cn/2055393307/180/40008333690/1","1","",""
"3936885241703298","3936885241703298","1807812827","3936876408491154","1454110048","0","0","0","转发微博","转发微博","1283359276","23","2","3277","4287","207","TheOneWith","TheOneWith","","m","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/1807812827/180/5645090676/1","","",""
"3936887359867777","3936887359867777","1900995283","3936876408491154","1454110552","0","0","0","转发微博","转发微博","1340086151","79","17","45","1887","350","一只小羊888","一只小羊888","生，死","m","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/1900995283/180/5653459461/1","","",""
"3936888933008025","3936888933008025","2612065595","3936876408491154","1454110928","0","0","0","转发微博","转发微博","1328871418","24","9","2","1696","128","houxr","houxr","","m","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/2612065595/180/0/1","1","",""
"3936889264056400","3936889264056400","3209669611","3936876408491154","1454111007","0","0","0","转发微博","转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3936889947746777","3936889947746777","3209669611","3936876408491154","1454111170","8","1","0","转发微博","转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3936891906659248","3936891906659248","3270632763","3936876408491154","1454111636","0","0","0","本专业讨论的学科范围还未能够囊括计算机科学等一系列新学科。但这些学科已经能够提出具有充分的历史和哲学意义的问题。作为未来的historian and philosopher of science，这样的问题以及相应的学科基础，都值得我们去学习。  #死宅在大早上假正经##","本专业讨论的学科范围还未能够囊括计算机科学等一系列新学科。但这些学科已经能够提出具有充分的历史和哲学意义的问题。作为未来的historian and philosopher of science，这样的问题以及相应的学科基础，都值得我们去学习。  #死宅在大早上假正经##","1373598200","63","28","10","2716","717","夏天有朵荷花叫leon","夏天有朵荷花叫leon","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/3270632763/180/5748500214/1","","",""
