id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3932884962254502","3932884962254502","1402400261","","1453156307","121","5","10","【Kaggle's Walmart Recruiting竞赛方案分享】《Kaggle: Walmart Trip Type Classification | Exegetic Analytics》by Andrew Collier http://t.cn/R4H9uTZ","【Kaggle's Walmart Recruiting竞赛方案分享】《Kaggle: Walmart Trip Type Classification | Exegetic Analytics》by Andrew Collier http://t.cn/R4H9uTZ","1264809994","26329","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3932885771681712","3932885771681712","1770891687","3932884962254502","1453156500","95","14","19","为数不多的非获胜解决方案，同学们可以学习如何切入一个kaggle的问题并逐步提高，总的来说就是反复学习特征的统计分布并加入自己的思考来搞特征工程，这对初学者的意义远超过那些第一名的答案","为数不多的非获胜解决方案，同学们可以学习如何切入一个kaggle的问题并逐步提高，总的来说就是反复学习特征的统计分布并加入自己的思考来搞特征工程，这对初学者的意义远超过那些第一名的答案","1328128729","7605","246","7","12843","426","phunter_lau","phunter_lau","新浪认证：朝鲜金正恩后宫表演艺术团团委书记，CRC认证仁波切一级","m","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1770891687/180/40086373345/1","","",""
"3932887034419580","3932887034419580","2083140981","3932885771681712","1453156801","0","0","0","","//@phunter_lau:为数不多的非获胜解决方案，同学们可以学习如何切入一个kaggle的问题并逐步提高，总的来说就是反复学习特征的统计分布并加入自己的思考来搞特征工程，这对初学者的意义远超过那些第一名的答案","1302585070","281","156","643","4844","433","dukelolo","dukelolo","A learning machine of Machine Learning","m","400","1","","","220","海外 美国","http://tp2.sinaimg.cn/2083140981/180/5717720968/1","1","",""
"3932887184865586","3932887184865586","1402400261","3932885771681712","1453156837","56","12","2","","//@phunter_lau: 为数不多的非获胜解决方案，同学们可以学习如何切入一个kaggle的问题并逐步提高，总的来说就是反复学习特征的统计分布并加入自己的思考来搞特征工程，这对初学者的意义远超过那些第一名的答案","1264809994","26329","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3932887571227023","3932887571227023","5717038107","3932887184865586","1453156929","0","0","0","","//@爱可可-爱生活://@phunter_lau: 为数不多的非获胜解决方案，同学们可以学习如何切入一个kaggle的问题并逐步提高，总的来说就是反复学习特征的统计分布并加入自己的思考来搞特征工程，这对初学者的意义远超过那些第一名的答案","1443899454","18","12","0","79","235","花易落易","花易落易","关注数据挖掘，计算机视觉的Silent speeech研究","m","400","3","","","-1","海外 法国","http://tp4.sinaimg.cn/5717038107/180/5746600876/1","1","",""
"3932888581723982","3932888581723982","2983587133","3932885771681712","1453157170","0","0","0","","//@phunter_lau: 为数不多的非获胜解决方案，同学们可以学习如何切入一个kaggle的问题并逐步提高，总的来说就是反复学习特征的统计分布并加入自己的思考来搞特征工程，这对初学者的意义远超过那些第一名的答案","1349614113","29","16","382","340","282","CVandML","CVandML","","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/2983587133/180/5747336512/1","1","",""
"3932889186376591","3932889186376591","2251660292","3932887184865586","1453157314","0","0","0","","//@爱可可-爱生活://@phunter_lau: 为数不多的非获胜解决方案，同学们可以学习如何切入一个kaggle的问题并逐步提高，总的来说就是反复学习特征的统计分布并加入自己的思考来搞特征工程，这对初学者的意义远超过那些第一名的答案","1310869580","0","3","10","202","240","betweenforget","betweenforget","","m","54","26","","","-1","西藏 林芝","http://tp1.sinaimg.cn/2251660292/180/22844817266/1","","",""
"3932889551347984","3932889551347984","1726861762","3932887184865586","1453157401","0","0","0","","//@爱可可-爱生活://@phunter_lau: 为数不多的非获胜解决方案，同学们可以学习如何切入一个kaggle的问题并逐步提高，总的来说就是反复学习特征的统计分布并加入自己的思考来搞特征工程，这对初学者的意义远超过那些第一名的答案","1270702311","74","30","291","854","107","山丘15","山丘15","做一只调戏生活的逗逼 o.O","m","400","1","","","-1","海外 美国","http://tp3.sinaimg.cn/1726861762/180/5650117002/1","1","",""
"3932890641680853","3932890641680853","2097469633","3932885771681712","1453157660","0","1","0","","//@phunter_lau:为数不多的非获胜解决方案，同学们可以学习如何切入一个kaggle的问题并逐步提高，总的来说就是反复学习特征的统计分布并加入自己的思考来搞特征工程，这对初学者的意义远超过那些第一名的答案","1303347221","558","130","250","1878","254","windscope","windscope","成为大魔法师的关键是：保持心情愉快。","m","400","1","","","-1","海外 美国","http://tp2.sinaimg.cn/2097469633/180/5746915889/1","1","",""
"3932890699960584","3932890699960584","1872845442","3932887184865586","1453157674","0","0","0","","//@爱可可-爱生活://@phunter_lau: 为数不多的非获胜解决方案，同学们可以学习如何切入一个kaggle的问题并逐步提高，总的来说就是反复学习特征的统计分布并加入自己的思考来搞特征工程，这对初学者的意义远超过那些第一名的答案","1289335660","72","48","4","959","174","詹海茂","詹海茂","","m","400","1","","","-1","海外 美国","http://tp3.sinaimg.cn/1872845442/180/5740922523/1","1","",""
