id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936853738206907","3936853738206907","1402400261","","1454102537","95","18","9","【word2vec词向量初学指南】《A Beginner’s Guide to word2vec AKA What’s the Opposite of Canada? | Distilled》by Will Critchlow http://t.cn/RbB2Nz1 幻灯《Emerging Trends in Online Search》http://t.cn/RbB2Ytq","【word2vec词向量初学指南】《A Beginner’s Guide to word2vec AKA What’s the Opposite of Canada? | Distilled》by Will Critchlow http://t.cn/RbB2Nz1 幻灯《Emerging Trends in Online Search》http://t.cn/RbB2Ytq","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05gw1f0h2ilez49j215t0entb2.jpg",""
"3936856254726535","3936856254726535","1401903381","3936853738206907","1454103137","0","0","0","转发微博","转发微博","1292909650","1725","684","99","9079","1706","caibinbupt","caibinbupt","Hadooper@Tencent","m","44","3","","","-1","广东 深圳","http://tp2.sinaimg.cn/1401903381/180/40022814238/1","1","",""
"3936859866867393","3936859866867393","2973025004","3936853738206907","1454103998","0","1","0","转发微博","转发微博","1346083955","90","40","7","741","228","barbarosssa","barbarosssa","想当几天农民~~~","m","34","12","","","-1","安徽 阜阳","http://tp1.sinaimg.cn/2973025004/180/40000790188/1","1","",""
"3936860806502481","3936860806502481","5602034987","3936853738206907","1454104221","0","0","0","马","马","1430764078","178","137","2","280","220","生猛海鲜_NLPer进化中","生猛海鲜_NLPer进化中","境界触发者的安利吃吗亲？| 主刷WT，偶尔刷杨沛宜/女权/机器学习相关 | 游修亲妈粉，风间桑黑迷妹，WT所有人都可爱！| 绰号来自母上大人","f","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/5602034987/180/5744937833/0","","",""
"3936863641316251","3936863641316251","2061478831","3936853738206907","1454104897","0","0","0","转发微博","转发微博","1301665105","588","30","9","948","300","C_130","C_130","知足常乐","m","12","4","","","-1","天津 南开区","http://tp4.sinaimg.cn/2061478831/180/5731332848/1","1","",""
"3936864815423057","3936864815423057","2413476582","3936853738206907","1454105178","0","0","0","[馋嘴]","[馋嘴]","1316567054","171","50","92","384","168","周俏利","周俏利","佛光普照，传递爱和光明！","f","21","1","","","-1","辽宁 沈阳","http://tp3.sinaimg.cn/2413476582/180/5611535111/0","1","",""
"3936866744985245","3936866744985245","2287952254","3936853738206907","1454105638","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3936867227449487","3936867227449487","1490375892","3936853738206907","1454105753","0","0","0","转发微博","转发微博","1273159645","90","55","2","5288","1487","Zidane4ever","Zidane4ever","","m","11","5","","","-1","北京 朝阳区","http://tp1.sinaimg.cn/1490375892/180/1296656817/1","1","",""
"3936868116263265","3936868116263265","1244843177","3936853738206907","1454105965","0","0","0","转发微博","转发微博","1364179606","45","9","34","3992","342","hnlyjzh","hnlyjzh","","m","11","1","","","-1","北京 东城区","http://tp2.sinaimg.cn/1244843177/180/0/1","1","",""
"3936868871714999","3936868871714999","1646706835","3936853738206907","1454106145","18","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
