id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936182221742698","3936182221742698","1402400261","","1453942434","72","15","5","【推荐系统和搜索引擎的关系】by 陈运文 via:@InfoQ http://t.cn/RbuGuvD","【推荐系统和搜索引擎的关系】by 陈运文 via:@InfoQ http://t.cn/RbuGuvD","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww4.sinaimg.cn/large/5396ee05jw1f0exe7jooij20n40diwfy.jpg",""
"3936182637298971","3936182637298971","1967641281","3936182221742698","1453942534","0","0","0","转发微博","转发微博","1297613489","143","42","1","284","225","怒放的生命0119","怒放的生命0119","","f","41","1","","","-1","河南 郑州","http://tp2.sinaimg.cn/1967641281/180/1297615337/0","1","",""
"3936183090022412","3936183090022412","1646706835","3936182221742698","1453942641","0","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3936184755163803","3936184755163803","1651383913","3936182221742698","1453943038","0","0","0","转发微博","转发微博","1254629008","204","67","159","5090","610","mason2016","mason2016","莫失莫忘","m","33","1","","","-1","浙江 杭州","http://tp2.sinaimg.cn/1651383913/180/22859883075/1","1","",""
"3936184877066189","3936184877066189","3217212017","3936182221742698","1453943067","0","0","0","Repost","Repost","1357646773","54","19","5","991","200","齐士博Go","齐士博Go","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/3217212017/180/5730368274/1","1","",""
"3936185019960943","3936185019960943","1025887594","3936182221742698","1453943102","6","1","0","转发微博","转发微博","1316574859","3086","209","40","636","242","AixinSG","AixinSG","好像还算青椒","m","400","11","","","-1","海外 新加坡","http://tp3.sinaimg.cn/1025887594/180/5749019213/1","","",""
"3936186177453997","3936186177453997","1664286972","3936185019960943","1453943377","0","0","0","@我的印象笔记","@我的印象笔记  //@AixinSG:转发微博","1259310639","125","38","2591","1489","816","何文斌--Amen","何文斌--Amen","","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/1664286972/180/0/1","1","",""
"3936188026959598","3936188026959598","3612479793","3936182221742698","1453943819","0","0","0","转发微博","转发微博","1374829577","763","394","37","2702","1997","数据挖掘与机器学习","数据挖掘与机器学习","团队承接大数据分析与挖掘，大数据解决方案等项目，有需求欢迎私信！","m","21","1","","","-1","辽宁 沈阳","http://tp2.sinaimg.cn/3612479793/180/5710734641/1","1","",""
"3936188039951556","3936188039951556","2287952254","3936182221742698","1453943821","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3936189562016194","3936189562016194","1884700753","3936182221742698","1453944185","0","0","0","转发微博","转发微博","1291638537","536","259","285","3351","612","马宝君BUPT","马宝君BUPT","清华大学博士，北京邮电大学经济管理学院管理科学与工程系副教授，个人主页: http://www.baojunma.com","m","11","8","","","220","北京 海淀区","http://tp2.sinaimg.cn/1884700753/180/5675598175/1","1","",""
"3936190119593516","3936190119593516","1639033545","3936185019960943","1453944318","2","0","0","","//@AixinSG:转发微博","1251448483","1808","329","1249","3204","2370","乌龟也会飞","乌龟也会飞","TMT、投资和个人成长。微信搜索公众号 abouthaiyang 关注我。博客：http://blog.lepdf.com/","m","11","8","","","220","北京 海淀区","http://tp2.sinaimg.cn/1639033545/180/5747874978/1","1","",""
"3936191008945424","3936191008945424","1766610544","3936190119593516","1453944530","1","0","0","","//@乌龟也会飞://@AixinSG:转发微博","1277483894","11218","661","1836","27237","4617","白城以北","白城以北","莫让白头空负志，岁月静好不等人。年轻，不能懒惰！","m","11","1","","","220","北京 东城区","http://tp1.sinaimg.cn/1766610544/180/5710058084/1","1","",""
"3936192053122921","3936192053122921","2235711285","3936185019960943","1453944778","0","0","0","","//@AixinSG:转发微博","1310138616","73","55","99","3564","233","何明明是谁","何明明是谁","那就这样吧","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/2235711285/180/5736132555/1","1","",""
