id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3934466751366416","3934466751366416","1402400261","","1453533435","93","6","3","【论文+代码(MatLab):结合机器生成影像(三维模型)理解(CNN)深度特征】《Understanding deep features with computer-generated imagery》M Aubry, BC Russell [UC Berkeley & Adobe Research] (2015) http://t.cn/Rb8lpGq GitHub:http://t.cn/Rb8lpG5","【论文+代码(MatLab):结合机器生成影像(三维模型)理解(CNN)深度特征】《Understanding deep features with computer-generated imagery》M Aubry, BC Russell [UC Berkeley & Adobe Research] (2015) http://t.cn/Rb8lpGq GitHub:http://t.cn/Rb8lpG5","1264809994","26327","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05jw1f09gbbct0pj209b05njsj.jpg",""
"3934468400176909","3934468400176909","2165336571","3934466751366416","1453533827","0","0","0","转发微博","转发微博","1310368778","47","24","683","430","92","pala2012","pala2012","我要妹纸","m","14","9","","","-1","山西 忻州","http://tp4.sinaimg.cn/2165336571/180/0/1","1","",""
"3934470992261724","3934470992261724","2710726043","3934466751366416","1453534446","0","0","0","CNN","CNN","1334649018","62","15","64","2964","156","duin_shawe","duin_shawe","","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/2710726043/180/5629616693/1","1","",""
"3934471588246270","3934471588246270","2475016390","3934466751366416","1453534588","0","0","0","转发微博","转发微博","1318881444","114","9","3112","592","127","3A狗狗","3A狗狗","","m","100","1000","","","-1","其他","http://tp3.sinaimg.cn/2475016390/180/40061918789/1","1","",""
"3934477845444097","3934477845444097","1181564472","3934466751366416","1453536079","0","0","0","感谢分享！","感谢分享！","1280760210","1640","60","81","2782","608","ML_Yuens","ML_Yuens","My blog:http://www.yuenshome.com/","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/1181564472/180/5714573383/1","","",""
"3934478944418636","3934478944418636","1639228053","3934466751366416","1453536342","0","1","0","转发微博","转发微博","1296742688","147","22","64","2011","386","莫言chank","莫言chank","关注机器学习和计算机视觉，特别是深度学习(Deep Learning)、视觉跟踪。","m","21","2","","","-1","辽宁 大连","http://tp2.sinaimg.cn/1639228053/180/5745496168/1","1","",""
"3934479351094414","3934479351094414","1950765435","3934466751366416","1453536439","0","0","0","转发微博","转发微博","1296812511","155","53","53","806","164","耕心乐园","耕心乐园","","m","43","1","","","-1","湖南 长沙","http://tp4.sinaimg.cn/1950765435/180/22840277529/1","1","",""
"3934481012912697","3934481012912697","5493197512","3934466751366416","1453536835","0","0","0","转发微博","转发微博","1428298459","17","1","1","318","37","love-life蕊铊铊","love-life蕊铊铊","疼爱你 是我们在一起的最大理由","f","11","1","","","-1","北京 东城区","http://tp1.sinaimg.cn/5493197512/180/5723267412/0","1","",""
"3934481897487036","3934481897487036","2162393553","3934466751366416","1453537046","0","0","0","转发微博","转发微博","1307151711","590","137","50","3147","578","樵夫上校","樵夫上校","关注模式识别，计算机视觉，机器学习，视觉跟踪，目标检测识别，以及八卦娱乐~~","m","42","1","","","220","湖北 武汉","http://tp2.sinaimg.cn/2162393553/180/5671461733/1","1","",""
"3934482380013323","3934482380013323","5717378525","3934466751366416","1453537161","0","0","0","转发微博","转发微博","1443930624","33","9","15","56","638","瑞德678","瑞德678","","m","400","16","","","-1","海外 其他","http://tp2.sinaimg.cn/5717378525/180/5748987543/1","","",""
