id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3936845353730047","3936845353730047","1402400261","","1454100537","51","12","7","【基于深度学习根据图片自动生成Emoji表情的应用THE EMOJINI 3000】""The Internet's Premiere Emoji Granting Genie"" by Curalate http://t.cn/RbB2zN5 介绍文章《Brewing by EmojiNet》Lou Kratz http://t.cn/RbB2yOd","【基于深度学习根据图片自动生成Emoji表情的应用THE EMOJINI 3000】""The Internet's Premiere Emoji Granting Genie"" by Curalate http://t.cn/RbB2zN5 介绍文章《Brewing by EmojiNet》Lou Kratz http://t.cn/RbB2yOd","1264809994","26326","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww1.sinaimg.cn/large/5396ee05gw1f0h1igmzkyj20ia0ovq9g.jpg",""
"3936845811438072","3936845811438072","1770891687","3936845353730047","1454100647","8","2","0","好像很萌啊","好像很萌啊","1328128729","7605","246","7","12843","426","phunter_lau","phunter_lau","新浪认证：朝鲜金正恩后宫表演艺术团团委书记，CRC认证仁波切一级","m","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1770891687/180/40086373345/1","","",""
"3936848684297056","3936848684297056","1795886471","3936845353730047","1454101332","0","0","3","转发微博","转发微博","1281892966","211","73","13","577","616","语死早的虫","语死早的虫","Give me reason but don't give me choice , cause I'll make the same mistake again.","m","34","1","","","-1","安徽 合肥","http://tp4.sinaimg.cn/1795886471/180/5712625291/1","1","",""
"3936849514950073","3936849514950073","1866204560","3936845811438072","1454101530","0","1","0","","//@phunter_lau:好像很萌啊","1288623370","123","91","138","889","397","老丸-","老丸-","Gotham needs me","m","400","11","","","-1","海外 新加坡","http://tp1.sinaimg.cn/1866204560/180/5711378101/1","","",""
"3936852966961348","3936852966961348","1931029851","3936845353730047","1454102353","9","0","0","转发微博","转发微博","1295698816","411","61","2056","2532","296","CASIA_ZhangQian","CASIA_ZhangQian","关注机器学习，计算机视觉，模式识别，深度学习","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1931029851/180/5667302297/1","","",""
"3936856506429191","3936856506429191","1401903381","3936845811438072","1454103196","0","0","0","🐂","🐂 //@phunter_lau:好像很萌啊","1292909650","1725","684","99","9079","1706","caibinbupt","caibinbupt","Hadooper@Tencent","m","44","3","","","-1","广东 深圳","http://tp2.sinaimg.cn/1401903381/180/40022814238/1","1","",""
"3936863259459111","3936863259459111","1671432083","3936845353730047","1454104807","0","0","0","Deep Learning真给玩出花来了。","Deep Learning真给玩出花来了。","1261125090","360","98","728","6390","825","装星星的樽","装星星的樽","做人如果无梦想，咁同咸鱼有咩分别？// 以大多数人的努力程度之低，根本轮不到去拼天赋。","m","44","6","","","-1","广东 佛山","http://tp4.sinaimg.cn/1671432083/180/5748797557/1","1","",""
"3936866946540949","3936866946540949","2287952254","3936845353730047","1454105686","0","0","0","转发微博","转发微博","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3936869014337189","3936869014337189","1646706835","3936845353730047","1454106179","1","1","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3936871312881657","3936871312881657","2362412930","3936845353730047","1454106726","0","0","0","转发微博","转发微博","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
