id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3932510788224007","3932510788224007","1402400261","","1453067097","73","13","4","【硕士论文:基于深度学习的图像/文字匹配】《Deep Learning Applied to Image and Text Matching》A I Baqapuri (2015) http://t.cn/R4TzZIM","【硕士论文:基于深度学习的图像/文字匹配】《Deep Learning Applied to Image and Text Matching》A I Baqapuri (2015) http://t.cn/R4TzZIM","1264809994","26329","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww3.sinaimg.cn/large/5396ee05jw1f037q17bflj20fz0cyta5.jpg",""
"3932511090846185","3932511090846185","2362412930","3932510788224007","1453067169","0","0","0","@我的印象笔记","@我的印象笔记","1314767370","47","12","5","12061","404","wht_121","wht_121","资料收集狂","m","12","6","","","-1","天津 红桥区","http://tp3.sinaimg.cn/2362412930/180/5746698944/1","1","",""
"3932511270871443","3932511270871443","1908599781","3932510788224007","1453067212","0","0","0","转发微博","转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3932513431273290","3932513431273290","1938575460","3932510788224007","1453067727","0","0","0","转发微博","转发微博","1297676341","64","3","16","5167","136","luweiming","luweiming","","m","33","1","","","-1","浙江 杭州","http://tp1.sinaimg.cn/1938575460/180/0/1","1","",""
"3932513993033512","3932513993033512","2009022625","3932510788224007","1453067861","0","0","0","转发微博","转发微博","1335098388","869","58","116","7530","251","小铁-死宅码农","小铁-死宅码农","专注于图像、视频与语音分析","m","42","6","","","-1","湖北 襄阳","http://tp2.sinaimg.cn/2009022625/180/5631578963/1","1","",""
"3932521312149402","3932521312149402","1657643067","3932510788224007","1453069606","0","0","0","转发微博","转发微博","1256998804","42","0","2","1057","96","xdsongy","xdsongy","","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1657643067/180/0/1","1","",""
"3932529532700791","3932529532700791","2383739512","3932510788224007","1453071566","0","0","0","谢谢分享","谢谢分享","1315542823","500","128","12","1428","583","数海拾贝","数海拾贝","活过每一个季节；呼吸空气，喝水，品尝水果，让自己感受它们对你的影响。","m","51","1","","","-1","四川 成都","http://tp1.sinaimg.cn/2383739512/180/40006912578/1","1","",""
"3932530681760797","3932530681760797","2383480704","3932510788224007","1453071839","0","0","0","转发微博","转发微博","1315535899","179","35","88","332","103","浙大宋明黎","浙大宋明黎","浙江大学教授-计算机视觉-图像增强-视觉交互","m","33","1","","","-1","浙江 杭州","http://tp1.sinaimg.cn/2383480704/180/40043084024/1","1","",""
"3932530824416540","3932530824416540","1046196273","3932510788224007","1453071874","0","0","0","转发微博","转发微博","1364649066","53","6","99","2127","76","Boyd_CV","Boyd_CV","北哒...","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1046196273/180/5669376275/1","1","",""
"3932535857600153","3932535857600153","5422022729","3932510788224007","1453073074","0","0","0","转发微博","转发微博","1418644719","9","5","4","488","325","天然呆ladder","天然呆ladder","","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/5422022729/180/5725723269/1","1","",""
