id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3932514840061431","3932514840061431","1402400261","","1453068062","70","7","4","【论文:社交网络泡沫量化分析】《Measuring Online Social Bubbles》D Nikolov, D F. M. Oliveira, A Flammini, F Menczer [Indiana University] (2015) http://t.cn/R4TzVDs","【论文:社交网络泡沫量化分析】《Measuring Online Social Bubbles》D Nikolov, D F. M. Oliveira, A Flammini, F Menczer [Indiana University] (2015) http://t.cn/R4TzVDs","1264809994","26329","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww2.sinaimg.cn/large/5396ee05jw1f0386vsp64j20xc0gcgq7.jpg",""
"3932529302406785","3932529302406785","2383739512","3932514840061431","1453071511","14","0","0","很好","很好","1315542823","500","128","12","1428","583","数海拾贝","数海拾贝","活过每一个季节；呼吸空气，喝水，品尝水果，让自己感受它们对你的影响。","m","51","1","","","-1","四川 成都","http://tp1.sinaimg.cn/2383739512/180/40006912578/1","1","",""
"3932529998073998","3932529998073998","2290504681","3932514840061431","1453071677","0","0","0","转发微博","转发微博","1312685985","26","1","2108","343","96","宫晓泽","宫晓泽","卧虎藏龙","m","37","1","","","-1","山东 济南","http://tp2.sinaimg.cn/2290504681/180/5668681462/1","1","",""
"3932532334868051","3932532334868051","1657809832","3932529302406785","1453072234","13","4","0","","//@数海拾贝:很好","1257067586","55031","2087","4868","14732","2194","沈浩老师","沈浩老师","数学与头脑相遇的地方 中国传媒大学电视与新闻学院 教授","m","11","5","1","中国传媒大学教授新浪微博社区委员会专家成员","0","北京 朝阳区","http://tp1.sinaimg.cn/1657809832/180/5607141379/1","1","",""
"3932532737281104","3932532737281104","2630820703","3932514840061431","1453072330","0","0","0","转发微博","转发微博","1330219770","153","48","23","2847","369","闫新庆","闫新庆","关注于物联网和移动社交网络的研究","m","41","1","","","-1","河南 郑州","http://tp4.sinaimg.cn/2630820703/180/5672221023/1","1","",""
"3932533920608079","3932533920608079","1693443305","3932532334868051","1453072612","0","0","0","","//@沈浩老师://@数海拾贝:很好","1265973643","972","342","7","336","599","Cinnyfq","Cinnyfq","总要有一首我的歌。大声唱过。再看天地辽阔。","f","100","1000","","","220","其他","http://tp2.sinaimg.cn/1693443305/180/5712021811/0","","",""
"3932536361134473","3932536361134473","2609729362","3932532334868051","1453073193","1","1","0","","//@沈浩老师: //@数海拾贝:很好","1323922311","1955","341","370","954","955","支支V","支支V","大音希声","m","44","1","","","-1","广东 广州","http://tp3.sinaimg.cn/2609729362/180/40009376096/1","1","",""
"3932536457637549","3932536457637549","1612188637","3932532334868051","1453073217","0","0","0","","//@沈浩老师://@数海拾贝:很好","1254147811","58863","1937","7800","54236","1995","傅玉辉","傅玉辉","中国传媒大学。一介书生红尘里，万般关心惟倾听。关注新媒体、移动互联网、电信业、文化传播和外国新闻传播史。","m","11","8","1","中国人民大学新闻学院传播学博士，中国传媒大学新闻传播学博士后。著有《大媒体产业：从媒介融合到产业融合》","0","北京 海淀区","http://tp2.sinaimg.cn/1612188637/180/5642207954/1","","",""
"3932536708843975","3932536708843975","1719453164","3932514840061431","1453073277","0","0","0","Repost","Repost","1277774663","148","16","15","4181","926","西境东础","西境东础","少年就应该像太阳奔跑！","f","100","1000","","","-1","其他","http://tp1.sinaimg.cn/1719453164/180/5746596827/0","","",""
"3932537036824075","3932537036824075","3156050340","3932514840061431","1453073354","0","0","0","Repost","Repost","1360079240","18","3","1","408","175","平行的芝麻饼","平行的芝麻饼","Age is my alarm clock","m","400","1000","","","-1","海外","http://tp1.sinaimg.cn/3156050340/180/5708339891/1","1","",""
