id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3831459049719798","3831459049719798","1197161814","","1428974485","1618","4692","592","【和你一起长大的鞋子】 一个年轻人去非洲，发现那边的小朋友因为家里太穷，有些没鞋穿，有些鞋子穿不下了只有把鞋头剪掉露出脚趾。他找到了一个社会企业创新并提供价值的机会：能不能做一双可以穿五年的鞋子？於是，他发明了“和你一起长大的鞋子”。英文全文：http://t.cn/RAKhV6C","【和你一起长大的鞋子】 一个年轻人去非洲，发现那边的小朋友因为家里太穷，有些没鞋穿，有些鞋子穿不下了只有把鞋头剪掉露出脚趾。他找到了一个社会企业创新并提供价值的机会：能不能做一双可以穿五年的鞋子？於是，他发明了“和你一起长大的鞋子”。英文全文：http://t.cn/RAKhV6C","1251448546","49969697","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww2.sinaimg.cn/large/475b3d56jw1er4u33bom8j20qo0hj78d.jpg",""
"3831459095895031","3831459095895031","5105525753","3831459049719798","1428974496","2","0","0","转发微博","转发微博","1397205962","185","7","3","807","119","金宝贝苏州中心","金宝贝苏州中心","","m","32","5","1","金宝贝苏州中心官方微博","2","江苏 苏州","http://tp2.sinaimg.cn/5105525753/180/40053550601/1","1","",""
"3831459142067844","3831459142067844","1726390450","3831459049719798","1428974507","4","2","2","转发微博","转发微博","1270624407","99752","1561","621","48386","1628","美国大学网","美国大学网","北京谷天田国际教育咨询有限公司、EL新思维英语研发培训中心、《美国大学网丛书》编辑中心。","m","11","8","1","美国大学网官方微博","2","北京 海淀区","http://tp3.sinaimg.cn/1726390450/180/1279891613/1","","",""
"3831459184311603","3831459184311603","1893495487","3831459049719798","1428974517","0","0","0","转发微博","转发微博","1292383859","396","41","126","20875","361","团练女教头","团练女教头","","f","100","1000","","","-1","其他","http://tp4.sinaimg.cn/1893495487/180/1292384118/0","1","",""
"3831459188242996","3831459188242996","2055263144","3831459049719798","1428974518","0","0","0","转发微博","转发微博","1306044964","216","45","1300","4426","235","让风刮跑了","让风刮跑了","风划过，神马都没了…","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/2055263144/180/5601197384/1","1","",""
"3831459221519275","3831459221519275","1822643801","3831459049719798","1428974526","1","0","0","有点感动…鞋柜省了好多空间…","有点感动…鞋柜省了好多空间…","1285148170","309","132","1715","5055","764","Janewen","Janewen"," ","f","44","3","","","-1","广东 深圳","http://tp2.sinaimg.cn/1822643801/180/5613111491/0","1","",""
"3831459229908693","3831459229908693","3774158933","3831459049719798","1428974527","0","0","0","转发微博","转发微博","1378704585","351","30","6","1720","247","品牌传播杂志","品牌传播杂志","《品牌传播》官方微博 前瞻态度、全球视野、锐意平实、探究价值","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/3774158933/180/5681626672/1","1","",""
"3831459234422745","3831459234422745","2158624190","3831459049719798","1428974529","0","0","0","转发微博","转发微博","1307185670","1096","73","3","4655","375","Smartnext","Smartnext","可穿戴生活 关注最新科技 关注智能可穿戴设备 关注微信：smartthings","m","61","1","1","  优酷视频（西安）传媒科技有限公司   职员","0","陕西 西安","http://tp3.sinaimg.cn/2158624190/180/5715590353/1","1","",""
"3831459242816957","3831459242816957","2802747447","3831459049719798","1428974531","0","0","0","转发微博","转发微博","1342863846","566","183","5903","5241","2002","老马非要识途","老马非要识途","","f","11","1000","","","220","北京","http://tp4.sinaimg.cn/2802747447/180/5746760951/0","1","",""
"3831459250613962","3831459250613962","3880225230","3831459049719798","1428974533","0","0","0","转发微博","转发微博","1383044432","128","4","10","1453","198","豫米_赵剑伟","豫米_赵剑伟","渐行渐远   不忘初心","m","41","1","","","-1","河南 郑州","http://tp3.sinaimg.cn/3880225230/180/5747614152/1","1","",""
"3831459255675974","3831459255675974","2237142541","3831459049719798","1428974534","0","0","0","转发微博","转发微博","1310210389","128","91","695","46754","589","孝文元宏","孝文元宏","","m","31","5","","","-1","上海 长宁区","http://tp2.sinaimg.cn/2237142541/180/5706415281/1","1","",""
"3831459263468438","3831459263468438","2667893214","3831459049719798","1428974536","0","0","0","转发微博","转发微博","1326687677","44","18","10","376","145","改变中的小青年","改变中的小青年","我就是我！","m","13","4","","","-1","河北 邯郸","http://tp3.sinaimg.cn/2667893214/180/5691317697/1","1","",""
"3831459268000559","3831459268000559","1651690490","3831459049719798","1428974537","0","0","0","转发微博","转发微博","1254753053","1192","553","26742","64790","5000","吉祥10628","吉祥10628","吉祥拾路易发","m","400","5","","","220","海外 加拿大","http://tp3.sinaimg.cn/1651690490/180/5695712778/1","","",""
"3831459297121692","3831459297121692","1957530361","3831459142067844","1428974544","0","0","0","http://t.cn/RA6sh3r","http://t.cn/RA6sh3r//@美国大学网: 转发微博","1297168225","1885","1040","601","21548","1364","月亮上的歌声","月亮上的歌声","寂静的月亮,动听的歌声.","m","32","4","","","-1","江苏 常州","http://tp2.sinaimg.cn/1957530361/180/1297250190/1","1","",""
"3831459305785327","3831459305785327","1067934990","3831459049719798","1428974546","0","0","0","转发微博","转发微博","1312718931","116","15","152","1927","121","梦想成真580","梦想成真580","","m","32","10","","","-1","江苏 扬州","http://tp3.sinaimg.cn/1067934990/180/5607686359/1","1","",""
"3831459309983921","3831459309983921","2742417262","3831459049719798","1428974547","0","0","0","转发微博","转发微博","1332070027","373","42","27","772","239","夏小雨1970","夏小雨1970","居住在江苏省南通巿的上班族","f","32","6","","","-1","江苏 南通","http://tp3.sinaimg.cn/2742417262/180/5736514279/0","1","",""
"3831459343566946","3831459343566946","1651831364","3831459049719798","1428974555","0","0","0","赞","赞","1347758261","6","0","4151","739","177","Blanca_Liu","Blanca_Liu","随遇而安","f","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/1651831364/180/5749346542/0","","",""
"3831459351691757","3831459351691757","1691984860","3831459049719798","1428974557","0","1","0","[给力]","[给力]","1310981989","479","96","5627","43488","2004","綮卿","綮卿","","m","33","11","","","-1","浙江 丽水","http://tp1.sinaimg.cn/1691984860/180/5738557855/1","1","",""
"3831459351691109","3831459351691109","1705724843","3831459049719798","1428974557","0","0","0","鞋厂如果真的做可以穿5年的鞋子，不是断自己的财路么？[嘻嘻]","鞋厂如果真的做可以穿5年的鞋子，不是断自己的财路么？[嘻嘻]","1267839005","365","60","7","1633","483","哲人则知","哲人则知","公民的定义是：具有一定国家的国籍，依据法律规定享有政治权利和承担义务的人。","m","45","5","1","北海友嘉汽车销售有限公司 行政部经理","0","广西 北海","http://tp4.sinaimg.cn/1705724843/180/5728282289/1","1","",""
"3831459360355468","3831459360355468","3190283474","3831459049719798","1428974558","0","0","0","转发微博","转发微博","1360914062","74","13","128","3313","1169","蓝色english","蓝色english","","f","35","1","","","-1","福建 福州","http://tp3.sinaimg.cn/3190283474/180/5657427000/0","","",""
"3831459372676881","3831459372676881","1995620363","3831459049719798","1428974562","0","0","0","[赞]","[赞]","1298804644","182","20","274","5390","219","relovercanni","relovercanni","瞎看看。","f","32","1000","","","-1","江苏","http://tp4.sinaimg.cn/1995620363/180/1299331748/0","1","",""
"3831459381342710","3831459381342710","1950853840","3831459049719798","1428974564","0","0","0","转发微博","转发微博","1305899549","580","140","83","350","241","Amy_王小敏","Amy_王小敏","Life is what you make it,so try to make it perfect.","f","44","1","","","220","广东 广州","http://tp1.sinaimg.cn/1950853840/180/5745820891/0","","",""
"3831459385267310","3831459385267310","2021267202","3831459049719798","1428974564","0","0","0","[good]","[good]","1305849273","389","159","813","1049","375","老丁是我师傅","老丁是我师傅","我正年轻！哦耶！","f","21","11","","","-1","辽宁 盘锦","http://tp3.sinaimg.cn/2021267202/180/5697032184/0","1","",""
"3831459414925066","3831459414925066","1717080993","3831459049719798","1428974572","0","0","0","转发微博","转发微博","1269329692","313","145","197","981","334","jiaxin_archiroad","jiaxin_archiroad","记住该记住的，忘记该忘记的。改变能改变的，接受不能改变的。","m","42","1","","","-1","湖北 武汉","http://tp2.sinaimg.cn/1717080993/180/40106584618/1","1","",""
"3831459423318593","3831459423318593","1834024900","3831459049719798","1428974574","0","0","0","非常好的创意 ","非常好的创意 ","1285688581","379","108","24","2486","411","纳米沙","纳米沙","天空没有痕迹，但鸟儿已经飞过。","m","31","15","","","-1","上海 浦东新区","http://tp1.sinaimg.cn/1834024900/180/5717325525/1","1","",""
"3831459431440602","3831459431440602","2387177670","3831459049719798","1428974575","1","0","1","确定鞋底不会破？","确定鞋底不会破？","1315660423","727","200","1635","4445","803","后排左窗","后排左窗","","f","62","8","1","平凉市康美管家健康文化传播有限公司企划部经理","0","甘肃 平凉","http://tp3.sinaimg.cn/2387177670/180/5747327577/0","1","",""
"3831459431715412","3831459431715412","2613210167","3831459049719798","1428974576","0","0","0","转发微博","转发微博","1328960089","208","127","34","5895","683","菲菲菲是可妮兔","菲菲菲是可妮兔","有事做，有人爱，有所期待，外加。。。没有蛀牙！","f","61","1","","","-1","陕西 西安","http://tp4.sinaimg.cn/2613210167/180/5717586858/0","1","",""
"3831459431265192","3831459431265192","2930279761","3831459049719798","1428974576","0","0","0","好棒[good]","好棒[good]","1357896821","69","29","6","470","138","王汪旺枉仼忹","王汪旺枉仼忹","一只天天做白日梦的弱鸡😣","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/2930279761/180/5743035982/1","1","",""
