id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3870048735344321","3870048735344321","1197161814","","1438174982","11280","8311","984","【让你的简历更出众】不要小瞧简历的重要性，中国人才这么多，每个公司都会先仅仅看简历过滤一次，不知道有多少人就是因为简历的小问题丧失了面试就职的机会。分享一篇文章如何让你的简历更出众","【让你的简历更出众】不要小瞧简历的重要性，中国人才这么多，每个公司都会先仅仅看简历过滤一次，不知道有多少人就是因为简历的小问题丧失了面试就职的机会。分享一篇文章如何让你的简历更出众","1251448546","49969684","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww2.sinaimg.cn/large/475b3d56jw1eujsi5ie09j20c8201k24.jpg",""
"3870048777634600","3870048777634600","1581114370","3870048735344321","1438174992","0","0","0","转发微博","转发微博","1273277977","36","0","51","15710","54","高粱面窝头","高粱面窝头","","m","12","10","","","-1","天津 东丽区","http://tp3.sinaimg.cn/1581114370/180/39996802972/1","1","",""
"3870048802549179","3870048802549179","2624363482","3870048735344321","1438174999","0","0","0","转发微博","转发微博","1324435086","52","22","7","1050","144","阜宁玉带糕","阜宁玉带糕","穷b程序狗","m","32","1","","","-1","江苏 南京","http://tp3.sinaimg.cn/2624363482/180/5722601388/1","1","",""
"3870048810971419","3870048810971419","1769113980","3870048735344321","1438175001","0","0","0","转发微博","转发微博","1278336101","57","12","10","1603","268","下半场开始","下半场开始","喜欢利物浦 只爱红军 你永远不会独行","m","34","1","","","-1","安徽 合肥","http://tp1.sinaimg.cn/1769113980/180/1278336275/1","1","",""
"3870048831684967","3870048831684967","2493423955","3870048735344321","1438175006","0","0","0","转发微博","转发微博","1322324106","173","45","0","1687","118","致社会主义好青年","致社会主义好青年","相信自己，相信未来。","m","42","1","","","-1","湖北 武汉","http://tp4.sinaimg.cn/2493423955/180/5698810857/1","1","",""
"3870048831326127","3870048831326127","3116027387","3870048735344321","1438175006","0","1","0","转发微博","转发微博","1353768761","69","8","10","1155","309","它有个秘密","它有个秘密","我想要一把彩虹蘑菇伞。","f","43","1","","","-1","湖南 长沙","http://tp4.sinaimg.cn/3116027387/180/5689645016/0","1","",""
"3870048831326244","3870048831326244","3697332747","3870048735344321","1438175006","0","0","0","转发微博","转发微博","1375674154","67","6","567","6888","70","江九星","江九星","也许相比你那曾经的爱 会有缺憾，但请你相信我好吗","m","61","9","","","-1","陕西 安康","http://tp4.sinaimg.cn/3697332747/180/40031095130/1","","",""
"3870048835883260","3870048835883260","2078242713","3870048735344321","1438175007","0","0","0","转发微博","转发微博","1302353787","352","131","1433","3693","520","Cherrywicky是小飞象","Cherrywicky是小飞象","90后小女生渴望变成大女人……","f","44","3","","","-1","广东 深圳","http://tp2.sinaimg.cn/2078242713/180/5732201310/0","1","",""
"3870048835520931","3870048835520931","1417205037","3870048735344321","1438175007","0","0","0","Repost","Repost","1303174140","87","12","5","2331","1821","自由唠唠叨叨","自由唠唠叨叨","说二不二，说吊不吊。","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1417205037/180/5658836515/1","1","",""
"3870048856882665","3870048856882665","2712407105","3870048735344321","1438175012","0","0","0","转发微博","转发微博","1334026705","501","336","1965","5791","475","233夜空","233夜空","祝愿你过得开心，我也过得开心","m","11","5","","","220","北京 朝阳区","http://tp2.sinaimg.cn/2712407105/180/5746448479/1","1","",""
