id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3844173285567231","3844173285567231","1197161814","","1432005794","1764","2383","1025","【Uber 估值太贵吗？】 美国Uber高管演讲后，观众提问：“苹果才值7000亿，Uber凭什麽值400亿？” 高管：“我们来做个调查。多少人用iphone？” 约一半人举手。 高管：”那麽多少人每周至少坐一次Uber？“ 全部人举手。 高管：”OK，下一个问题。“ 虽然问答并不严谨，不过也让我們看到Uber的影响力！","【Uber 估值太贵吗？】 美国Uber高管演讲后，观众提问：“苹果才值7000亿，Uber凭什麽值400亿？” 高管：“我们来做个调查。多少人用iphone？” 约一半人举手。 高管：”那麽多少人每周至少坐一次Uber？“ 全部人举手。 高管：”OK，下一个问题。“ 虽然问答并不严谨，不过也让我們看到Uber的影响力！","1251448546","49969705","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww4.sinaimg.cn/large/475b3d56gw1es9e9ptf9oj20p00irwj1.jpg",""
"3844173423913341","3844173423913341","1296057874","3844173285567231","1432005828","0","1","0","转发微博","转发微博","1286512660","138","17","47","1273","721","lucy710qq","lucy710qq","","f","51","1","","","-1","四川 成都","http://tp3.sinaimg.cn/1296057874/180/5618129230/0","1","",""
"3844173436505369","3844173436505369","1738023273","3844173285567231","1432005831","0","0","0","转发微博","转发微博","1273051205","104","46","82","1336","268","淘淘1021","淘淘1021","娴静的调皮","f","44","1000","","","-1","广东","http://tp2.sinaimg.cn/1738023273/180/1285858391/0","1","",""
"3844173457689358","3844173457689358","1739719311","3844173285567231","1432005836","0","0","0","转发微博","转发微博","1273406090","244","76","1","1044","341","娥志娥志","娥志娥志","词穷","f","44","3","","","-1","广东 深圳","http://tp4.sinaimg.cn/1739719311/180/40005628630/0","1","",""
"3844173474286177","3844173474286177","1764129521","3844173285567231","1432005840","0","0","0","转发微博","转发微博","1277723771","53","12","945","351","953","mark_flying","mark_flying","","m","21","2","","","-1","辽宁 大连","http://tp2.sinaimg.cn/1764129521/180/5745365048/1","1","",""
"3844173482162400","3844173482162400","1794654742","3844173285567231","1432005840","0","0","0","转发微博","转发微博","1282156181","346","112","1305","6245","401","大廣童鞋","大廣童鞋","","m","400","2","","","-1","海外 英国","http://tp3.sinaimg.cn/1794654742/180/40019921927/1","1","",""
"3844173508062543","3844173508062543","3171135864","3844173285567231","1432005848","0","0","0","只要能服务更多的人 你就值钱","只要能服务更多的人 你就值钱","1359300770","171","3","1539","8531","1312","手机用户35624609619","手机用户35624609619","","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/3171135864/180/5735336555/1","","",""
"3844173515740835","3844173515740835","2117635192","3844173285567231","1432005850","0","0","0","转发微博","转发微博","1303916398","826","131","333","2721","961","Tony882100","Tony882100","后会无期，轻装前行，爱自己","m","44","1","","","220","广东 广州","http://tp1.sinaimg.cn/2117635192/180/5746319095/1","1","",""
"3844173520656882","3844173520656882","1842884161","3844173285567231","1432005851","1","0","0","而且Uber真心好用[喵喵]","而且Uber真心好用[喵喵]","1288490756","1518","179","393","4136","465","宋宋不想起床","宋宋不想起床","生活本来就没有这么简单。","f","33","1","","","220","浙江 杭州","http://tp2.sinaimg.cn/1842884161/180/5731774155/0","1","",""
"3844173537450328","3844173537450328","1653949321","3844173285567231","1432005855","0","0","0","转发微博","转发微博","1255595786","81","3","0","317","72","sevent","sevent","","m","31","1000","","","-1","上海","http://tp2.sinaimg.cn/1653949321/180/1289131388/1","","",""
"3844173579175236","3844173579175236","1657590455","3844173285567231","1432005865","0","0","0","支持uber","支持uber","1256986809","1295","134","934","9020","387","Blackchocolatezl","Blackchocolatezl","Do what you love and fuck the rest.","f","100","1000","","","220","其他","http://tp4.sinaimg.cn/1657590455/180/5747906821/0","1","",""
"3844173611944871","3844173611944871","1651695155","3844173285567231","1432005873","0","0","0","uber[给力]","uber[给力]","1254754702","433","89","13","1886","473","BestEthan","BestEthan","Exams all pass!!! 工作中，生活中。","m","42","1","","","220","湖北 武汉","http://tp4.sinaimg.cn/1651695155/180/5735033098/1","1","",""
"3844173612763620","3844173612763620","3800612879","3844173285567231","1432005873","0","0","0","回到给力","回到给力","1379421439","81","35","16","147","149","Jackie_Leo","Jackie_Leo","I have the sun for the day, I have the moon for the night,and now I just hope you forever!","m","50","6","","","-1","重庆 沙坪坝区","http://tp4.sinaimg.cn/3800612879/180/5724840697/1","1","",""
"3844173625156663","3844173625156663","1413752881","3844173285567231","1432005876","0","0","0","转发微博","转发微博","1296204512","210","18","2112","2417","277","玺瑜","玺瑜","无量心 生福报 无极限","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/1413752881/180/5606982196/1","","",""
"3844173666758423","3844173666758423","1197380865","3844173285567231","1432005886","0","0","0","转发微博","转发微博","1277742342","98","44","133","2577","529","有Guo难忘","有Guo难忘","","m","11","4","","","-1","北京 宣武区","http://tp2.sinaimg.cn/1197380865/180/5745143521/1","1","",""
"3844173675148306","3844173675148306","1949545785","3844173285567231","1432005887","0","0","0","转发微博","转发微博","1296740464","123","10","34","1448","89","绿衣小丑","绿衣小丑","ａｍｏｒ　ｆａｔｉ","m","400","1","","","-1","海外 美国","http://tp2.sinaimg.cn/1949545785/180/5741246596/1","1","",""
"3844173721713866","3844173721713866","1846473867","3844173285567231","1432005899","0","0","2","转发微博","转发微博","1316228046","275","47","36","4490","288","清凉一族_neu","清凉一族_neu","东北大学","m","21","1","","","-1","辽宁 沈阳","http://tp4.sinaimg.cn/1846473867/180/5731031346/1","1","",""
"3844173721913641","3844173721913641","1959353623","3844173285567231","1432005899","0","0","0","可惜了，在国内","可惜了，在国内","1297251684","153","55","4660","720","482","Mr-Wu-Hefei","Mr-Wu-Hefei","正在输入中…","m","34","1","","","-1","安徽 合肥","http://tp4.sinaimg.cn/1959353623/180/5666006201/1","1","",""
