id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3910510216724469","3910510216724469","1197161814","","1447821752","5456","3744","557","【如何让你的简历脱颖而出】在一份简历中HR主要关注6个信息点：姓名、教育背景、现任职公司职位和起止日期、曾就职公司职位和起止日期。通过不同的配色方案和格式设计，将简历以分层结构显示出来，使以上信息点一目了然，即可使简历脱颖而出。图片中是一些成功的例子。英文全文：http://t.cn/zYHJKmD","【如何让你的简历脱颖而出】在一份简历中HR主要关注6个信息点：姓名、教育背景、现任职公司职位和起止日期、曾就职公司职位和起止日期。通过不同的配色方案和格式设计，将简历以分层结构显示出来，使以上信息点一目了然，即可使简历脱颖而出。图片中是一些成功的例子。英文全文：http://t.cn/zYHJKmD","1251448546","49969679","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww4.sinaimg.cn/large/475b3d56jw1ey50zyzb1tj20c80tedjc.jpg",""
"3910510259115930","3910510259115930","2567340953","3910510216724469","1447821761","0","0","0","转发微博","转发微博","1325934724","754","242","6","2951","540","公益程浩","公益程浩","公益人士，北京市壹家人爱心联盟创始人，欢迎关注@壹家人爱心联盟","m","37","1000","1","北京市壹家人爱心联盟会长","0","山东","http://tp2.sinaimg.cn/2567340953/180/5700541478/1","1","",""
"3910510280108822","3910510280108822","2874098767","3910510216724469","1447821767","0","0","0","转发微博","转发微博","1361447151","107","40","10","2602","157","娅娅0809","娅娅0809","等我足够优秀，你我足够成熟","f","13","3","","","-1","河北 秦皇岛","http://tp4.sinaimg.cn/2874098767/180/5719465379/0","1","",""
"3910510308803130","3910510308803130","3307488953","3910510216724469","1447821773","0","0","0","转发微博","转发微博","1363236304","62","1","1","1094","89","3Ccrb","3Ccrb","","f","100","1000","","","-1","其他","http://tp2.sinaimg.cn/3307488953/180/5669549417/0","1","",""
"3910510309497283","3910510309497283","2479608382","3910510216724469","1447821774","0","0","0","Repost","Repost","1319176911","80","27","4","604","372","GSAU中轴线","GSAU中轴线","","m","62","1","","","-1","甘肃 兰州","http://tp3.sinaimg.cn/2479608382/180/5735967795/1","1","",""
"3910510321607526","3910510321607526","5179419067","3910510216724469","1447821777","0","1","0","转发微博","转发微博","1402730319","18","6","17","127","137","简心life","简心life","学医路上！","f","42","12","","","-1","湖北 咸宁","http://tp4.sinaimg.cn/5179419067/180/5718281590/0","1","",""
"3910510322090741","3910510322090741","2238532397","3910510216724469","1447821777","0","0","0","转发微博","转发微博","1332045506","67","9","41","276","216","DIDI_H","DIDI_H","","f","43","1","","","-1","湖南 长沙","http://tp2.sinaimg.cn/2238532397/180/5744606611/0","1","",""
"3910510321605973","3910510321605973","2096948207","3910510216724469","1447821777","0","0","0","转发微博","转发微博","1303302058","312","44","2264","3373","833","叶家敏敏明明也可以叫10","叶家敏敏明明也可以叫10","","f","31","15","","","-1","上海 浦东新区","http://tp4.sinaimg.cn/2096948207/180/5746253116/0","","",""
"3910510334683980","3910510334683980","2080338571","3910510216724469","1447821780","0","0","0","留着以后用","留着以后用","1353689981","62","16","4","558","127","不知不觉0430","不知不觉0430","","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/2080338571/180/5746360443/1","1","",""
"3910510338185945","3910510338185945","1805484405","3910510216724469","1447821781","0","0","0","转发微博","转发微博","1283140189","597","158","4","4628","318","Jeffrey_在河之洲","Jeffrey_在河之洲","This is life.","m","31","6","","","220","上海 静安区","http://tp2.sinaimg.cn/1805484405/180/5734880116/1","1","",""
"3910510343300679","3910510343300679","3898669075","3910510216724469","1447821781","0","0","0","转发微博","转发微博","1384092167","12","0","1","897","443","请叫我汉堡堡","请叫我汉堡堡","摩羯座学霸君","m","37","6","","","-1","山东 烟台","http://tp4.sinaimg.cn/3898669075/180/5748517901/1","1","",""
"3910510346790383","3910510346790383","2034400255","3910510216724469","1447821783","0","0","0","转发微博","转发微博","1300517647","176","62","2","1201","174","-IseauHYY","-IseauHYY","当明天成为今天变成不重要的某一天","f","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/2034400255/180/5742295439/0","1","",""
"3910510350987290","3910510350987290","1670846750","3910510216724469","1447821784","0","0","0","转发微博","转发微博","1260967402","45","6","1","92","69","邢栋","邢栋","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/1670846750/180/0/1","1","",""
"3910510355185873","3910510355185873","1967394792","3910510216724469","1447821785","0","0","0","转发微博","转发微博","1299071704","442","153","2","13299","2000","国际法律援助基金会","国际法律援助基金会","人生的正午从今天开始","m","37","1","","","-1","山东 济南","http://tp1.sinaimg.cn/1967394792/180/0/1","1","",""
