id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3917332030501980","3917332030501980","1197161814","","1449448199","851","1306","193","昨晚的中国企业领袖年会闭幕演讲：许多传统企业喊着“互联网+”的口号，但是其实真的做的是资本运作，或是简单的电子商务。传统企业互联网化是困难的，因为传统企业一般不了解互联网运作，公司文化基因不同，而且过去的成功可能成为包袱。这演讲给出对传统企业的忠告和建议。 http://t.cn/R4vc9T9","昨晚的中国企业领袖年会闭幕演讲：许多传统企业喊着“互联网+”的口号，但是其实真的做的是资本运作，或是简单的电子商务。传统企业互联网化是困难的，因为传统企业一般不了解互联网运作，公司文化基因不同，而且过去的成功可能成为包袱。这演讲给出对传统企业的忠告和建议。 http://t.cn/R4vc9T9","1251448546","49969685","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww3.sinaimg.cn/large/475b3d56jw1eyqshb2b6kj20fa0bh0wa.jpg",""
"3917332143249508","3917332143249508","3715671781","3917332030501980","1449448226","0","0","0","转发微博","转发微博","1376223363","87","48","0","1445","377","蓝莓胤","蓝莓胤","浑浑噩噩的日子总是摸不到自己内心深处","m","44","3","","","-1","广东 深圳","http://tp2.sinaimg.cn/3715671781/180/5724567597/1","1","",""
"3917332151643103","3917332151643103","1429773492","3917332030501980","1449448228","0","1","0","转发微博","转发微博","1264753567","503","134","462","5554","1250","兰州草鱼","兰州草鱼","关注着，感受着，前行着。除企业推广外，所发言论与供职企业无关，个人承担责任。","m","62","1","1","甘肃世纪春天百货有限责任公司百安购物中心 副总经理 曹会强","0","甘肃 兰州","http://tp1.sinaimg.cn/1429773492/180/5697020443/1","1","",""
"3917332181021438","3917332181021438","3123890092","3917332030501980","1449448235","0","0","0","转发微博","转发微博","1358386578","38","6","1","447","343","super浪仔","super浪仔","分分钟让你爱上我，你知道吗","m","52","24","","","-1","贵州 毕节","http://tp1.sinaimg.cn/3123890092/180/5687086880/1","1","",""
"3917332193326811","3917332193326811","2724911545","3917332030501980","1449448238","0","0","0","转发微博","转发微博","1336118477","87","10","538","765","197","果粒粒来一杯","果粒粒来一杯","","f","13","1","","","-1","河北 石家庄","http://tp2.sinaimg.cn/2724911545/180/5741739321/0","1","",""
"3917332205916344","3917332205916344","1376127125","3917332030501980","1449448241","0","0","0","转发微博","转发微博","1255682065","108","3","8","2082","133","灬南朝灬","灬南朝灬","缘来。缘去。缘走。无他别！","m","11","1","","","-1","北京 东城区","http://tp2.sinaimg.cn/1376127125/180/1294635913/1","1","",""
"3917332218506311","3917332218506311","5079135404","3917332030501980","1449448244","0","0","0","转发微博","转发微博","1395391912","2217","16","0","2183","113","小剑_Jack","小剑_Jack","专注于在线教育&产品。专注于All about E-Learning！","m","11","1000","1","北京新航标文化发展有限公司 总裁","0","北京","http://tp1.sinaimg.cn/5079135404/180/5742605389/1","1","",""
"3917332227185032","3917332227185032","2735651397","3917332030501980","1449448246","0","0","0","转发微博","转发微博","1337777960","40","0","7","366","213","那一夏-剪不断的情愫","那一夏-剪不断的情愫","","m","31","5","","","-1","上海 长宁区","http://tp2.sinaimg.cn/2735651397/180/5708788328/1","1","",""
"3917332260471683","3917332260471683","3140514657","3917332030501980","1449448253","0","0","0","说的好","说的好","1353380598","53","10","27","117","92","1李明耀","1李明耀","别有根芽，不是人间富贵花","m","21","2","","","-1","辽宁 大连","http://tp2.sinaimg.cn/3140514657/180/5746356302/1","1","",""
"3917332281456483","3917332281456483","3909514300","3917332030501980","1449448259","0","0","0","转发微博","转发微博","1384784841","141","90","247","356","198","姙爽","姙爽","有梦为马♥随处可栖","f","11","5","","","-1","北京 朝阳区","http://tp1.sinaimg.cn/3909514300/180/5747606285/0","1","",""
