id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3895778776886847","3895778776886847","1197161814","","1444309503","1901","1560","270","【同理心的力量：你的感觉，我懂】当我们遭遇困难和打击的时候，你是否曾渴望有个人能够对你说“你的感觉，我懂”，而不是略有遗憾的同情？同情和同理的区别是什么？ 前者使我们失去连结，而后者使我们建立了连结。这就是同理心的力量。http://t.cn/RhVRxvz","【同理心的力量：你的感觉，我懂】当我们遭遇困难和打击的时候，你是否曾渴望有个人能够对你说“你的感觉，我懂”，而不是略有遗憾的同情？同情和同理的区别是什么？ 前者使我们失去连结，而后者使我们建立了连结。这就是同理心的力量。http://t.cn/RhVRxvz","1251448546","49969684","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","",""
"3895778840398718","3895778840398718","1971417967","3895778776886847","1444309518","0","0","0","转发微博","转发微博","1297783996","202","106","7","436","385","吾修罗ai","吾修罗ai","再苦再累，只要坚持往前走，属于自己的风景终会出现；只要是自己选择的，那就无怨无悔。","m","45","3","","","-1","广西 桂林","http://tp4.sinaimg.cn/1971417967/180/5739060562/1","1","",""
"3895778844335240","3895778844335240","2906238617","3895778776886847","1444309518","0","0","0","转发微博","转发微博","1343784806","165","82","93","3026","361","宋宇CFan2012","宋宇CFan2012","我是电脑爱好者，同时也是一个微博控。欢迎大家互粉！","m","45","3","","","220","广西 桂林","http://tp2.sinaimg.cn/2906238617/180/40000936702/1","1","",""
"3895778844068867","3895778844068867","1558623045","3895778776886847","1444309519","0","0","0","转发微博","转发微博","1317363196","3660","38","16","2781","100","等风来-许","等风来-许","活得纯粹！","m","44","6","","","220","广东 佛山","http://tp2.sinaimg.cn/1558623045/180/5733416521/1","1","",""
"3895778923826144","3895778923826144","2441733935","3895778776886847","1444309537","0","0","0","我懂","我懂","1320295151","262","34","280","2533","160","晒太阳的培培","晒太阳的培培","上善若水","f","61","1","","","-1","陕西 西安","http://tp4.sinaimg.cn/2441733935/180/5747874224/0","1","",""
"3895778931962466","3895778931962466","3036699551","3895778776886847","1444309539","0","0","0","转发微博","转发微博","1357276615","148","124","36","2505","609","高先森是老三","高先森是老三","爱你不是一句话，而是无声的陪伴！","m","100","1000","","","-1","其他","http://tp4.sinaimg.cn/3036699551/180/5732113618/1","1","",""
"3895778935912210","3895778935912210","1260664270","3895778776886847","1444309541","0","0","0","转发微博","转发微博","1308469918","210","66","451","2864","352","笑佛1967","笑佛1967"," ","m","32","1","","","-1","江苏 南京","http://tp3.sinaimg.cn/1260664270/180/5749259908/1","","",""
"3895778944558486","3895778944558486","1189885333","3895778776886847","1444309543","0","0","0","@天边的那缕夕阳 ","@天边的那缕夕阳 ","1255873590","29","2","11","2791","156","静芳浅浅","静芳浅浅","感知美妙的世界","f","35","1","","","-1","福建 福州","http://tp2.sinaimg.cn/1189885333/180/40007613086/0","1","",""
"3895778952704752","3895778952704752","5024276211","3895778776886847","1444309544","0","0","0","转发微博","转发微博","1391557956","23","10","4","154","89","上官雨琦张","上官雨琦张","","f","33","2","","","-1","浙江 宁波","http://tp4.sinaimg.cn/5024276211/180/5718437408/0","1","",""
"3895778957656362","3895778957656362","1655446303","3895778776886847","1444309546","0","0","0","转发微博","转发微博","1256183111","2","0","0","163","30","刘纯武","刘纯武","","m","44","1","","","-1","广东 广州","http://tp4.sinaimg.cn/1655446303/180/5722981048/1","1","",""
"3895779011971673","3895779011971673","1926073993","3895778776886847","1444309559","0","0","0","转发微博","转发微博","1295342258","334","76","36","8809","620","想个不重复的名字真难","想个不重复的名字真难","","m","32","5","","","220","江苏 苏州","http://tp2.sinaimg.cn/1926073993/180/5685546752/1","1","",""
"3895779070503545","3895779070503545","1730221740","3895778776886847","1444309573","0","0","0","轉發微博","轉發微博","1271302197","2119","143","10703","43035","417","MS_August_小鲨鱼","MS_August_小鲨鱼","如果事与愿违就相信上帝一定另有安排。everything has its own time，let it go  let it be（像小王子的小公主）我爱生活爱我；寻志同道合的人MiniLee","f","44","3","","","220","广东 深圳","http://tp1.sinaimg.cn/1730221740/180/5748777472/0","1","",""
"3895779112243566","3895779112243566","3821387381","3895778776886847","1444309583","0","0","0","转发微博","转发微博","1380637750","28","5","1","1413","160","晋水微澜","晋水微澜","","f","14","4","","","-1","山西 长治","http://tp2.sinaimg.cn/3821387381/180/5678544029/0","1","",""
"3895779125546137","3895779125546137","2620865493","3895778776886847","1444309585","0","0","0","转发微博","转发微博","1329478414","157","26","689","833","351","staringfish","staringfish","","f","37","14","","","-1","山东 德州","http://tp2.sinaimg.cn/2620865493/180/5676010320/0","1","",""
"3895779125547183","3895779125547183","2514825230","3895778776886847","1444309585","0","3","0","@Han-Dance @川华学院大学生艺术团 [心]","@Han-Dance @川华学院大学生艺术团 [心]","1320457151","873","309","272","2897","1203","Un-costume","Un-costume","做一个发现新闻的人","m","51","1000","","","-1","四川","http://tp3.sinaimg.cn/2514825230/180/5742968448/1","1","",""
