id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3922543134622578","3922543134622578","1197161814","","1450690623","3968","3774","412","【不要畏惧失败 】你失败过很多次，虽然你可能不记得。你第一次尝试走路，你摔倒了。你第一次张嘴说话，你说错了。你第一次游泳，你快淹死了。你第一次投篮，你没有投进。不要担心失败，需要担心的是如果你畏惧失败，你将丧失机会。","【不要畏惧失败 】你失败过很多次，虽然你可能不记得。你第一次尝试走路，你摔倒了。你第一次张嘴说话，你说错了。你第一次游泳，你快淹死了。你第一次投篮，你没有投进。不要担心失败，需要担心的是如果你畏惧失败，你将丧失机会。","1251448546","49969692","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww1.sinaimg.cn/large/475b3d56jw1ez79k9s1f4j20dc097q3b.jpg",""
"3922543188595455","3922543188595455","1747559440","3922543134622578","1450690636","0","0","0","转发微博","转发微博","1275022101","59","10","67","1292","109","米修豆豆","米修豆豆","","f","42","1","","","-1","湖北 武汉","http://tp1.sinaimg.cn/1747559440/180/5736763459/0","1","",""
"3922543217979767","3922543217979767","2009816223","3922543134622578","1450690643","0","0","0","Repost","Repost","1299398587","291","165","133","3432","864","cappuccino-91","cappuccino-91","做一个有意思的人…...要好好刷牙、吃饭、睡觉~","f","31","10","","","-1","上海 杨浦区","http://tp4.sinaimg.cn/2009816223/180/5695655453/0","1","",""
"3922543226710088","3922543226710088","2511681663","3922543134622578","1450690644","0","0","0","转发微博","转发微博","1323014059","21","1","18","985","151","Walkeroops","Walkeroops","","m","31","1000","","","-1","上海","http://tp4.sinaimg.cn/2511681663/180/5705621552/1","1","",""
"3922543238523199","3922543238523199","2608751067","3922543134622578","1450690647","0","0","0","转发微博","转发微博","1328003952","522","116","259","11000","1538","MichelleMee","MichelleMee","宅女 爱读书 花痴  韩剧疯子","f","400","19","","","-1","海外 德国","http://tp4.sinaimg.cn/2608751067/180/5731070433/0","1","",""
"3922543256008100","3922543256008100","2401124484","3922543134622578","1450690651","0","0","0","转发微博","转发微博","1316160522","599","102","174","5307","501","圆脸的向日葵小姐","圆脸的向日葵小姐","❤“ 被人暖一下就高热，被人冷一下就成冰，请原谅我一生爱憎分明不讨巧。”","f","65","1","","","220","新疆 乌鲁木齐","http://tp1.sinaimg.cn/2401124484/180/5745814891/0","1","",""
"3922543256094607","3922543256094607","3171804302","3922543134622578","1450690652","0","0","0","转发微博","转发微博","1359462938","59","2","1","1840","79","无法抵达的星之海","无法抵达的星之海","夏虫不可语于冰，井蛙不可语于海","m","51","1","","","-1","四川 成都","http://tp3.sinaimg.cn/3171804302/180/40056735756/1","1","",""
"3922543276735769","3922543276735769","1957322683","3922543134622578","1450690657","0","0","0","转发微博","转发微博","1297156522","1199","111","104","2897","2001","中国华辰","中国华辰","无论何时放得开，收得住，有激情，能淡定，便会容易面对不同的环境••••••","m","81","1000","1","中国华辰实业有限公司 总经理","0","香港","http://tp4.sinaimg.cn/1957322683/180/5642735026/1","1","",""
"3922543276484747","3922543276484747","3358612950","3922543134622578","1450690657","0","0","0","转发微博","转发微博","1366729359","150","17","5","1918","193","成熟de小朋友","成熟de小朋友","遇见，就是幸福。","f","11","5","","","-1","北京 朝阳区","http://tp3.sinaimg.cn/3358612950/180/40049809828/0","1","",""
"3922543289077784","3922543289077784","2001210103","3922543134622578","1450690660","0","0","0","转发微博","转发微博","1299036580","119","1","24","712","780","柒大兔的时间","柒大兔的时间","做最骄傲的自己！","f","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/2001210103/180/5743342787/0","1","",""
"3922543293092984","3922543293092984","1896147687","3922543134622578","1450690661","0","0","0","转发微博","转发微博","1292604503","53","17","9","169","311","Toooooooooooony","Toooooooooooony","","m","37","2","","","-1","山东 青岛","http://tp4.sinaimg.cn/1896147687/180/5685717810/1","1","",""
"3922543293872343","3922543293872343","3538134900","3922543134622578","1450690661","0","0","0","转发微博","转发微博","1371341436","38","4","1","1474","376","草芙蓉蛋糕","草芙蓉蛋糕","经过几变才敢说世态炎凉。。。","f","11","1","","","-1","北京 东城区","http://tp1.sinaimg.cn/3538134900/180/40026598172/0","1","",""
"3922543297473827","3922543297473827","1766364107","3922543134622578","1450690662","0","0","0","转发微博","转发微博","1278039625","2601","960","283","13306","1037","持续沉默","持续沉默","我承认，曾幻想过永恒，可惜从没人陪我演这剧本。","f","14","4","","","220","山西 长治","http://tp4.sinaimg.cn/1766364107/180/5738068549/0","1","",""
"3922543339264264","3922543339264264","5357702451","3922543134622578","1450690671","0","1","0","[悲伤][悲伤][悲伤]","[悲伤][悲伤][悲伤]","1415006269","104","73","126","200","245","宋允东","宋允东","","m","23","1","","","-1","黑龙江 哈尔滨","http://tp4.sinaimg.cn/5357702451/180/5745658258/1","1","",""
"3922543364448722","3922543364448722","3205953733","3922543134622578","1450690678","0","0","0","转发微博","转发微博","1356593102","7","2","0","8","85","刘磊之家","刘磊之家","","m","11","14","","","-1","北京 昌平区","http://tp2.sinaimg.cn/3205953733/180/5745459802/1","1","",""
"3922543381424724","3922543381424724","2713847472","3922543134622578","1450690681","0","0","0","转发微博","转发微博","1347302851","40","3","1","1054","98","陈小生亮亮","陈小生亮亮","","m","100","1000","","","-1","其他","http://tp1.sinaimg.cn/2713847472/180/5670898675/1","1","",""
"3922543381426234","3922543381426234","2574163542","3922543134622578","1450690682","0","0","0","转发微博","转发微博","1322641259","112","40","58","707","95","m1st0ryzZ","m1st0ryzZ","。","m","43","1","","","-1","湖南 长沙","http://tp3.sinaimg.cn/2574163542/180/5676608961/1","1","",""
