id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3903240443915700","3903240443915700","1197161814","","1446088503","2527","1624","274","【容易惹人讨厌的7个交流习惯】1）讲话一直重复，回应亦显敷衍；2）时常提出简单、无趣的问题；3）粗鲁地打断对话；4）不合时宜地要求对方解释抑或阐述；5）言语冗赘，话讲个没完；6）不得体的举止及姿势；7）表现出懒散、烦躁、坐立不安。你犯其中几个？英文全文：http://t.cn/RUqQEps","【容易惹人讨厌的7个交流习惯】1）讲话一直重复，回应亦显敷衍；2）时常提出简单、无趣的问题；3）粗鲁地打断对话；4）不合时宜地要求对方解释抑或阐述；5）言语冗赘，话讲个没完；6）不得体的举止及姿势；7）表现出懒散、烦躁、坐立不安。你犯其中几个？英文全文：http://t.cn/RUqQEps","1251448546","49969658","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","",""
"3903240490301544","3903240490301544","2467857612","3903240443915700","1446088514","0","0","0","转发微博","转发微博","1318603519","10","0","12","1450","95","vvskylee","vvskylee","","m","44","3","","","-1","广东 深圳","http://tp1.sinaimg.cn/2467857612/180/5629078292/1","","",""
"3903240552338752","3903240552338752","2943742677","3903240443915700","1446088529","0","0","0","转发微博","转发微博","1347250881","46","7","691","2624","41","随时隐隐约约","随时隐隐约约","","f","44","8","","","-1","广东 湛江","http://tp2.sinaimg.cn/2943742677/180/5683348415/0","1","",""
"3903240552337337","3903240552337337","2553941583","3903240443915700","1446088529","0","0","0","转发微博","转发微博","1324830194","11","2","23","25914","87","慕容图腾","慕容图腾","长天无尽，湛蓝高远","m","82","3","","","-1","澳门 圣安多尼堂区","http://tp4.sinaimg.cn/2553941583/180/5729181394/1","1","",""
"3903240573328523","3903240573328523","1844179981","3903240443915700","1446088532","0","0","0","→_→","→_→","1288628920","297","50","174","4928","1007","新立宪派以愚公移山方式抵制日货","新立宪派以愚公移山方式抵制日货","WORK TOGETHER TO MAKE A DIFFERENCE。","m","11","5","","","-1","北京 朝阳区","http://tp2.sinaimg.cn/1844179981/180/1291781508/1","1","",""
"3903240577931472","3903240577931472","2273345480","3903240443915700","1446088535","1","0","0","转发微博","转发微博","1311845945","502","235","222","2037","342","stone_shl","stone_shl","","m","11","8","","","220","北京 海淀区","http://tp1.sinaimg.cn/2273345480/180/5745416335/1","1","",""
"3903240599433060","3903240599433060","3217200451","3903240443915700","1446088540","0","0","0","转发微博","转发微博","1357797435","69","8","10","1732","232","modair","modair","","f","32","4","","","-1","江苏 常州","http://tp4.sinaimg.cn/3217200451/180/40017955118/0","1","",""
"3903240624105474","3903240624105474","1356687083","3903240443915700","1446088545","0","0","0","转发微博","转发微博","1268369899","470","20","1","578","140","禅小雨","禅小雨","中国散文学会会员，徐州市作家协会会员","m","32","3","1","  徐州市杂文学会会员","0","江苏 徐州","http://tp4.sinaimg.cn/1356687083/180/5740970647/1","1","",""
"3903240619954005","3903240619954005","2162969742","3903240443915700","1446088545","0","0","0","分享","分享","1346032963","40","9","5","21","140","经济适用宅女","经济适用宅女","群处守住嘴，独处守住心！","f","51","1","","","-1","四川 成都","http://tp3.sinaimg.cn/2162969742/180/40001012878/0","1","",""
"3903240628305429","3903240628305429","2339845303","3903240443915700","1446088547","0","0","0","转发微博","转发微博","1314972779","102","15","1","1571","338","--Euphemia--","--Euphemia--","因为不想这么快就老去，所以，请允许我的孩子气...","f","42","6","","","-1","湖北 襄阳","http://tp4.sinaimg.cn/2339845303/180/22850775227/0","1","",""
"3903240628347840","3903240628347840","2646861055","3903240443915700","1446088547","0","0","0","转发微博","转发微博","1330405036","272","3","154","6795","209","我的恩佐","我的恩佐","世事漫随流水","f","37","2","","","-1","山东 青岛","http://tp4.sinaimg.cn/2646861055/180/5736687974/0","","",""
"3903240636700889","3903240636700889","1096130931","3903240443915700","1446088549","0","0","0","转发微博","转发微博","1312787516","25","4","7","3691","109","yss870","yss870","","m","37","2","","","-1","山东 青岛","http://tp4.sinaimg.cn/1096130931/180/5748361480/1","1","",""
