id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3841780468449121","3841780468449121","1197161814","","1431435303","1760","1507","261","【成年人能从小孩身上学到什么？】美国华裔天才儿童邹奇奇演讲，精彩观点：1）""幼稚""这个词是常常从大人身上看到的，2）孩子的大胆想象拓宽了可能性的疆界，3）孩子喜欢挑战，大人应提供环境，鼓励尝试，但不要太过设限，4）不要让孩子变成你们这样的大人， 而是比你们强的大人。http://t.cn/hRSfE","【成年人能从小孩身上学到什么？】美国华裔天才儿童邹奇奇演讲，精彩观点：1）""幼稚""这个词是常常从大人身上看到的，2）孩子的大胆想象拓宽了可能性的疆界，3）孩子喜欢挑战，大人应提供环境，鼓励尝试，但不要太过设限，4）不要让孩子变成你们这样的大人， 而是比你们强的大人。http://t.cn/hRSfE","1251448546","49969705","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww2.sinaimg.cn/large/475b3d56jw1es1o63xc23j20a10dw75l.jpg",""
"3841780540072136","3841780540072136","3301211394","3841780468449121","1431435320","0","0","0","转发微博","转发微博","1367628006","12","4","1","634","27","飞云瀚海","飞云瀚海","微信号：hmc1314hh","m","33","4","","","-1","浙江 嘉兴","http://tp3.sinaimg.cn/3301211394/180/5725627747/1","1","",""
"3841780585529733","3841780585529733","2169240095","3841780468449121","1431435331","0","0","0","转发微博","转发微博","1307589357","195","15","140","2539","157","sisi2008的世界","sisi2008的世界","","m","31","8","","","-1","上海 闸北区","http://tp4.sinaimg.cn/2169240095/180/22821770555/1","","",""
"3841780590206604","3841780590206604","3493463793","3841780468449121","1431435332","0","0","0","转发微博","转发微博","1371483593","67","63","0","318","488","手机用户3493463793","手机用户3493463793","世界那么大，我想去看看。","f","33","6","","","-1","浙江 绍兴","http://tp2.sinaimg.cn/3493463793/180/5724151566/0","1","",""
"3841780590205331","3841780590205331","2954131474","3841780468449121","1431435332","0","0","0","转发微博","转发微博","1345177142","1","4","6","1503","263","梅山橄榄树","梅山橄榄树","我举目观望群山；我的帮助从哪里来？我的帮助从上主来，他是创造天地的主。","m","33","2","","","-1","浙江 宁波","http://tp3.sinaimg.cn/2954131474/180/40000003250/1","1","",""
"3841780602406606","3841780602406606","2350025891","3841780468449121","1431435335","0","0","0","转发微博","转发微博","1344325107","287","84","229","1826","856","逗比青年爱文艺","逗比青年爱文艺","时常梳理一下自己，我还是太阳","f","12","1","","","-1","天津 和平区","http://tp4.sinaimg.cn/2350025891/180/5688481272/0","1","",""
"3841780627987967","3841780627987967","1656360220","3841780468449121","1431435340","0","0","0","转发微博","转发微博","1268975708","445","73","56","5196","298","阳光灿烂的每一天啊","阳光灿烂的每一天啊","被电商电伤了！！！游走于天堂与地狱之间，属极端开朗、极端沉默的异类！","f","44","1","","","-1","广东 广州","http://tp1.sinaimg.cn/1656360220/180/5731389493/0","1","",""
"3841780648980743","3841780648980743","1726797860","3841780468449121","1431435343","0","0","0","转发微博","转发微博","1270694496","336","78","2813","19671","283","酚烈的狐狸苗","酚烈的狐狸苗","For living a full life.","f","400","18","","","-1","海外 韩国","http://tp1.sinaimg.cn/1726797860/180/5672418968/0","","",""
"3841780645029020","3841780645029020","1927840167","3841780468449121","1431435345","0","0","0","转发微博","转发微博","1295445373","516","68","10","2503","555","北方孤独的蒙古人","北方孤独的蒙古人","","m","400","1","","","-1","海外 美国","http://tp4.sinaimg.cn/1927840167/180/5676852909/1","","",""
"3841780653426263","3841780653426263","1635796711","3841780468449121","1431435347","1","1","0","转发微博","转发微博","1256645845","8086","213","2729","14199","281","松松老爸","松松老爸","广州小学生家长公益群 489409148 初中172635348 高中153678245，入群须注明来历。联系活动敬请发函至501840946@qq.com。私人 微信gzsslbyk","m","44","1","1","广州市重大城建项目公众咨询监督委员、广州市铁一中学德育顾问","0","广东 广州","http://tp4.sinaimg.cn/1635796711/180/40013288849/1","","",""
