id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3911303725202973","3911303725202973","1197161814","","1448010939","1776","2466","396","原来中英文是相通的，来自日本的：""双语同义""字系列和“倒映文字”系列，有意思的创意","原来中英文是相通的，来自日本的：""双语同义""字系列和“倒映文字”系列，有意思的创意","1251448546","49969679","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww2.sinaimg.cn/large/475b3d56jw1ey7k4zrti8j20b73qg7au.jpg",""
"3911303804552449","3911303804552449","1893398112","3911303725202973","1448010957","0","0","0","转发微博","转发微博","1316717354","84","6","7","26841","594","albertnk","albertnk","","m","37","2","","","-1","山东 青岛","http://tp1.sinaimg.cn/1893398112/180/5611684828/1","1","",""
"3911303846425249","3911303846425249","3104047741","3911303725202973","1448010968","0","0","0","转发微博","转发微博","1352642588","26","0","156","227","236","起的名字都说被占用了还怎么玩耍","起的名字都说被占用了还怎么玩耍","外表和内在极端反差","f","11","3","","","-1","北京 崇文区","http://tp2.sinaimg.cn/3104047741/180/5735027655/0","","",""
"3911304018613851","3911304018613851","2796343645","3911303725202973","1448011009","0","0","0","太神奇了！","太神奇了！","1347852320","77","11","3","526","275","duckula1984","duckula1984","","m","37","9","","","-1","山东 泰安","http://tp2.sinaimg.cn/2796343645/180/5642820191/1","1","",""
"3911304031342262","3911304031342262","2305857971","3911303725202973","1448011011","0","0","0","酱紫[bm挖鼻孔]","酱紫[bm挖鼻孔]","1313462726","600","80","562","4914","331","WSDSM","WSDSM","麻辣～芝士～咖喱～甜点～咖啡～奶茶～抹茶～松露……好吃的都爱！","f","11","1","","","-1","北京 东城区","http://tp4.sinaimg.cn/2305857971/180/5748964698/0","1","",""
"3911304110688788","3911304110688788","1766627342","3911303725202973","1448011030","0","0","0","还能更牵强附会些吗","还能更牵强附会些吗","1277485584","78","14","353","682","138","鱼麦麦","鱼麦麦","","f","44","1","","","-1","广东 广州","http://tp3.sinaimg.cn/1766627342/180/5599844073/0","","",""
"3911304118794734","3911304118794734","3909526121","3911303725202973","1448011033","0","0","0","转发微博","转发微博","1384789060","53","19","3","234","166","kagetsu唯爱","kagetsu唯爱","","f","12","4","","","-1","天津 南开区","http://tp2.sinaimg.cn/3909526121/180/5735221367/0","1","",""
"3911304118795179","3911304118795179","2170851102","3911303725202973","1448011033","0","0","0","转发微博","转发微博","1307882353","93","12","3","905","99","陪你--度过漫长岁月","陪你--度过漫长岁月","","m","61","1","","","-1","陕西 西安","http://tp3.sinaimg.cn/2170851102/180/5738600323/1","1","",""
"3911304131561993","3911304131561993","1678189971","3911303725202973","1448011035","0","0","0","有意思。[爱你]","有意思。[爱你]","1262657061","333","14","5","5835","824","R3dSc0rPIo","R3dSc0rPIo","R3dSc0rPIo's CyberSpace!","m","15","6","","","-1","内蒙古 鄂尔多斯","http://tp4.sinaimg.cn/1678189971/180/5717670704/1","","",""
"3911304173653560","3911304173653560","1786889371","3911303725202973","1448011046","0","0","0","转发微博","转发微博","1283072641","170","30","453","301","351","南山以南_北岛以北","南山以南_北岛以北","真性情，不伪装。","f","33","4","","","-1","浙江 嘉兴","http://tp4.sinaimg.cn/1786889371/180/40040530053/0","","",""
"3911304178252742","3911304178252742","2951651562","3911303725202973","1448011047","0","0","0","转发微博","转发微博","1345022874","674","156","12","653","273","核桃设计","核桃设计","核桃设计（heart design） TEL：18229880257 QQ：1172190440 核桃没有华丽的外表，却有充实的大脑。 核桃设计做“干净的时尚设计”","m","43","1","1","长沙核桃广告设计有限公司","2","湖南 长沙","http://tp3.sinaimg.cn/2951651562/180/5718160701/1","1","",""
"3911304182048945","3911304182048945","2048114425","3911303725202973","1448011048","0","0","0","胡搞瞎搞","胡搞瞎搞","1301163301","384","11","151","3355","111","bobofifi2010","bobofifi2010","人多嘴雜；人品待查；人性觀察","f","71","1","","","-1","台湾 台北市","http://tp2.sinaimg.cn/2048114425/180/5734278421/0","1","",""
"3911304186246362","3911304186246362","5104254353","3911303725202973","1448011049","0","0","0","Repost","Repost","1403788629","36","2","13","528","102","ROSEMARY拈花","ROSEMARY拈花","So we beat on, boats against the current, borne back ceaselessly into the past","f","400","16","","","-1","海外 其他","http://tp2.sinaimg.cn/5104254353/180/5743329098/0","1","",""
"3911304198275133","3911304198275133","2580698743","3911303725202973","1448011052","0","0","0","转发微博","转发微博","1326876752","56","12","30","766","183","姜老师在长春","姜老师在长春","","m","100","1000","","","-1","其他","http://tp4.sinaimg.cn/2580698743/180/0/1","1","",""
"3911304203034894","3911304203034894","1788059705","3911303725202973","1448011052","0","1","0","好牛逼","好牛逼","1281027590","1574","325","81","15085","764","瑶大王就是王大瑶","瑶大王就是王大瑶","我知道 认识你的那一天起 世界将会改变 唯一的执念 林俊杰 林俊杰 林俊杰","f","31","1000","","","220","上海","http://tp2.sinaimg.cn/1788059705/180/5747327228/0","1","",""
"3911304257208632","3911304257208632","3441980472","3911303725202973","1448011066","0","0","0","人才！我跪了～磕头中。。。[互相膜拜]","人才！我跪了～磕头中。。。[互相膜拜]","1370406676","145","9","629","5976","136","执剑人---罗辑","执剑人---罗辑","大共王朝合法刁民，资浅装逼犯，坚定的马克馊主义信仰者，大社会主义共荣圈奠基人，此生致力于弘扬共产主义精神病，普京天皇陛下万岁思密达～","m","36","1000","","","-1","江西","http://tp1.sinaimg.cn/3441980472/180/5744709967/1","1","",""
"3911304273997230","3911304273997230","1691735307","3911303725202973","1448011070","0","0","0","有趣[哆啦A梦微笑]","有趣[哆啦A梦微笑]","1300203797","235","86","200","24842","427","AntaresW","AntaresW","種田東山下 悠然賞鈴音","m","44","7","","","220","广东 江门","http://tp4.sinaimg.cn/1691735307/180/5741667454/1","1","",""
"3911304291188341","3911304291188341","2164082845","3911303725202973","1448011074","0","0","0","转发微博","转发微博","1307292985","76","0","21","1943","136","Hermit---xuan","Hermit---xuan","转发只为自己空余时候看看。","m","100","1000","","","-1","其他","http://tp2.sinaimg.cn/2164082845/180/40032071925/1","","",""
"3911304290606789","3911304290606789","2173385160","3911303725202973","1448011074","3","0","0","这个6 实力拆字[doge]","这个6 实力拆字[doge]","1314710488","1257","299","112","1959","566","屠93","屠93","笨拙的少女心","m","42","1","","","-1","湖北 武汉","http://tp1.sinaimg.cn/2173385160/180/5679974165/1","1","",""
"3911304299716371","3911304299716371","5586196241","3911303725202973","1448011076","0","0","0","[最右]","[最右]","1428810072","113","70","24","861","658","4円行长","4円行长","一个爱吃土豆的反派角色","m","400","15","","","-1","海外 日本","http://tp2.sinaimg.cn/5586196241/180/5737723354/1","1","",""
