id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3910131098547785","3910131098547785","1197161814","","1447731363","2058","2064","306","【创业的误区】许多创业者只是想他们的产品功能是否用户需要。但是：顾客要买的其实不是某个产品，而是他们需要运用一个产品来完成某件任务或解决某个问题。有句著名的话：“顾客不是要买钻头，顾客要买的是洞。”产品经理不应只问用户：“我的功能是否满足你？”更要理解：“你的痛处和需求是什么？”","【创业的误区】许多创业者只是想他们的产品功能是否用户需要。但是：顾客要买的其实不是某个产品，而是他们需要运用一个产品来完成某件任务或解决某个问题。有句著名的话：“顾客不是要买钻头，顾客要买的是洞。”产品经理不应只问用户：“我的功能是否满足你？”更要理解：“你的痛处和需求是什么？”","1251448546","49969679","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww2.sinaimg.cn/large/475b3d56jw1ey2pwen8yjj20c60bmmy2.jpg",""
"3910131232209976","3910131232209976","1820608875","3910131098547785","1447731395","0","0","0","【创业的误区】许多创业者只是想他们的产品功能是否用户需要。但是：顾客要买的其实不是某个产品，而是他们需要运用一个产品来完成某件任务或解决某个问题。有句著名的话：“顾客不是要买钻头，顾客要买的是洞。”产品经理不应只问用户：“我的功能是否满足你？”更要理解：“你的痛处和需求是什么？”","【创业的误区】许多创业者只是想他们的产品功能是否用户需要。但是：顾客要买的其实不是某个产品，而是他们需要运用一个产品来完成某件任务或解决某个问题。有句著名的话：“顾客不是要买钻头，顾客要买的是洞。”产品经理不应只问用户：“我的功能是否满足你？”更要理解：“你的痛处和需求是什么？”","1284691822","682","56","2167","5351","1328","狐冰激凌","狐冰激凌","","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/1820608875/180/5689949195/0","1","",""
"3910131261146326","3910131261146326","1720776207","3910131098547785","1447731402","0","0","0","学习了","学习了","1269784004","389","74","25","775","240","跳舞的小黄狗","跳舞的小黄狗","","f","44","3","","","-1","广东 深圳","http://tp4.sinaimg.cn/1720776207/180/40072817022/0","","",""
"3910131266167762","3910131266167762","1674642097","3910131098547785","1447731403","0","0","0","转发微博","转发微博","1261748260","487","26","4314","5017","589","Twinkle73","Twinkle73","如果你学不会那些人际关系，你起码应该学会多倾听和少说话~","f","21","1000","","","-1","辽宁","http://tp2.sinaimg.cn/1674642097/180/22875510783/0","1","",""
"3910131274562194","3910131274562194","1779334627","3910131098547785","1447731405","0","0","0","转发微博","转发微博","1279547485","41","10","706","19133","276","伱喵龘","伱喵龘","","m","400","16","","","220","海外 其他","http://tp4.sinaimg.cn/1779334627/180/5728880502/1","1","",""
"3910131291195343","3910131291195343","1847286043","3910131098547785","1447731409","0","0","0","转发微博","转发微博","1288861734","1474","61","611","207","274","翻滚吧阿星丶","翻滚吧阿星丶","人生就像一场旅行 在乎的是沿途的风景 以及看风景的心情","m","100","1000","","","220","其他","http://tp4.sinaimg.cn/1847286043/180/5670203186/1","1","",""
"3910131353494293","3910131353494293","3441283134","3910131098547785","1447731424","0","0","0","转发微博","转发微博","1368086838","1741","221","4","2706","329","校园姐姐","校园姐姐","云南农业大学","f","53","1000","1","云南农业大学  学生工作处处长","0","云南","http://tp3.sinaimg.cn/3441283134/180/5710594130/0","1","",""
"3910131378680643","3910131378680643","3165751280","3910131098547785","1447731430","0","0","0","@张敏6017 ","@张敏6017 ","1360581657","44","12","27","504","399","陈佳伟JChen","陈佳伟JChen","","m","32","1000","","","-1","江苏","http://tp1.sinaimg.cn/3165751280/180/5690591462/1","1","",""
"3910131382877454","3910131382877454","2110835334","3910131098547785","1447731431","0","0","0","转发微博","转发微博","1303549777","251","7","43","6555","244","辉煌音符","辉煌音符","","m","32","1000","","","-1","江苏","http://tp3.sinaimg.cn/2110835334/180/5734771225/1","1","",""
"3910131395860062","3910131395860062","5055241397","3910131098547785","1447731434","0","0","0","转发微博","转发微博","1393772175","22","0","1007","226","271","梅里雪山的爱恋","梅里雪山的爱恋","世界以痛吻我，我当回报以歌。","m","61","1","","","-1","陕西 西安","http://tp2.sinaimg.cn/5055241397/180/5742549095/1","","",""
