id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3847397706686355","3847397706686355","1197161814","","1432774557","2801","1703","352","优酷土豆采访：讨论未来五年创业机会和爆发点：http://t.cn/R2Vz1NZ","优酷土豆采访：讨论未来五年创业机会和爆发点：http://t.cn/R2Vz1NZ","1251448546","49969713","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","",""
"3847397769430160","3847397769430160","2010600162","3847397706686355","1432774571","0","0","0","转发微博","转发微博","1300164690","221","94","10","532","211","哦哈晤囍ps每天要做仰卧起坐","哦哈晤囍ps每天要做仰卧起坐","有毛好介绍的","m","32","2","","","220","江苏 无锡","http://tp3.sinaimg.cn/2010600162/180/40015463549/1","1","",""
"3847397766048324","3847397766048324","2419203963","3847397706686355","1432774571","0","0","0","转发微博","转发微博","1319028621","84","63","27","227","258","风华之谜","风华之谜","","m","50","82","","","-1","重庆 合川区","http://tp4.sinaimg.cn/2419203963/180/5717035000/1","1","",""
"3847397782195021","3847397782195021","1242296843","3847397706686355","1432774575","0","0","0","转发微博","转发微博","1251448452","18236","389","1417","21209","732","祥子","祥子","负责微博明星业务","m","11","8","1","移动互联网产品","0","北京 海淀区","http://tp4.sinaimg.cn/1242296843/180/5621214507/1","","",""
"3847397798974962","3847397798974962","2200987393","3847397706686355","1432774579","0","0","0","Repost","Repost","1309084438","31","24","54","1461","234","崔吉庚","崔吉庚","子曰：中午不睡觉，下午崩溃。","m","11","5","","","-1","北京 朝阳区","http://tp2.sinaimg.cn/2200987393/180/5649902305/1","","",""
"3847397803560877","3847397803560877","1986984503","3847397706686355","1432774580","0","0","0","转发微博","转发微博","1298470050","334","104","18","1295","197","王子变小平","王子变小平","有些事情，简单点好....","m","44","1","","","-1","广东 广州","http://tp4.sinaimg.cn/1986984503/180/5680148989/1","1","",""
"3847397816155061","3847397816155061","3029709014","3847397706686355","1432774583","0","0","0","转发微博","转发微博","1355742493","21","1","4","73","138","刘柯维","刘柯维","","m","100","1000","","","-1","其他","http://tp3.sinaimg.cn/3029709014/180/5717746375/1","1","",""
"3847397828159603","3847397828159603","2323009355","3847397706686355","1432774586","0","0","0","转发微博","转发微博","1314257351","41","2","7","433","324","威海YAN","威海YAN","新鲜人儿，新鲜事儿","m","37","2","","","-1","山东 青岛","http://tp4.sinaimg.cn/2323009355/180/5609225047/1","1","",""
"3847397832942742","3847397832942742","1234370304","3847397706686355","1432774587","0","1","0","好东西要分享","好东西要分享","1274926981","551","216","1","1176","360","HENRY池","HENRY池","北京浩然五洲软件技术有限公司首席执行官","m","11","5","1","北京浩然五洲软件技术有限公司首席执行官","0","北京 朝阳区","http://tp1.sinaimg.cn/1234370304/180/5697385832/1","1","",""
"3847397870718496","3847397870718496","1645601961","3847397706686355","1432774595","0","0","0","mark视频 lkf","mark视频 lkf","1255137190","92","2","4","6225","22","琴音","琴音","有责任，有童心。","f","11","1000","","","-1","北京","http://tp2.sinaimg.cn/1645601961/180/1255260066/0","","",""
