id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3931774641541331","3931774641541331","1402400261","","1452891586","120","6","0","【(Quora)Session with Yoshua Bengio】""Session with Yoshua Bengio"" http://t.cn/R4lBZYF","【(Quora)Session with Yoshua Bengio】""Session with Yoshua Bengio"" http://t.cn/R4lBZYF","1264809994","26329","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","http://ww4.sinaimg.cn/large/5396ee05gw1f00v6v4a31j205k05kwel.jpg",""
"3931797957735948","3931797957735948","1402400261","3931774641541331","1452897144","8","4","0","《Announcing the Machine Learning Quora Sessions - Quora》 http://t.cn/R4lrYsA","《Announcing the Machine Learning Quora Sessions - Quora》 http://t.cn/R4lrYsA","1264809994","26329","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3931798561857748","3931798561857748","2287952254","3931797957735948","1452897289","0","0","0","","//@爱可可-爱生活:《Announcing the Machine Learning Quora Sessions - Quora》 http://t.cn/R4lrYsA","1318825080","5","3","114","4639","149","海_大_星","海_大_星","","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/2287952254/180/5696636287/1","","",""
"3931817347946575","3931817347946575","1646706835","3931797957735948","1452901767","0","0","0","","//@爱可可-爱生活: 《Announcing the Machine Learning Quora Sessions - Quora》  http://t.cn/R4lrYsA","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3931817511595781","3931817511595781","1646706835","3931774641541331","1452901806","2","0","0","转发微博","转发微博","1252729615","3524","304","734","52563","1377","hbyido","hbyido","记录时代","m","33","1","","","-1","浙江 杭州","http://tp4.sinaimg.cn/1646706835/180/40090027455/1","","",""
"3931820858744004","3931820858744004","3209669611","3931817511595781","1452902605","1","0","0","","//@hbyido: 转发微博","1357026894","6561","388","352","19468","959","LR机器学习计算机视觉","LR机器学习计算机视觉","北京工业大学软件学院讲师李蓉，专注计算机视觉和机器学习","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3209669611/180/5675509658/0","1","",""
"3931833072668738","3931833072668738","3735078562","3931797957735948","1452905517","0","0","0","","//@爱可可-爱生活:《Announcing the Machine Learning Quora Sessions - Quora》 http://t.cn/R4lrYsA","1377128895","55","4","2","9371","163","行者行殇","行者行殇","","m","43","1","","","-1","湖南 长沙","http://tp3.sinaimg.cn/3735078562/180/5672096727/1","1","",""
"3931835581012101","3931835581012101","1953075583","3931797957735948","1452906115","0","0","0","","//@爱可可-爱生活:《Announcing the Machine Learning Quora Sessions - Quora》 http://t.cn/R4lrYsA","1296949998","388","155","69","5755","857","zhou_phd","zhou_phd","【偶尔烦了文艺病的phd】 【2014 MSP Summit member】","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1953075583/180/5705207069/1","1","",""
"3931916614853022","3931916614853022","1908599781","3931820858744004","1452925434","0","0","0","","//@LR机器学习计算机视觉://@hbyido: 转发微博","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3931917101269960","3931917101269960","1908599781","3931797957735948","1452925551","0","0","0","","//@爱可可-爱生活:《Announcing the Machine Learning Quora Sessions - Quora》 http://t.cn/R4lrYsA","1293855365","584","34","13","28727","285","Noodles-Xu","Noodles-Xu","成功才快乐","m","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1908599781/180/1298424803/1","1","",""
"3933287669929595","3933287669929595","1402400261","3931774641541331","1453252320","10","2","1","时辰已到，速速围观~","时辰已到，速速围观~","1264809994","26329","635","1414","11398","1256","爱可可-爱生活","爱可可-爱生活","北邮网络搜索中心老师","m","11","5","1","微博知名互联网帐号 微博签约自媒体","0","北京 朝阳区","http://tp2.sinaimg.cn/1402400261/180/5713579194/1","","",""
"3933288055629386","3933288055629386","5648620342","3933287669929595","1453252412","0","0","1","","//@爱可可-爱生活:时辰已到，速速围观~","1436316687","479","25","0","149","204","闫安Jon","闫安Jon","机器学习","m","81","14","","","-1","香港 西贡区","http://tp3.sinaimg.cn/5648620342/180/5731472374/1","1","",""
"3933288290586445","3933288290586445","5161754670","3933287669929595","1453252468","0","0","0","","//@爱可可-爱生活:时辰已到，速速围观~","1401597821","11","3","6","1752","162","穿山岩羊","穿山岩羊","什么都不懂","m","11","8","","","-1","北京 海淀区","http://tp3.sinaimg.cn/5161754670/180/5749091867/1","","",""
