id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3865339920248084","3865339920248084","1197161814","","1437052314","5130","4133","722","【用11个量化目标引导健康生活】在职场管理上，最有效的法则就是量化目标。生病后，为了鼓励自己有更健康的生活，我也给自己列了下面的11个可以量化的目标，分享给大家。对照这个表格，每晚尝试给自己打一下分，每项1分，满分11分，争取每天至少打到10分，这样就可简单地监督自己，活得更健康！","【用11个量化目标引导健康生活】在职场管理上，最有效的法则就是量化目标。生病后，为了鼓励自己有更健康的生活，我也给自己列了下面的11个可以量化的目标，分享给大家。对照这个表格，每晚尝试给自己打一下分，每项1分，满分11分，争取每天至少打到10分，这样就可简单地监督自己，活得更健康！","1251448546","49969684","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww1.sinaimg.cn/large/475b3d56jw1eu4x9lxy2ij20c81sdgrs.jpg",""
"3865340004262657","3865340004262657","1225216015","3865339920248084","1437052334","0","0","0","转发微博","转发微博","1279615441","760","116","1021","2135","1300","Susan璟","Susan璟","","f","32","11","","","220","江苏 镇江","http://tp4.sinaimg.cn/1225216015/180/5738854945/0","1","",""
"3865340029553000","3865340029553000","1686412884","3865339920248084","1437052340","1","0","1","经验之谈。","经验之谈。","1264434617","57652","1101","19400","6680","3187","社区工作者刘硕","社区工作者刘硕","1976.10.6 将江青，张春桥、姚文元，王洪文实行隔离审查。","m","11","7","1","北京市石景山区八角街道地铁家园社区居委会 委员","0","北京 石景山区","http://tp1.sinaimg.cn/1686412884/180/5733709387/1","1","",""
"3865340079955027","3865340079955027","2722465484","3865339920248084","1437052352","0","0","0","学","学","1331001315","872","435","208","18106","568","flb财广进","flb财广进","业精于勤荒于嬉，行成于思毁于随。","m","31","15","","","220","上海 浦东新区","http://tp1.sinaimg.cn/2722465484/180/40050358924/1","1","",""
"3865340092202955","3865340092202955","1822556631","3865339920248084","1437052355","0","0","0","转发微博","转发微博","1285426368","543","88","579","3565","239","筱娜筱娜","筱娜筱娜","喜欢唱歌，喜欢看书，喜欢看电影，喜欢聊八卦，喜欢喝茶，喜欢跑步，喜欢到处走走看看，喜欢写东西，喜欢任何一切我喜欢的东西","f","45","7","","","-1","广西 钦州","http://tp4.sinaimg.cn/1822556631/180/5630339114/0","1","",""
"3865340100056354","3865340100056354","2619295455","3865339920248084","1437052357","0","1","0","转发微博","转发微博","1329380510","288","133","4","1100","262","筑梦工程师赵国华","筑梦工程师赵国华","做最好的自己，让世界因我而不同！","m","53","1","1","云南创谷有限公司CEO","0","云南 昆明","http://tp4.sinaimg.cn/2619295455/180/40000316124/1","1","",""
"3865340138401447","3865340138401447","3224556110","3865339920248084","1437052366","0","0","0","转发微博","转发微博","1363181739","5","0","18","3433","324","打怪小斗士2","打怪小斗士2","","f","31","1000","","","-1","上海","http://tp3.sinaimg.cn/3224556110/180/5737727189/0","1","",""
"3865340172083885","3865340172083885","2538657203","3865339920248084","1437052373","0","0","0","转发微博","转发微博","1324195902","213","52","71","2757","255","-VVVVVVVViki","-VVVVVVVViki","","f","42","1","","","-1","湖北 武汉","http://tp4.sinaimg.cn/2538657203/180/5683040201/0","1","",""
"3865340201119809","3865340201119809","2380471201","3865339920248084","1437052380","0","0","0","转发微博","转发微博","1317044425","1080","28","75","20791","1795","一只优雅的刺猬本尊","一只优雅的刺猬本尊","多希望你能看到现在的我，风霜还不曾来侵蚀，秋雨也未低落，青涩的季节又已离我远去，我已亭亭，不忧，也不惧","f","31","1000","","","-1","上海","http://tp2.sinaimg.cn/2380471201/180/5741783598/0","","",""
"3865340230095483","3865340230095483","1230194551","3865339920248084","1437052388","0","0","0","我还差很多，要努力向横健康的生活前进。","我还差很多，要努力向横健康的生活前进。","1256396747","1272","573","1219","6317","2870","北京小小悟空","北京小小悟空","做最出色的自己。","m","11","14","","","220","北京 昌平区","http://tp4.sinaimg.cn/1230194551/180/5706700171/1","1","",""
