id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3924008254587686","3924008254587686","1197161814","","1451039934","10116","7513","1048","一个人通常只能说出心中所想的80%，但对方听到的最多只能是60%，听懂的却只有40%，结果执行时就只有20%了。你心中的想法也许很完美，但下属执行起来却差之千里，这是由＂沟通的漏斗＂造成的，因此必须采取适当的方法，去克服这一＂漏斗＂现象。（转自网络）","一个人通常只能说出心中所想的80%，但对方听到的最多只能是60%，听懂的却只有40%，结果执行时就只有20%了。你心中的想法也许很完美，但下属执行起来却差之千里，这是由＂沟通的漏斗＂造成的，因此必须采取适当的方法，去克服这一＂漏斗＂现象。（转自网络）","1251448546","49969694","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww1.sinaimg.cn/large/475b3d56jw1ezc38a2q4aj20c80e6jrv.jpg",""
"3924008334349729","3924008334349729","2014443321","3924008254587686","1451039954","0","0","0","转发微博","转发微博","1305692209","62","10","2","66","123","杨洋kp","杨洋kp","","m","61","4","","","-1","陕西 咸阳","http://tp2.sinaimg.cn/2014443321/180/5708835898/1","1","",""
"3924008342614979","3924008342614979","1662470092","3924008254587686","1451039956","0","0","0","管理沟通","管理沟通","1258766867","184","7","558","3210","175","chivas兄弟","chivas兄弟","想和你一起吹吹风","m","37","1","","","-1","山东 济南","http://tp1.sinaimg.cn/1662470092/180/5719871494/1","","",""
"3924008346939182","3924008346939182","2088065117","3924008254587686","1451039956","0","0","0","转发微博","转发微博","1302839049","81","21","42","257","85","小人物的生活zoj","小人物的生活zoj","哎呦呦","m","61","4","","","-1","陕西 咸阳","http://tp2.sinaimg.cn/2088065117/180/5727778427/1","","",""
"3924008367927848","3924008367927848","2315833184","3924008254587686","1451039962","0","0","0","转发微博","转发微博","1319106291","20","6","1432","1310","209","GodBridge","GodBridge","","m","11","1000","","","-1","北京","http://tp1.sinaimg.cn/2315833184/180/5706185240/1","1","",""
"3924008389116226","3924008389116226","1948587922","3924008254587686","1451039966","0","0","0","转发微博","转发微博","1305817528","50","10","11","1915","265","活力stefanie","活力stefanie","","f","41","1","","","-1","河南 郑州","http://tp3.sinaimg.cn/1948587922/180/5635288780/0","1","",""
"3924008384592530","3924008384592530","1677430104","3924008254587686","1451039966","0","0","0","转发微博","转发微博","1262411368","352","30","4","15128","539","小晨maria女王大人","小晨maria女王大人","落尽樱红君不见，轻绘梨花泪满衣","f","32","2","","","-1","江苏 无锡","http://tp1.sinaimg.cn/1677430104/180/40042029852/0","1","",""
"3924008385311319","3924008385311319","3030970391","3924008254587686","1451039966","0","0","0","转发微博","转发微博","1349759978","210","0","4","2008","71","mom亲亲","mom亲亲","mom 卵巢癌或腹膜癌，高级别浆液性腺癌，2012年9月行子宫+双附件+大网膜切除+腹盆腔肿瘤细胞减灭+左侧府外斜肌腱膜肿物切除术，化疗七次。现吃中药。","f","37","13","","","-1","山东 临沂","http://tp4.sinaimg.cn/3030970391/180/0/0","1","",""
"3924008393704729","3924008393704729","2767400315","3924008254587686","1451039968","0","0","0","转发微博","转发微博","1340700958","128","52","4","942","178","小米粒mili22","小米粒mili22","","f","31","1000","","","-1","上海","http://tp4.sinaimg.cn/2767400315/180/5747466787/0","1","",""
"3924008406296991","3924008406296991","1915906137","3924008254587686","1451039971","0","0","0","转发微博","转发微博","1294543817","98","19","43","1096","223","嘻嘻啦啦我啦","嘻嘻啦啦我啦","想去有海的城市过着一个人的生活","f","33","5","","","-1","浙江 湖州","http://tp2.sinaimg.cn/1915906137/180/5720750003/0","1","",""
"3924008405320377","3924008405320377","1963454262","3924008254587686","1451039971","0","0","0","转发微博","转发微博","1298716598","72","4","111","8392","583","已经睡着了别弄醒我","已经睡着了别弄醒我","网上99.99%都是不错的故事，看看，当真了就是傻了。","m","100","1000","","","-1","其他","http://tp3.sinaimg.cn/1963454262/180/5735210438/1","","",""
"3924008422498206","3924008422498206","3285023085","3924008254587686","1451039974","0","0","0","转发微博","转发微博","1361073283","62","3","15","2669","671","郭媛的围脖","郭媛的围脖","我就是我，是颜色不一样的烟火。","f","21","8","","","-1","辽宁 营口","http://tp2.sinaimg.cn/3285023085/180/5734957018/0","1","",""
"3924008418888470","3924008418888470","1784619662","3924008254587686","1451039974","0","0","0","转发微博","转发微博","1280735169","93","3","230","2364","357","我的奋斗岁月","我的奋斗岁月","赶赶时尚，还是落伍，要真实，不算落后，厚积薄发才是真！","m","41","1","","","-1","河南 郑州","http://tp3.sinaimg.cn/1784619662/180/5739839119/1","","",""
"3924008427282550","3924008427282550","1916885484","3924008254587686","1451039976","0","0","0","转发微博","转发微博","1294628560","49","1","4","926","133","杨道林微博","杨道林微博","","m","34","12","","","-1","安徽 阜阳","http://tp1.sinaimg.cn/1916885484/180/0/1","1","",""
"3924008426697703","3924008426697703","1773283431","3924008254587686","1451039976","0","0","0","深深地有体会啊！ 😂 😂 😂 😂","深深地有体会啊！ 😂 😂 😂 😂","1289125643","297","35","57","648","576","自由自在的我--CJ","自由自在的我--CJ","想说的太多却没说，攒着是因为想写成歌，让人轻轻哼着……","m","62","5","","","-1","甘肃 天水","http://tp4.sinaimg.cn/1773283431/180/40054341251/1","1","",""
"3924008435677953","3924008435677953","2954317070","3924008254587686","1451039978","0","0","0","转发微博","转发微博","1345188042","22","4","0","63","157","yang__youya","yang__youya","","f","32","5","","","-1","江苏 苏州","http://tp3.sinaimg.cn/2954317070/180/0/0","1","",""
"3924008439291139","3924008439291139","1075034052","3924008254587686","1451039979","0","0","0","转发微博","转发微博","1355540472","46","3","4","912","435","翱翔的鹰o","翱翔的鹰o","自由自在，翱翔蓝天","m","37","2","","","-1","山东 青岛","http://tp1.sinaimg.cn/1075034052/180/5667803188/1","1","",""
"3924008439291051","3924008439291051","2234881801","3924008254587686","1451039979","0","0","0","转发微博","转发微博","1310107731","330","132","407","2091","253","lunzaihelen","lunzaihelen","","f","11","1000","","","-1","北京","http://tp2.sinaimg.cn/2234881801/180/5641391107/0","1","",""
"3924008447684832","3924008447684832","1152162540","3924008254587686","1451039980","0","0","0","转发微博","转发微博","1266761538","179","24","1780","4906","397","紫色的枫色","紫色的枫色","不求赞叹，不惧讥毁，不求荣耀，不惧卑微。","f","11","28","","","-1","北京 密云县","http://tp1.sinaimg.cn/1152162540/180/22871162658/0","1","",""
"3924008455693834","3924008455693834","5629693172","3924008254587686","1451039983","0","0","0","转发微博","转发微博","1434199602","5","0","3","232","45","人生若只如初见37456","人生若只如初见37456","学生","m","11","5","","","-1","北京 朝阳区","http://tp1.sinaimg.cn/5629693172/180/5738382566/1","1","",""
"3924008459891757","3924008459891757","1872030543","3924008254587686","1451039984","0","0","0","转发微博","转发微博","1290527919","134","8","232","1898","255","Ggyygz","Ggyygz","人家有的我有，人家没有的我也有。哈哈哈！","m","100","1000","","","-1","其他","http://tp4.sinaimg.cn/1872030543/180/5662799258/1","1","",""
"3924008464477277","3924008464477277","1661929264","3924008254587686","1451039985","0","0","0","李老师，请问怎么克服？","李老师，请问怎么克服？","1258553486","2109","73","3","1707","178","-姚正平-","-姚正平-","传播原创商业智慧助力企业转型升级•品牌•营销•战略•商业模式","m","11","1","","","220","北京 东城区","http://tp1.sinaimg.cn/1661929264/180/5679422240/1","1","",""
"3924008468673705","3924008468673705","2244764577","3924008254587686","1451039986","0","0","0","转发微博","转发微博","1310548900","124","32","75","1773","207","造格","造格","愿神同在！","m","35","3","","","-1","福建 莆田","http://tp2.sinaimg.cn/2244764577/180/5646702422/1","1","",""
"3924008468672948","3924008468672948","2883981953","3924008254587686","1451039986","0","0","0","转发微博","转发微博","1342165103","569","422","8","412","3020","新农姐15929393396","新农姐15929393396","定边丰硕现代农业综合发展理事长。服务三农。种植经营土豆、西瓜、红葱、农资等。欢迎各地商家前来合作。电话：15929393396   13891253361","f","61","1000","","","-1","陕西","http://tp2.sinaimg.cn/2883981953/180/5747107025/0","1","",""
"3924008481848113","3924008481848113","1408233313","3924008254587686","1451039989","0","0","0","转发微博","转发微博","1271640601","120","16","103","5576","581","凝凝爸008","凝凝爸008","期货业软件设计师","m","41","1","","","-1","河南 郑州","http://tp2.sinaimg.cn/1408233313/180/5724473448/1","1","",""
"3924008485080174","3924008485080174","2255810977","3924008254587686","1451039990","1","2","1","转发微博","转发微博","1311004149","8829","531","39","8381","983","翼龙贷王思聪","翼龙贷王思聪","点点鼠标、网上借贷、金融创新、投资理财：www.eloancn.com；免费创业服务、提供创业信贷。","m","11","1000","1","温州翼龙贷经济信息咨询有限公司 翼龙贷网CEO","0","北京","http://tp2.sinaimg.cn/2255810977/180/5629708792/1","1","",""
"3924008485465701","3924008485465701","1665992301","3924008254587686","1451039990","1","2","0","转发微博","转发微博","1264416624","4962","138","866","7537","249","林士俊","林士俊","MPA教育中心；政治与公共管理学院","m","37","11","1","曲阜师范大学教师  林士俊","0","山东 日照","http://tp2.sinaimg.cn/1665992301/180/22845615260/1","1","",""
"3924008485081716","3924008485081716","2394189127","3924008254587686","1451039990","0","0","0","转发微博","转发微博","1317563867","557","230","281","2132","295","gjh1","gjh1","“忘记背后，努力向前，向着标杆直跑”","m","44","1","","","220","广东 广州","http://tp4.sinaimg.cn/2394189127/180/5721663131/1","1","",""
"3924008485660638","3924008485660638","2933942537","3924008254587686","1451039990","0","0","0","转发微博","转发微博","1377758783","61","4","233","314","139","一抹抹残忆","一抹抹残忆","遇见是种缘分，感谢生命中的每个人","f","32","1000","","","-1","江苏","http://tp2.sinaimg.cn/2933942537/180/5744379232/0","1","",""
"3924008489665076","3924008489665076","1851022333","3924008254587686","1451039991","0","0","0","转发微博","转发微博","1289133156","30","2","1","475","78","LXX_FREEDOM","LXX_FREEDOM","人如其名！！！！！！","m","32","1","","","-1","江苏 南京","http://tp2.sinaimg.cn/1851022333/180/1289134795/1","1","",""
"3924008489278188","3924008489278188","1339793694","3924008254587686","1451039991","0","0","0","转发微博","转发微博","1292052378","362","0","38","6188","289","x感觉美","x感觉美","做一个光明且干净的人。","f","14","1","","","-1","山西 太原","http://tp3.sinaimg.cn/1339793694/180/1294806190/0","1","",""
"3924008502449256","3924008502449256","2815538614","3924008254587686","1451039993","0","0","0","转发微博","转发微博","1338202633","97","19","190","457","351","莲蓬蓬aiw","莲蓬蓬aiw","","f","41","1","","","-1","河南 郑州","http://tp3.sinaimg.cn/2815538614/180/5707904754/0","1","",""
"3924008498375215","3924008498375215","2362207655","3924008254587686","1451039993","0","0","0","转发微博","转发微博","1316160673","64","6","1","188","84","乾汨琼妃","乾汨琼妃","","f","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/2362207655/180/40039462259/0","1","",""
"3924008518667142","3924008518667142","3164566234","3924008254587686","1451039998","0","0","0","转发微博","转发微博","1359001420","64","3","8","1068","57","一夜风流当了爸","一夜风流当了爸","叔叔去年给我买了一块表！","m","50","1000","","","-1","重庆","http://tp3.sinaimg.cn/3164566234/180/5677305405/1","1","",""
