id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3896715465324735","3896715465324735","1197161814","","1444532827","743","1222","291","美国抢匪洗劫商店后，用手机召Uber逃脱。结果被警察追随逮捕。Uber司机配合警察，被判无罪，不过不知抢匪是否会给司机一颗星？[偷笑] 英文原文：http://t.cn/RyEWPmd","美国抢匪洗劫商店后，用手机召Uber逃脱。结果被警察追随逮捕。Uber司机配合警察，被判无罪，不过不知抢匪是否会给司机一颗星？[偷笑] 英文原文：http://t.cn/RyEWPmd","1251448546","49969681","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww3.sinaimg.cn/large/475b3d56jw1ewx0i4z33dj20v90r5tc6.jpg",""
"3896715541420622","3896715541420622","3210179167","3896715465324735","1444532845","0","0","0","转发微博","转发微博","1356958103","34","2","8","3922","412","半杯水三句话","半杯水三句话","我会转发一些有趣的微博，喜欢就关注我吧","m","45","5","","","-1","广西 北海","http://tp4.sinaimg.cn/3210179167/180/5739070861/1","1","",""
"3896715582850052","3896715582850052","2881174932","3896715465324735","1444532855","0","0","0","转发微博","转发微博","1343287723","43","4","109","535","55","冷宫吗","冷宫吗","心之所向，身之所致","m","44","3","","","-1","广东 深圳","http://tp1.sinaimg.cn/2881174932/180/5733752871/1","1","",""
"3896715633917275","3896715633917275","1131075843","3896715465324735","1444532867","0","0","0","必须一颗星！","必须一颗星！","1314523882","152","140","2","1959","188","热虽Jaychou","热虽Jaychou","不吃可吃知不可吃不吃可吃知不可吃可不吃不吃不吃克制不吃吐司不吃知不可","m","31","15","","","220","上海 浦东新区","http://tp4.sinaimg.cn/1131075843/180/5743905169/1","1","",""
"3896715683762109","3896715683762109","1661499841","3896715465324735","1444532879","0","0","0","转发微博","转发微博","1258425021","788","202","1035","5647","491","程箫吟","程箫吟","熄不灭的熊熊八卦心","m","32","1","","","220","江苏 南京","http://tp2.sinaimg.cn/1661499841/180/22837941970/1","1","",""
"3896715755117485","3896715755117485","1813611782","3896715465324735","1444532896","0","0","0","转发微博","转发微博","1284381007","2063","968","108","3057","1265","被熏的泥鳅","被熏的泥鳅","传播正能量！","m","11","11","","","-1","北京 房山区","http://tp3.sinaimg.cn/1813611782/180/5739502383/1","1","",""
"3896715818315651","3896715818315651","1937268277","3896715465324735","1444532911","0","0","0","[doge]","[doge]","1296126249","79","25","38","245","153","小小西wanzi","小小西wanzi","","f","31","15","","","-1","上海 浦东新区","http://tp2.sinaimg.cn/1937268277/180/5717760240/0","1","",""
"3896715847694384","3896715847694384","2030482657","3896715465324735","1444532918","0","0","0","智商感人","智商感人","1314027459","322","103","770","7969","344","_小空","_小空","求黑长直萌妹纸一枚...","m","44","1","","","-1","广东 广州","http://tp2.sinaimg.cn/2030482657/180/5693214688/1","1","",""
"3896715880772321","3896715880772321","2668150647","3896715465324735","1444532926","0","0","0","好评啊亲","好评啊亲","1332141474","215","42","18","5110","416","民主劣绅","民主劣绅","我爱我的国家，为我们中华儿女自由、民主的生活而一同努力，每一个青年都应肩负这个责任。      摇青簇碧兴，浸露沐香盈。花笺心语静，蚁字盼君听。","m","37","2","","","200","山东 青岛","http://tp4.sinaimg.cn/2668150647/180/5659318433/1","1","",""
"3896715935683070","3896715935683070","1865275530","3896715465324735","1444532939","0","0","0","这广告我给满分","这广告我给满分","1288510118","8717","182","245","1256","254","HeyApple康康","HeyApple康康","恨自己明明可以靠脸吃饭，却非要靠才华。","m","100","1000","","","220","其他","http://tp3.sinaimg.cn/1865275530/180/40010465300/1","1","",""
"3896715977132805","3896715977132805","1932960133","3896715465324735","1444532948","0","0","0","😂😂😂","😂😂😂","1295851618","235","105","13","533","323","小忙女孩向前冲","小忙女孩向前冲","","f","400","11","","","220","海外 新加坡","http://tp2.sinaimg.cn/1932960133/180/5743683874/0","1","",""
"3896715986183280","3896715986183280","2472653431","3896715465324735","1444532950","0","0","0","转发微博","转发微博","1325174442","181","7","130","5023","831","飞天猫翼","飞天猫翼","我心永恒 *13236260838","f","32","8","","","-1","江苏 淮安","http://tp4.sinaimg.cn/2472653431/180/5620143407/0","1","",""
"3896716023475367","3896716023475367","2857054870","3896715465324735","1444532959","0","0","0","[哈哈]","[哈哈]","1341134382","223","45","20","1300","399","梦想家西小瓜","梦想家西小瓜","身在路上  心在游荡","f","32","1","","","-1","江苏 南京","http://tp3.sinaimg.cn/2857054870/180/5740055978/0","1","",""
"3896716078039480","3896716078039480","2305338047","3896715465324735","1444532972","0","0","0","@独孤淼淼diana","@独孤淼淼diana","1313463357","191","101","60","757","861","Dodi鑫","Dodi鑫","有远大的梦想 并努力的实现","m","23","1","","","220","黑龙江 哈尔滨","http://tp4.sinaimg.cn/2305338047/180/5725018427/1","","",""
"3896716120476166","3896716120476166","1860418240","3896715465324735","1444532983","0","0","0","五星好评","五星好评","1287780669","1093","22","35","27174","222","阳光SunnyYoung","阳光SunnyYoung","骄阳似我","m","32","8","","","200","江苏 淮安","http://tp1.sinaimg.cn/1860418240/180/5661989449/1","1","",""
