id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3824753523275296","3824753523275296","1197161814","","1427375763","6889","9032","1197","当我们离开这世界的时候，最大的遗憾是我们没有做什么，而不是做了什么。所以，我们应该怎么活著呢？（我女儿特别喜欢的一句话）","当我们离开这世界的时候，最大的遗憾是我们没有做什么，而不是做了什么。所以，我们应该怎么活著呢？（我女儿特别喜欢的一句话）","1251448546","49969695","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww3.sinaimg.cn/large/475b3d56jw1eqjcwcmmk8j20go0gowf8.jpg",""
"3824753590835096","3824753590835096","1707757194","3824753523275296","1427375779","0","0","0","转发微博","转发微博","1268135450","209","103","26","772","201","閉上眼來看世界","閉上眼來看世界","一辈子和你在一起 才叫将来，换了别人 那叫将就","m","11","1000","","","220","北京","http://tp3.sinaimg.cn/1707757194/180/5740411080/1","1","",""
"3824753632830056","3824753632830056","1787044943","3824753523275296","1427375789","0","0","0","转发微博","转发微博","1280922780","1416","530","17","6811","993","呆子的猪","呆子的猪","加油，相信自己，一定行！！！","f","61","1","","","220","陕西 西安","http://tp4.sinaimg.cn/1787044943/180/5678773591/0","","",""
"3824753645550501","3824753645550501","1317662167","3824753523275296","1427375792","0","0","0","转发微博","转发微博","1301630016","3188","1695","2212","27609","1898","相见之前","相见之前","与梦想处在相见之前阶段","f","23","6","1","钻井工程师","0","黑龙江 大庆","http://tp4.sinaimg.cn/1317662167/180/5716031283/0","1","",""
"3824753645008165","3824753645008165","2976365005","3824753523275296","1427375792","0","0","0","转发微博","转发微博","1349342003","337","83","130","5200","233","W小逗比要当研究生","W小逗比要当研究生","Happy ending～","f","43","1","","","-1","湖南 长沙","http://tp2.sinaimg.cn/2976365005/180/5746943631/0","1","",""
"3824753666545905","3824753666545905","2376289092","3824753523275296","1427375797","0","0","0","转发微博","转发微博","1315323910","658","55","177","3778","298","维多利亚的喵","维多利亚的喵","安","f","53","1000","","","-1","云南","http://tp1.sinaimg.cn/2376289092/180/5730549575/0","","",""
"3824753674561339","3824753674561339","1047360021","3824753523275296","1427375799","0","0","0","转发微博","转发微博","1269055729","432","1","28","19604","81","贫雪的灵魂","贫雪的灵魂","淡泊名利，读书耕田，寄情山水，诗酒田园。","m","22","1","","","-1","吉林 长春","http://tp2.sinaimg.cn/1047360021/180/5723201265/1","1","",""
"3824753674561181","3824753674561181","2082911961","3824753523275296","1427375799","0","0","0","[偷笑]","[偷笑]","1308444228","79","9","305","873","347","面朝大海_未名者","面朝大海_未名者","思考, 读书, 行走","m","44","3","","","-1","广东 深圳","http://tp2.sinaimg.cn/2082911961/180/40069859395/1","1","",""
"3824753683342109","3824753683342109","1871955801","3824753523275296","1427375800","0","0","0","转发微博","转发微博","1293975344","173","18","32","5857","312","gentleman2011","gentleman2011","","m","22","1","","","-1","吉林 长春","http://tp2.sinaimg.cn/1871955801/180/1297687256/1","1","",""
"3824753700140519","3824753700140519","3311645161","3824753523275296","1427375805","0","0","0","Repost","Repost","1366192744","16","18","2","434","212","MaxBondar_714","MaxBondar_714","","m","44","1000","","","-1","广东","http://tp2.sinaimg.cn/3311645161/180/5721919623/1","1","",""
"3824753708159295","3824753708159295","1929601811","3824753523275296","1427375807","0","0","0","转发微博","转发微博","1295584004","1708","129","0","1352","352","Eugene才是孩子王","Eugene才是孩子王","90后创业咖，体育狂热者","m","31","6","1","西安咔网网络科技有限公司创始人","0","上海 静安区","http://tp4.sinaimg.cn/1929601811/180/5731335000/1","1","",""
