id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3864968761708658","3864968761708658","1197161814","","1436963823","898","1074","158","【马克·扎克伯格与用户的12个线上问答】Facebook CEO马克．扎克伯格，在网上和包括霍金、赫芬顿及史瓦辛格来了场线上公开问与答会谈。来看看他们都聊了什么，其他用户们又提出哪些有趣的题目，而马克．扎克伯格又给了哪些发人深省的回答吧。 原文链接：http://t.cn/RLtKZDU","【马克·扎克伯格与用户的12个线上问答】Facebook CEO马克．扎克伯格，在网上和包括霍金、赫芬顿及史瓦辛格来了场线上公开问与答会谈。来看看他们都聊了什么，其他用户们又提出哪些有趣的题目，而马克．扎克伯格又给了哪些发人深省的回答吧。 原文链接：http://t.cn/RLtKZDU","1251448546","49969690","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww4.sinaimg.cn/large/475b3d56jw1eu3ivw7kh5j20c86iwnpd.jpg",""
"3864968891746927","3864968891746927","3184653077","3864968761708658","1436963854","0","0","0","看看吧","看看吧","1355278161","20","9","2","156","367","泰来商贸-服装美妆","泰来商贸-服装美妆","鹤壁泰来商贸有限公司 经营范围：男装女装化妆品","f","41","6","","","-1","河南 鹤壁","http://tp2.sinaimg.cn/3184653077/180/5731714470/0","1","",""
"3864968909231522","3864968909231522","2511774511","3864968761708658","1436963858","0","0","0","转发微博","转发微博","1323063408","357","61","98","2934","699","王涵Arvin","王涵Arvin","「最怕你一生碌碌无为，还安慰自己平凡可贵」","m","22","1","","","-1","吉林 长春","http://tp4.sinaimg.cn/2511774511/180/5739544140/1","1","",""
"3864968929499727","3864968929499727","1037781727","3864968761708658","1436963863","2","0","0","转发微博","转发微博","1394144514","1307","80","3","634","171","周明1964","周明1964","微软首席研究员、CCF 中文信息专委会主任","m","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1037781727/180/5721651664/1","1","",""
"3864969151772973","3864969151772973","1840827694","3864968761708658","1436963916","0","0","0","转发微博","转发微博","1286122399","825","36","12","9409","469","心愿心事","心愿心事","不要受别人的影响，知足常乐！","m","13","6","","","-1","河北 保定","http://tp3.sinaimg.cn/1840827694/180/22872035436/1","","",""
"3864969160211905","3864969160211905","2848931653","3864968761708658","1436963917","0","0","0","Repost","Repost","1348551437","31","0","53","351","143","Summer-X-Joker","Summer-X-Joker","馬甲太多","f","100","1000","","","-1","其他","http://tp2.sinaimg.cn/2848931653/180/5745341084/0","","",""
"3864969198218901","3864969198218901","1407149243","3864968761708658","1436963926","0","0","0","转发微博","转发微博","1268474934","26501","211","41","16499","350","l流云客","l流云客","技术驱动未来，信效伴您成长。个人言论，与单位无关。","m","44","1","1","前 云南信息报 副总经理","0","广东 广州","http://tp4.sinaimg.cn/1407149243/180/40007243142/1","1","",""
"3864969206873725","3864969206873725","3002205067","3864968761708658","1436963929","0","0","0","转发微博","转发微博","1364200418","52","19","5","235","244","NONO_24778","NONO_24778","你去不了的远方、我帮你把故事带了回来！","m","11","1","","","-1","北京 东城区","http://tp4.sinaimg.cn/3002205067/180/5725436595/1","1","",""
"3864969257003927","3864969257003927","1877639697","3864968761708658","1436963940","0","0","0","转发微博","转发微博","1291019700","64","14","3","13795","635","fjzpfigo","fjzpfigo","纵浪大化中，不喜亦不惧； 应尽便须尽，无复独多虑 。","m","11","8","","","-1","北京 海淀区","http://tp2.sinaimg.cn/1877639697/180/1291194024/1","1","",""
"3864969269863590","3864969269863590","2290213924","3864968761708658","1436963944","0","0","0","转发微博","转发微博","1312602435","65","0","16","4031","225","mengdie梦蝶","mengdie梦蝶","","f","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/2290213924/180/5607572272/0","1","",""
"3864969286400718","3864969286400718","3268568051","3864968761708658","1436963947","0","0","0","转发微博","转发微博","1363523793","60","2","5","958","211","世界变迁思念依然","世界变迁思念依然","","f","14","1000","","","-1","山西","http://tp4.sinaimg.cn/3268568051/180/5686265558/0","1","",""
"3864969366459092","3864969366459092","1750967302","3864968761708658","1436963967","0","0","0","转发微博","转发微博","1275699134","321","26","47","8188","885","江白豚","江白豚","对胖子好点......","m","32","1","","","-1","江苏 南京","http://tp3.sinaimg.cn/1750967302/180/5748937280/1","1","",""
