id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3895393991425030","3895393991425030","1197161814","","1444217763","1987","2030","267","【如何远离幸福延迟综合症】长假最后一天了，不知道大家节前制定的长假计划是否都完美落实了？是否到了今天才感叹上班上学度日如年，下班放假时光飞逝！[偷笑]我们都听过应该充分利用每一天的时间，但仅仅美好的愿望是远远不够的，我们最终需要付诸实际行动。小办法教你如何远离“幸福延迟综合症”。","【如何远离幸福延迟综合症】长假最后一天了，不知道大家节前制定的长假计划是否都完美落实了？是否到了今天才感叹上班上学度日如年，下班放假时光飞逝！[偷笑]我们都听过应该充分利用每一天的时间，但仅仅美好的愿望是远远不够的，我们最终需要付诸实际行动。小办法教你如何远离“幸福延迟综合症”。","1251448546","49969685","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww4.sinaimg.cn/large/475b3d56jw1ewspbc0dkjj20c825vqbe.jpg",""
"3895394121082134","3895394121082134","1938599081","3895393991425030","1444217793","0","0","0","Repost","Repost","1296195865","195","24","36","7649","673","我來自蜀國分州","我來自蜀國分州","每一段路都是一种领悟","m","51","1","","","-1","四川 成都","http://tp2.sinaimg.cn/1938599081/180/5741104371/1","1","",""
"3895394163057923","3895394163057923","2109308095","3895393991425030","1444217804","0","0","0","转发微博","转发微博","1303908546","368","53","146","3666","117","松树下的蘑菇味","松树下的蘑菇味","我们好像在哪见过～你记得吗？","m","11","11","","","-1","北京 房山区","http://tp4.sinaimg.cn/2109308095/180/22861759760/1","1","",""
"3895394163058244","3895394163058244","1914125137","3895393991425030","1444217804","0","1","0","转发微博","转发微博","1294378252","121","11","0","637","116","地震的大爱","地震的大爱","保佑好心人！","m","11","1000","","","-1","北京","http://tp2.sinaimg.cn/1914125137/180/5704377775/1","","",""
"3895394180061407","3895394180061407","1196038841","3895393991425030","1444217808","0","0","0","转发微博","转发微博","1258961198","1733","1174","2382","39410","2000","燕都青藻","燕都青藻","冷眼+正道。。。。看！","m","11","6","","","220","北京 丰台区","http://tp2.sinaimg.cn/1196038841/180/40061932718/1","1","",""
"3895394196638796","3895394196638796","2140476082","3895393991425030","1444217812","0","0","0","转发微博","转发微博","1304785401","55","12","8686","22218","471","Ace_MinMin","Ace_MinMin","中韩哥哥迪迪两手都要抓两手都要硬","f","100","1000","","","-1","其他","http://tp3.sinaimg.cn/2140476082/180/5726893612/0","1","",""
"3895394200834534","3895394200834534","3245139871","3895393991425030","1444217812","0","0","0","转发微博","转发微博","1363576505","74","5","4","1025","68","福米之约","福米之约","站在国家的立场  我要尽一份社会的责任！","m","37","17","","","-1","山东 菏泽","http://tp4.sinaimg.cn/3245139871/180/5739146409/1","1","",""
"3895394213639384","3895394213639384","2260149392","3895393991425030","1444217816","0","0","0","转发微博","转发微博","1311258685","17","0","2","417","271","ke哈哈哈哈哈哈哈哈哈可","ke哈哈哈哈哈哈哈哈哈可","","m","400","1000","","","-1","海外","http://tp1.sinaimg.cn/2260149392/180/5745549132/1","","",""
"3895394255408492","3895394255408492","2947259397","3895393991425030","1444217826","0","0","0","转发微博","转发微博","1347548903","104","31","0","1021","181","hello蓉老板","hello蓉老板","我用眼泪走过的路，你无权质疑！","f","53","3","","","-1","云南 曲靖","http://tp2.sinaimg.cn/2947259397/180/40027382206/0","1","",""
"3895394268787469","3895394268787469","3341778340","3895393991425030","1444217829","0","0","0","转发微博","转发微博","1366474941","89","4","95","5731","628","雨打风吹去的风流","雨打风吹去的风流","","m","41","1","","","-1","河南 郑州","http://tp1.sinaimg.cn/3341778340/180/5661442390/1","1","",""
"3895394285004603","3895394285004603","1401828961","3895393991425030","1444217833","0","0","0","转发微博","转发微博","1314007236","247","159","111","11034","614","倒头条","倒头条","人是铁，笑是钢，一天不郁闷得慌。","m","37","3","","","220","山东 淄博","http://tp2.sinaimg.cn/1401828961/180/5720423528/1","1","",""
"3895394327553159","3895394327553159","2548732922","3895393991425030","1444217843","0","0","0","转发微博","转发微博","1321792320","387","84","27","6451","1968","小亮的解析式","小亮的解析式","游戏《使命召唤》业余A级解说大师","m","400","1","","","-1","海外 美国","http://tp3.sinaimg.cn/2548732922/180/5724648808/1","1","",""
"3895394326765371","3895394326765371","2453622614","3895393991425030","1444217843","0","0","0","转发微博","转发微博","1349219589","111","24","8","718","78","愿与光明同在","愿与光明同在","","f","13","5","","","-1","河北 邢台","http://tp3.sinaimg.cn/2453622614/180/5678231033/0","1","",""
"3895394344343456","3895394344343456","2855190490","3895393991425030","1444217847","0","0","0","转发微博","转发微博","1340957910","19","0","70","1719","51","变成更好的开心的自己","变成更好的开心的自己","我一定会很好的","f","21","2","","","-1","辽宁 大连","http://tp3.sinaimg.cn/2855190490/180/5731674151/0","","",""
"3895394356364819","3895394356364819","5034871565","3895393991425030","1444217850","0","0","0","转发微博","转发微博","1392193307","7","2","7","42","111","心长了草儿","心长了草儿","持续改善，持续发光","m","15","4","","","-1","内蒙古 赤峰","http://tp2.sinaimg.cn/5034871565/180/5749187126/1","1","",""
"3895394365330352","3895394365330352","3833180802","3895393991425030","1444217852","0","0","0","转发微博","转发微博","1380937281","18","16","0","10","90","瓷音","瓷音","傻傻的天真","f","100","1000","","","-1","其他","http://tp3.sinaimg.cn/3833180802/180/5738411976/0","1","",""
"3895394381071537","3895394381071537","5211560243","3895393991425030","1444217855","0","1","0","Repost","Repost","1404927365","243","143","116","425","235","SilllyJanne","SilllyJanne","Thanks for the adventures.","f","11","1000","","","-1","北京","http://tp4.sinaimg.cn/5211560243/180/5742476366/0","1","",""
"3895394386054845","3895394386054845","2994195644","3895393991425030","1444217857","0","0","0","转发微博","转发微博","1347092775","87","8","101","1344","64","blossomofsnow","blossomofsnow","听海","f","41","1","","","-1","河南 郑州","http://tp1.sinaimg.cn/2994195644/180/5739152581/0","1","",""
"3895394394140763","3895394394140763","1661948845","3895393991425030","1444217858","1","0","0","转发微博","转发微博","1264861278","337","138","324","6123","848","保姆熊太郎","保姆熊太郎","木星来客，视学习为生命，85后范2青年~~ 人生的终极目标是成为喜悦的灵魂！","m","33","6","","","-1","浙江 绍兴","http://tp2.sinaimg.cn/1661948845/180/5739321113/1","1","",""
"3895394419329096","3895394419329096","1817163747","3895393991425030","1444217865","0","0","0","转发微博","转发微博","1284102562","229","50","171","2119","753","心想要事成啊大脸妹","心想要事成啊大脸妹","想要遇到心想事成的自己","f","51","1000","","","-1","四川","http://tp4.sinaimg.cn/1817163747/180/5690952776/0","1","",""
"3895394427725856","3895394427725856","1430240767","3895393991425030","1444217867","0","0","0","转发微博","转发微博","1299460541","256","25","386","7437","220","健康快乐每一天bj","健康快乐每一天bj","愿我和我的每一位亲人、朋友健康快乐每一天！","f","11","8","","","-1","北京 海淀区","http://tp4.sinaimg.cn/1430240767/180/5639488107/0","","",""
"3895394435645726","3895394435645726","2399720190","3895393991425030","1444217869","0","0","0","转发微博","转发微博","1316142576","71","27","0","3735","267","摆渡渡船","摆渡渡船","愿时光不负努力","m","45","1","","","-1","广西 南宁","http://tp3.sinaimg.cn/2399720190/180/5694224799/1","1","",""
"3895394457335549","3895394457335549","1828473431","3895393991425030","1444217874","0","0","0","转发微博","转发微博","1294751976","137","32","632","3367","306","新蕊Alice","新蕊Alice","陪伴是最长情的告白","f","11","8","","","200","北京 海淀区","http://tp4.sinaimg.cn/1828473431/180/5747898635/0","","",""
"3895394460830744","3895394460830744","1964963303","3895393991425030","1444217874","0","0","0","转发微博","转发微博","1297498904","3357","1856","8","12225","2016","王玉林-职业培训","王玉林-职业培训","生涯规划、职业技能、岗位胜任力、企业培训方案提供，欢迎交流。联系方式：18502088187","m","44","1","","","-1","广东 广州","http://tp4.sinaimg.cn/1964963303/180/5602824977/1","1","",""
